ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
11.66847668206,37.4703059836,,,gaia,3.6728825148694784e+17,0.966,0.4169,0.1241,-0.411,0.124,-4.996,0.091
11.61599988513,37.4591273716,,,gaia,3.6728839322008384e+17,0.997,1.5611,0.7769,12.364,0.903,2.442,0.668
11.61627217127,37.45846626296,,,gaia,3.672883932209171e+17,1.021,1.134,0.0304,11.552,0.029,1.726,0.022
11.65156708941,37.46677289906,,,gaia,3.672884232847368e+17,0.941,0.8633,0.0246,4.979,0.023,-7.632,0.018
11.64632654256,37.46528082794,,,gaia,3.6728842758065536e+17,1.003,0.4188,0.4697,1.191,0.462,-3.202,0.359
11.6561970691,37.46482993472,,,gaia,3.672884576453741e+17,1.05,-0.0099,0.4772,1.902,0.477,-2.459,0.361
11.65953625023,37.46646100843,,,gaia,3.6728846194014554e+17,,,,,,,
11.63474158306,37.48567481768,,,gaia,3.672885263648641e+17,1.025,0.8212,1.4126,-1.581,1.652,-2.154,0.961
11.64451215827,37.47949567848,,,gaia,3.672885306598692e+17,0.974,0.3451,0.0241,2.098,0.023,-0.089,0.017
11.56517789274,37.44821190901,,,gaia,3.672887668833436e+17,1.053,0.3542,0.3114,-0.026,0.295,-2.313,0.234
11.56461082074,37.45084132067,,,gaia,3.672887668833439e+17,1.08,0.2436,0.5801,1.559,0.576,3.656,0.459
11.56546887093,37.4525695616,,,gaia,3.672887711780388e+17,1.068,1.0688,0.0931,7.506,0.096,-1.797,0.067
11.53338642975,37.44379775849,,,gaia,3.6728883560282e+17,,,,,,,
11.53936301853,37.45232809035,,,gaia,3.672888699625591e+17,1.019,0.3961,0.5867,1.271,0.56,-2.147,0.424
11.55228943819,37.44861984086,,,gaia,3.672888742569608e+17,1.055,-1.1909,1.1534,1.613,1.094,-1.621,0.756
11.528593627,37.44436048209,,,gaia,3.672889043222968e+17,,,,,,,
11.53139966524,37.45688907128,,,gaia,3.672889386820361e+17,1.007,2.3969,0.2073,29.506,0.199,5.605,0.148
11.53634432304,37.46831981702,,,gaia,3.6728893868203674e+17,1.011,0.9801,0.1326,17.981,0.129,-25.38,0.094
11.55149594728,37.46019306222,,,gaia,3.672889730417747e+17,1.032,0.1542,0.3169,0.297,0.305,0.173,0.227
11.55746484247,37.46984705378,,,gaia,3.672889730417752e+17,0.937,-0.4229,0.5856,-3.715,0.568,-0.827,0.437
11.57580856928,37.47325490694,,,gaia,3.6728900740151386e+17,1.032,0.2913,0.1082,0.056,0.105,-1.924,0.075
11.56556704155,37.47370778397,,,gaia,3.67289007401514e+17,0.984,0.5482,0.1156,3.173,0.128,1.42,0.08
11.55343954379,37.48974899474,,,gaia,3.672890761209912e+17,1.042,0.8661,0.647,5.889,0.585,-6.471,0.455
11.55655192996,37.49241509752,,,gaia,3.6728907612099136e+17,0.971,0.8437,0.1836,9.928,0.17,1.321,0.129
11.55817023547,37.47771073368,,,gaia,3.672890761210034e+17,0.961,1.3792,1.3115,4.586,1.385,-9.417,1.071
11.55336707774,37.48580009031,,,gaia,3.672890804156795e+17,1.422,1.2376,0.2544,2.899,0.24,-10.108,0.183
11.6035570425,37.46298972118,,,gaia,3.6728911048040205e+17,1.011,0.1047,0.0997,-0.815,0.101,-1.933,0.072
