ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
19.623318,33.40504,,,lamost,,,,,,,,,4733.205766999766,-132.68551479019663,4735.06518208514,False,dwarf
19.359983,33.118181,,,lamost,,,,,,,,,2231.9540750021247,-3397.0109082041045,4064.6404642202074,False,dwarf
19.574557,33.353147,,,lamost,,,,,,,,,4270.056038503733,-723.2043328870059,4330.866319695026,False,dwarf
19.705949,33.263305,,,lamost,,,,,,,,,5518.065085212154,-1745.5655695750374,5787.576473993518,False,dwarf
19.501599,33.322325,,,lamost,,,,,,,,,3577.0743955593325,-1073.9447219833803,3734.8117084054084,False,dwarf
19.587053,33.293536,,,lamost,,,,,,,,,4388.747595430115,-1401.5504925919115,4607.10855523052,False,dwarf
19.373951,33.187545,,,lamost,,,,,,,,,2364.6272237815465,-2607.6800293097235,3520.150144909956,False,dwarf
19.487027,33.213689,,,lamost,,,,,,,,,3438.6642349054932,-2310.173159783543,4142.62136196424,False,dwarf
19.596004,33.207365,,,lamost,,,,,,,,,4473.767451867993,-2382.1374132598094,5068.4488622304925,False,dwarf
19.666669,33.449124,,,lamost,,,,,,,,,5144.969346090213,368.97042294660974,5158.1826979293155,False,dwarf
19.695159,33.345322,,,lamost,,,,,,,,,5415.577737322,-812.2492859945005,5476.1511238803705,False,dwarf
19.407697,33.280546,,,lamost,,,,,,,,,2685.1590163580727,-1549.370804523754,3100.1014230246788,False,dwarf
19.719695,33.427406,,,lamost,,,,,,,,,5648.629597176753,121.82942721645196,5649.943250638637,False,dwarf
19.66051,33.539892,,,lamost,,,,,,,,,5086.468922025765,1401.8691199001848,5276.116291749421,False,dwarf
19.692004,33.458133,,,lamost,,,,,,,,,5385.610398805455,471.48875937413726,5406.209487056306,False,dwarf
19.359983,33.118181,,,lamost,,,,,,,,,2231.9540750021247,-3397.0109082041045,4064.6404642202074,False,dwarf
19.534246,33.385156,,,lamost,,,,,,,,,3887.167486066284,-358.95642183036716,3903.706031132997,False,dwarf
19.469904,33.163437,,,lamost,,,,,,,,,3276.0237476095267,-2882.018141707902,4363.296937412699,False,dwarf
19.488821,33.335407,,,lamost,,,,,,,,,3455.704299976365,-925.0774917530804,3577.381804423915,False,dwarf
19.644173,33.367694,,,lamost,,,,,,,,,4931.294148857883,-557.6660667074611,4962.726410403556,False,dwarf
19.360357,33.21722,,,lamost,,,,,,,,,2235.506463149567,-2269.991980304631,3185.961822971334,False,dwarf
19.434885,33.281415,,,lamost,,,,,,,,,2943.4005376220316,-1539.4819784214526,3321.6880477790346,False,dwarf
19.287502,32.968869,,,lamost,,,,,,,,,1543.5031517003194,-5096.113788509196,5324.732643498861,False,dwarf
19.420953,32.978164,,,lamost,,,,,,,,,2811.069329947704,-4990.340901718833,5727.6184486347,False,dwarf
19.458678,33.086615,,,lamost,,,,,,,,,3169.39511300203,-3756.217680062426,4914.695986766089,False,dwarf
