ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
21.57860631869,35.90250846831,,,gaia,3.205592821842459e+17,1.031,0.5785,0.3264,2.451,0.321,-6.828,0.298
21.58590544107,35.90556731912,,,gaia,3.2055928218424934e+17,,,,,,,
21.57681888902,35.91320282932,,,gaia,3.205592864793916e+17,0.933,0.4055,0.0699,-0.15,0.077,-2.335,0.06
21.53529216893,35.90210062081,,,gaia,3.205599693790152e+17,1.031,0.0186,0.0954,-0.547,0.098,-1.6,0.081
21.56728872401,35.91946083781,,,gaia,3.205600423936351e+17,0.961,0.5186,0.2673,15.036,0.321,-6.807,0.25
21.56939599475,35.90796234036,,,gaia,3.2056004239363635e+17,1.043,0.034,0.2972,-0.713,0.3,-0.926,0.276
21.53935799268,35.90912509292,,,gaia,3.205600767535314e+17,0.915,1.4413,0.0831,-13.359,0.085,-8.381,0.08
21.56113120767,35.92444582323,,,gaia,3.205601068179886e+17,1.043,0.2991,0.1585,2.867,0.171,-2.321,0.146
21.55308077948,35.92988901659,,,gaia,3.205601068200983e+17,0.986,0.317,0.8477,-0.904,1.145,-2.089,0.784
21.55547027838,35.93348558624,,,gaia,3.205601111123146e+17,1.004,1.866,0.1509,2.942,0.155,-6.17,0.179
21.55571489564,35.9335564939,,,gaia,3.2056011111310925e+17,1.809,1.8933,0.1652,2.73,0.179,-5.995,0.16
21.55432615346,35.92928330728,,,gaia,3.2056011111311e+17,1.051,0.5218,0.0367,1.565,0.039,-5.948,0.033
21.55948924321,35.92194213819,,,gaia,3.2056011111311155e+17,1.034,0.2351,0.2202,-3.258,0.228,-1.583,0.203
21.50385914942,35.90474259331,,,gaia,3.205601411777101e+17,1.045,0.7084,0.0742,9.558,0.075,-2.387,0.059
21.50561147096,35.90727270344,,,gaia,3.205601454728512e+17,1.04,0.2304,0.3889,0.771,0.392,-1.036,0.352
21.52213386683,35.90475905814,,,gaia,3.205601755374474e+17,1.054,3.6282,0.3707,1.561,0.371,-13.597,0.302
21.52075832172,35.91658725407,,,gaia,3.205601755374593e+17,0.926,-0.8569,0.4744,0.345,0.452,0.497,0.412
21.52391738007,35.92472222451,,,gaia,3.2056017553746624e+17,1.004,0.0954,0.2413,-4.459,0.231,-4.804,0.195
21.49975612582,35.90814276209,,,gaia,3.205602098971908e+17,,,,,,,
21.49990133946,35.92556315601,,,gaia,3.2056020989720614e+17,1.039,0.3686,0.3722,-8.524,0.382,-6.582,0.295
21.50181416125,35.92358240899,,,gaia,3.205602141919096e+17,,,,,,,
21.49283134217,35.91160183041,,,gaia,3.2056021419223885e+17,2.43,2.2547,0.1616,-5.888,0.169,-11.913,0.127
21.50957891235,35.91723025861,,,gaia,3.205602442569376e+17,,,,,,,
21.50755180079,35.93390332185,,,gaia,3.205602442569523e+17,1.067,0.9182,0.0905,5.286,0.088,-2.849,0.069
21.51163666934,35.93681427686,,,gaia,3.20560244256956e+17,1.007,0.7639,0.11,5.27,0.122,-0.644,0.091
21.52926544748,35.92960335062,,,gaia,3.205602786187896e+17,0.969,0.8261,0.2558,1.212,0.264,-2.176,0.197
21.53298305405,35.93474538124,,,gaia,3.205602829117148e+17,0.949,1.1623,0.3684,5.527,0.387,0.118,0.311
21.52960621108,35.92894862696,,,gaia,3.205602829117153e+17,1.04,0.9669,0.0501,1.421,0.052,-2.03,0.04
21.52544025164,35.93372963421,,,gaia,3.205603516311918e+17,1.031,0.3385,0.1027,4.46,0.106,0.354,0.087
21.53270274801,35.93998712021,,,gaia,3.2056038169614515e+17,0.959,1.7413,0.9429,0.501,0.937,-1.026,1.028
21.38717382654,35.92195691072,,,gaia,3.205622371217696e+17,1.06,0.0951,0.5074,6.293,0.515,-4.522,0.471
21.38295286778,35.92669246613,,,gaia,3.205623058412504e+17,0.984,0.4804,0.3342,-5.014,0.347,-6.233,0.291
21.38275445308,35.93204574889,,,gaia,3.205623058412558e+17,0.969,0.0723,0.2271,1.491,0.233,-3.024,0.194
21.37413798382,35.93119432188,,,gaia,3.205623101366936e+17,,,,,,,
21.35436612786,35.93275326587,,,gaia,3.2056247763994944e+17,1.026,0.4469,0.1732,1.028,0.175,2.093,0.147
21.367115578,35.93409626661,,,gaia,3.205625119996887e+17,1.011,-0.1602,0.1702,-0.836,0.175,-1.405,0.144
21.36827424385,35.93970697534,,,gaia,3.205625119996923e+17,1.461,0.7769,0.1804,-7.403,0.189,-1.179,0.157
21.3701597246,35.94522830338,,,gaia,3.205625162949578e+17,1.064,2.0043,1.965,3.49,1.18,-0.685,1.067
21.35329587654,35.94246277871,,,gaia,3.2056254635943296e+17,1.006,0.5247,0.2742,1.5,0.274,-1.922,0.227
21.34477667813,35.93680144725,,,gaia,3.205625506544466e+17,1.073,0.4511,0.0259,2.889,0.027,2.895,0.022
21.36015139097,35.94918614501,,,gaia,3.2056258501418445e+17,0.957,1.5761,0.0324,16.932,0.032,-12.915,0.027
21.46405068396,35.90929753837,,,gaia,3.205627568128782e+17,0.928,2.2608,0.2325,-8.906,0.235,12.821,0.197
21.41366035877,35.92342634331,,,gaia,3.2056295867627584e+17,1.021,-0.51,0.4659,-0.668,0.431,-0.493,0.433
21.41112871757,35.9247188451,,,gaia,3.205629586762776e+17,1.114,0.2062,0.5088,3.417,0.502,-2.766,0.417
21.42027673136,35.93012865216,,,gaia,3.2056299303601984e+17,0.977,-0.2755,0.4967,-0.407,0.495,-0.229,0.406
21.44405731862,35.9234716436,,,gaia,3.205630273957517e+17,0.917,0.5179,0.5457,21.514,0.519,14.534,0.412
21.44031380223,35.92661613927,,,gaia,3.205630273957554e+17,1.009,0.4779,0.0984,-1.046,0.099,-5.824,0.082
21.44630850127,35.92291524781,,,gaia,3.205630273959987e+17,,,,,,,
21.44583121202,35.92137148974,,,gaia,3.205630316907849e+17,0.976,0.79,0.5454,-0.764,0.518,-0.302,0.423
21.44952994783,35.94028174409,-11.67,1.56,gaia,3.205630617591323e+17,1.078,1.0832,0.0145,-0.463,0.014,-8.227,0.012
21.576828,35.913208,,,sdss,,,,,,,,
21.578598,35.902525,,,sdss,,,,,,,,
21.578548,35.905117,,,sdss,,,,,,,,
21.570731,35.907485,,,sdss,,,,,,,,
21.585913,35.905567,,,sdss,,,,,,,,
21.582225,35.909925,,,sdss,,,,,,,,
21.587632,35.902029,,,sdss,,,,,,,,
21.566083,35.901568,,,sdss,,,,,,,,
21.569412,35.904563,,,sdss,,,,,,,,
21.535303,35.902106,,,sdss,,,,,,,,
21.531254,35.906681,,,sdss,,,,,,,,
21.525643,35.906774,,,sdss,,,,,,,,
21.535967,35.908056,,,sdss,,,,,,,,
21.554327,35.9293,,,sdss,,,,,,,,
21.553109,35.929906,,,sdss,,,,,,,,
21.539419,35.909151,,,sdss,,,,,,,,
21.54149,35.909863,,,sdss,,,,,,,,
21.569403,35.907965,,,sdss,,,,,,,,
21.559512,35.92195,,,sdss,,,,,,,,
21.561129,35.924452,,,sdss,,,,,,,,
21.567242,35.919483,,,sdss,,,,,,,,
21.545241,35.9099,,,sdss,,,,,,,,
21.570281,35.914599,,,sdss,,,,,,,,
21.549309,35.917204,,,sdss,,,,,,,,
21.564038,35.90351,,,sdss,,,,,,,,
21.56151,35.905804,,,sdss,,,,,,,,
21.550628,35.911877,,,sdss,,,,,,,,
21.538248,35.916302,,,sdss,,,,,,,,
21.540538,35.92153,,,sdss,,,,,,,,
21.54625,35.925614,,,sdss,,,,,,,,
21.536762,35.912971,,,sdss,,,,,,,,
21.537947,35.918836,,,sdss,,,,,,,,
21.555615,35.933545,,,sdss,,,,,,,,
21.503835,35.904748,,,sdss,,,,,,,,
21.505615,35.907278,,,sdss,,,,,,,,
21.506606,35.905405,,,sdss,,,,,,,,
21.499764,35.908142,,,sdss,,,,,,,,
21.49287,35.91164,,,sdss,,,,,,,,
21.509624,35.917217,,,sdss,,,,,,,,
21.520772,35.916584,,,sdss,,,,,,,,
21.520522,35.91465,,,sdss,,,,,,,,
21.501822,35.923581,,,sdss,,,,,,,,
21.49995,35.925589,,,sdss,,,,,,,,
21.52394,35.924737,,,sdss,,,,,,,,
21.507545,35.933913,,,sdss,,,,,,,,
21.511631,35.936816,,,sdss,,,,,,,,
21.522143,35.90481,,,sdss,,,,,,,,
21.515458,35.905605,,,sdss,,,,,,,,
21.511216,35.90801,,,sdss,,,,,,,,
21.497858,35.911374,,,sdss,,,,,,,,
21.1445181982,36.79052597527,,,simbad,,,,,,,,
21.18434,36.53094,,,simbad,,,,,,,,
21.19323648392167,36.888370498650566,,,simbad,,,,,,,,
21.288874144765835,36.95606340598556,,,simbad,,,,,,,,
20.909363380296668,36.642301464019994,,,simbad,,,,,,,,
21.09835566418417,36.883467227499445,,,simbad,,,,,,,,
21.159708795979995,36.523482314149994,,,simbad,,,,,,,,
21.14662933839,36.85105032335,,,simbad,,,,,,,,
21.11497292928,36.83915274925,,,simbad,,,,,,,,
20.901493456039997,36.59706781678,,,simbad,,,,,,,,
21.00579190721,36.5955215936,,,simbad,,,,,,,,
21.31532255173,37.01487429752,,,simbad,,,,,,,,
20.936345833333334,36.72613333333334,,,simbad,,,,,,,,
21.04470816021,36.62318267719,,,simbad,,,,,,,,
21.14441622893,36.924084285540005,,,simbad,,,,,,,,
21.04233142790083,36.84175454006444,,,simbad,,,,,,,,
20.853692287715003,36.60407212960944,,,simbad,,,,,,,,
20.998926856969998,36.52631232544,,,simbad,,,,,,,,
21.012215532327083,36.88328754463278,,,simbad,,,,,,,,
20.99411875,36.695922777777774,,,simbad,,,,,,,,
21.185272294071247,36.83118971268638,,,simbad,,,,,,,,
21.038850000000004,36.84754000000001,,,simbad,,,,,,,,
21.520756427589998,35.916585047359995,,,simbad,,,,,,,,
21.805600284430003,36.38334913678,,,simbad,,,,,,,,
21.68533069786,36.16946649221,,,simbad,,,,,,,,
21.101955,36.076878,,,simbad,,,,,,,,
21.72775399045,36.38804259493,,,simbad,,,,,,,,
21.56527049215,36.33549249017,,,simbad,,,,,,,,
21.67706,35.93840000000001,,,simbad,,,,,,,,
21.50121,36.01348,,,simbad,,,,,,,,
21.570808,36.378426,,,simbad,,,,,,,,
20.86273931141791,36.49518662276833,,,simbad,,,,,,,,
21.41721747766167,36.05740526875222,,,simbad,,,,,,,,
21.63660279963625,35.961714668258885,,,simbad,,,,,,,,
21.63779385302,36.44878747697,,,simbad,,,,,,,,
21.662043891545004,35.94835054029472,,,simbad,,,,,,,,
21.790764167520003,36.45393203416,,,simbad,,,,,,,,
21.38668852688,35.97828238,,,simbad,,,,,,,,
