ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
17.72916243656,47.1308170147,,,gaia,4.010839403901554e+17,1.101,0.7687,0.381,3.94,0.388,-5.615,0.222
17.70264795858,47.1179282871,,,gaia,4.010840091096246e+17,0.968,0.6821,0.2921,0.989,0.27,-1.517,0.163
17.69764014009,47.1209258742,,,gaia,4.01084009109626e+17,0.994,0.9011,0.4624,-0.909,0.426,-1.268,0.253
17.67654395977,47.11096659135,,,gaia,4.010840434693587e+17,1.069,0.4824,0.6386,-0.241,0.572,0.09,0.348
17.66944043564,47.11063619915,,,gaia,4.0108404346971584e+17,0.936,0.3103,1.5529,0.457,1.722,-3.66,0.953
17.67592019395,47.12122254858,,,gaia,4.010840477657285e+17,1.024,-0.2508,0.4852,0.708,0.418,0.427,0.247
17.67276583058,47.12018589486,12.82,3.76,gaia,4.0108404776572864e+17,1.046,0.7873,0.0243,17.381,0.021,3.56,0.014
17.67885631128,47.1160574242,,,gaia,4.010840477662012e+17,1.096,3.7188,1.6916,6.612,1.713,-0.852,0.968
17.6917403146,47.1189856878,,,gaia,4.010840778291017e+17,0.984,-0.0742,0.448,-1.73,0.431,-0.869,0.255
17.68163701866,47.13080109191,,,gaia,4.010840778293541e+17,0.982,1.3564,0.4922,-0.615,0.452,1.677,0.262
17.67980575005,47.12707159766,,,gaia,4.0108408212546675e+17,1.02,0.7544,0.12,0.593,0.108,-3.583,0.062
17.70343053831,47.12281183375,,,gaia,4.01084112188843e+17,0.983,-0.0339,0.2,-1.185,0.186,-1.737,0.114
17.71136731676,47.12793974448,,,gaia,4.010841121890922e+17,,,,,,,
17.72065105281,47.13764319568,,,gaia,4.0108414654858726e+17,1.051,0.348,0.258,0.403,0.251,-2.927,0.144
17.71321768796,47.14313017693,,,gaia,4.0108415084405466e+17,1.048,2.9434,1.4001,-6.301,1.29,-4.416,0.744
17.68107251052,47.13834608836,,,gaia,4.010841809072659e+17,0.989,-0.2769,0.498,-1.471,0.475,1.958,0.268
17.69123657058,47.13001297091,,,gaia,4.010841809125358e+17,1.203,5.5807,2.0346,-1.396,1.715,-1.538,0.904
17.69927463737,47.13500167213,18.62,3.04,gaia,4.010841852046811e+17,2.783,2.4987,0.0474,19.623,0.045,-12.726,0.029
17.6899146713,47.13004336249,,,gaia,4.010841852046815e+17,1.011,0.3972,0.0527,-2.05,0.048,-2.343,0.031
17.69397021348,47.15051452113,,,gaia,4.010842152669363e+17,1.012,1.2522,0.6667,-1.335,0.598,4.455,0.336
17.69492525746,47.14535776919,,,gaia,4.010842152701857e+17,,,,,,,
17.6919774543,47.15630641741,,,gaia,4.010842152722776e+17,,,,,,,
17.69925911754,47.15097288268,,,gaia,4.010842195637912e+17,,,,,,,
17.44891983813,47.0489220219,,,gaia,4.0108857895476736e+17,1.049,1.0603,0.2196,2.478,0.204,3.964,0.124
17.45593420411,47.05570500964,,,gaia,4.010886133145139e+17,0.974,-0.2577,0.6818,-0.769,0.56,-2.558,0.366
17.44732615794,47.0510551129,,,gaia,4.010886176107676e+17,1.014,1.2561,0.0514,0.016,0.047,-0.428,0.032
17.29895648191,47.0352284399,,,gaia,4.010905417537994e+17,1.036,-0.5048,0.5056,-0.817,0.385,-1.085,0.254
17.2488817144,47.03601777348,,,gaia,4.010906748987908e+17,1.015,0.6937,0.1494,-8.056,0.136,-7.747,0.089
17.279238022,47.03516865824,,,gaia,4.010907436185843e+17,,,,,,,
17.28474201102,47.03855884596,,,gaia,4.010907436198958e+17,,,,,,,
17.28628052395,47.04246586737,,,gaia,4.010907436198975e+17,,,,,,,
17.28662566379,47.03757443465,,,gaia,4.0109074791454694e+17,0.964,0.6399,0.1514,-3.058,0.124,-5.386,0.085
17.27911878152,47.0430421763,,,gaia,4.0109074791517786e+17,1.006,0.4225,0.889,3.197,0.622,0.074,0.437
17.2527601969,47.03848834818,,,gaia,4.0109077797800704e+17,0.964,-0.6524,1.1448,2.878,0.745,-3.101,0.556
17.25366172082,47.04036624709,,,gaia,4.0109077797800934e+17,0.993,-0.4827,1.0464,4.756,0.733,-1.913,0.467
17.249871479,47.03708617698,,,gaia,4.0109077798375245e+17,1.024,0.1644,0.3822,-0.382,0.323,-2.346,0.219
17.26189568119,47.04079648975,,,gaia,4.010907779837527e+17,,,,,,,
17.26259814606,47.03789356198,-32.77,2.88,gaia,4.010907822742852e+17,1.033,1.0719,0.0194,-2.159,0.019,1.89,0.012
17.26972512553,47.04446101936,,,gaia,4.010908123377537e+17,1.034,0.5494,0.1451,0.267,0.116,0.045,0.079
17.25416871366,47.05133930063,,,gaia,4.010908166336412e+17,1.087,-1.4555,0.9026,-1.435,0.778,-0.983,0.543
17.25702799333,47.05661990907,,,gaia,4.0109081663401946e+17,1.139,0.718,0.0373,-3.156,0.029,-1.034,0.021
17.37670307489,47.04581361094,,,gaia,4.010912933740938e+17,0.972,-0.1589,0.5771,-0.254,0.442,-0.211,0.268
17.34895187491,47.04791301837,,,gaia,4.010913277338341e+17,0.99,0.701,0.1791,0.016,0.152,-1.34,0.095
17.35201057316,47.04616679584,,,gaia,4.010913277341385e+17,1.002,0.6975,0.9408,-1.768,0.602,-0.326,0.388
17.35951354961,47.0478893497,,,gaia,4.0109136209357235e+17,0.986,-0.5351,0.6798,1.717,0.48,-1.401,0.302
17.36531013762,47.05542638241,,,gaia,4.010913620935812e+17,0.989,0.4465,0.0677,-0.625,0.06,-1.894,0.037
17.35810080625,47.04601360716,,,gaia,4.0109136209387674e+17,1.265,0.7127,1.5307,-2.355,1.861,-3.141,0.948
17.35762509902,47.05657206756,,,gaia,4.010913663898345e+17,1.04,2.8041,0.0505,2.933,0.045,4.55,0.028
17.35829899646,47.0528572977,,,gaia,4.010913663898354e+17,1.022,0.4331,0.047,0.113,0.042,-2.468,0.026
17.36459353242,47.04804663802,,,gaia,4.010913663898367e+17,0.978,2.3244,0.0434,3.121,0.039,4.766,0.024
17.667103,47.104355,,,sdss,,,,,,,,
17.670825,47.106758,,,sdss,,,,,,,,
17.729123,47.130831,,,sdss,,,,,,,,
17.672656,47.120163,,,sdss,,,,,,,,
17.675903,47.121219,,,sdss,,,,,,,,
17.702626,47.117929,,,sdss,,,,,,,,
17.699339,47.117776,,,sdss,,,,,,,,
17.679789,47.127077,,,sdss,,,,,,,,
17.669442,47.110633,,,sdss,,,,,,,,
17.676538,47.110968,,,sdss,,,,,,,,
17.691725,47.118986,,,sdss,,,,,,,,
17.681614,47.130774,,,sdss,,,,,,,,
17.69763,47.120921,,,sdss,,,,,,,,
17.672507,47.113535,,,sdss,,,,,,,,
17.678787,47.11608,,,sdss,,,,,,,,
17.69425,47.123486,,,sdss,,,,,,,,
17.675398,47.133249,,,sdss,,,,,,,,
17.689906,47.130041,,,sdss,,,,,,,,
17.691282,47.130034,,,sdss,,,,,,,,
17.687445,47.1299,,,sdss,,,,,,,,
17.699144,47.13503,,,sdss,,,,,,,,
17.703665,47.134294,,,sdss,,,,,,,,
17.703421,47.122806,,,sdss,,,,,,,,
17.683644,47.135432,,,sdss,,,,,,,,
17.681056,47.13832,,,sdss,,,,,,,,
17.711348,47.127935,,,sdss,,,,,,,,
17.678014,47.136103,,,sdss,,,,,,,,
17.683326,47.140802,,,sdss,,,,,,,,
17.701034,47.140675,,,sdss,,,,,,,,
17.694897,47.145345,,,sdss,,,,,,,,
17.696716,47.13955,,,sdss,,,,,,,,
17.683974,47.147621,,,sdss,,,,,,,,
17.720629,47.137641,,,sdss,,,,,,,,
17.719507,47.139018,,,sdss,,,,,,,,
17.693946,47.15049,,,sdss,,,,,,,,
17.69925,47.150955,,,sdss,,,,,,,,
17.691961,47.156316,,,sdss,,,,,,,,
17.713244,47.143144,,,sdss,,,,,,,,
17.702643,47.144196,,,sdss,,,,,,,,
17.70187,47.149795,,,sdss,,,,,,,,
17.713953,47.136743,,,sdss,,,,,,,,
17.685666,47.155885,,,sdss,,,,,,,,
17.447309,47.051058,,,sdss,,,,,,,,
17.448885,47.048912,,,sdss,,,,,,,,
17.455922,47.055738,,,sdss,,,,,,,,
17.456978,47.057046,,,sdss,,,,,,,,
17.462901,47.051961,,,sdss,,,,,,,,
17.298965,47.035217,,,sdss,,,,,,,,
