ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
351.36407695294,50.08010970776,,,gaia,1.9431382781096817e+18,1.043,0.8327,0.1844,-2.966,0.176,-1.076,0.166
351.36968702977,50.08049585847,,,gaia,1.9431382781096822e+18,1.033,0.184,0.0479,-3.423,0.044,-4.249,0.041
351.3646289755,50.0838199671,,,gaia,1.943138278109684e+18,0.958,1.9233,0.8819,1.652,0.896,-6.279,0.811
351.36791931734,50.08433364301,,,gaia,1.9431382781100677e+18,1.086,0.4745,0.218,-1.45,0.209,-2.088,0.191
351.3695680111,50.08537917172,,,gaia,1.9431382824079496e+18,1.082,0.8421,0.0655,-0.458,0.058,1.003,0.055
351.3735684547,50.0801143893,,,gaia,1.9431382824079516e+18,1.039,0.2001,0.0335,-3.633,0.031,-0.789,0.029
351.37014997633,50.07598726272,,,gaia,1.943138282407953e+18,1.026,0.2919,0.0516,-5.219,0.048,-3.115,0.043
351.35679647474,50.07703366509,,,gaia,1.9431382824081718e+18,1.064,1.7535,1.0746,0.169,1.175,-0.502,1.095
351.46927108164,50.08403419898,,,gaia,1.9431388278654973e+18,1.035,0.7276,0.1414,-5.079,0.131,-7.182,0.134
351.48377104469,50.08784397506,,,gaia,1.9431388278669937e+18,1.123,2.2999,0.8717,-7.39,0.844,-0.836,0.771
351.4701631474,50.08216001412,,,gaia,1.9431388278681318e+18,,,,,,,
351.47750418771,50.08616314633,,,gaia,1.943138832163775e+18,1.017,1.7275,0.0668,-0.518,0.06,4.53,0.061
351.53551414908,50.08961866595,,,gaia,1.943138969602733e+18,1.029,1.1063,0.0656,0.25,0.059,-0.192,0.063
351.55892181574,50.10040751851,,,gaia,1.94313906838368e+18,0.981,0.1894,1.4265,-2.249,1.829,3.862,1.993
351.58061370094,50.10680464308,,,gaia,1.943139102743427e+18,1.005,0.3338,0.1067,-0.964,0.098,-2.49,0.095
351.5699489447,50.10668208972,,,gaia,1.943139102743427e+18,1.205,0.1775,0.1486,-0.481,0.139,-1.208,0.141
351.5822054556,50.10857343523,,,gaia,1.9431391027434296e+18,0.919,0.3242,0.0701,-2.352,0.065,-3.054,0.063
351.57441814676,50.10969433504,,,gaia,1.9431391027434317e+18,1.081,0.2894,0.097,-3.15,0.095,-2.474,0.094
351.58116044422,50.11243406103,,,gaia,1.9431391027434358e+18,1.041,0.3177,0.0749,-3.112,0.07,-4.4,0.066
351.56538588511,50.10508685655,,,gaia,1.943139107039609e+18,,,,,,,
351.57180145113,50.10357723521,-32.84,5.889999866485596,gaia,1.9431391070416865e+18,1.028,0.5257,0.0212,-2.423,0.02,-5.834,0.02
351.5675595086,50.09973768794,,,gaia,1.9431391070416876e+18,1.009,0.2867,0.0455,-1.968,0.043,-5.342,0.043
351.49824321101,50.08482992939,,,gaia,1.9431391371031424e+18,0.999,0.2486,0.2435,-1.56,0.235,-1.239,0.226
