ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
210.16109617541,13.91758687292,,,gaia,1.2306568779070438e+18,0.939,1.1249,0.0816,-12.775,0.089,-14.555,0.069
210.13858173834,13.91634026454,,,gaia,1.2306569079716198e+18,0.996,2.492,0.1773,-44.819,0.191,8.348,0.147
210.00421773043,13.9014201714,,,gaia,1.230658802052374e+18,0.965,1.3137,0.0401,13.465,0.04,-12.549,0.029
209.98684043777,13.90848785934,,,gaia,1.2306588707718513e+18,0.953,0.6861,0.1084,-12.231,0.101,-4.912,0.079
209.98715743537,13.91022970932,,,gaia,1.2306588707718513e+18,,,,,,,
209.95725696634,13.90443708525,,,gaia,1.230658939490958e+18,0.93,-2.7049,1.2933,-1.937,1.341,-4.873,1.402
209.97179173186,13.91300438874,,,gaia,1.2306590425705436e+18,1.007,1.7889,0.0879,3.082,0.082,-12.766,0.063
209.98145026161,13.91208941601,,,gaia,1.2306590726378266e+18,,,,,,,
209.96832725652,13.92117260354,,,gaia,1.2306591112902436e+18,1.026,-1.5484,1.099,-2.345,1.161,-3.513,1.275
209.97263162524,13.92253552044,,,gaia,1.2306591413549148e+18,0.993,-1.7746,1.2266,-5.771,2.018,-3.5,1.456
210.07370609698,13.91057726413,,,gaia,1.2306594162328187e+18,1.009,3.8085,0.4629,33.096,0.439,-33.608,0.353
210.03869096319,13.91432580204,-30.43,19.920000076293945,gaia,1.230659557966618e+18,0.987,2.464,0.0259,-5.243,0.026,3.141,0.02
210.05592075468,13.91323379984,,,gaia,1.230659588031211e+18,1.08,0.3213,0.3171,-0.453,0.311,-0.781,0.241
210.07218095927,13.91559478196,,,gaia,1.2306596223909504e+18,1.001,1.6843,0.3629,-18.982,0.362,-8.582,0.282
210.06506205022,13.92182051607,,,gaia,1.2306596223937395e+18,1.012,-1.1174,1.5755,-31.651,1.474,-7.999,1.864
210.10252271461,13.92080871078,,,gaia,1.2306598285493847e+18,,,,,,,
210.12635899839,13.92189886463,,,gaia,1.2306598629091246e+18,0.96,2.3431,0.2889,7.118,0.316,-6.292,0.237
210.0836714758,13.92408760795,,,gaia,1.2306600046432166e+18,1.031,2.1367,0.0614,12.988,0.063,-4.42,0.048
210.07952004365,13.92898075933,,,gaia,1.2306600046434358e+18,,,,,,,
210.0651804239,13.9343275952,,,gaia,1.2306600690675625e+18,0.961,3.2798,0.3027,-8.948,0.311,-89.027,0.241
210.07704040206,13.94012468235,,,gaia,1.2306600733626941e+18,,,,,,,
210.07678550109,13.95131114055,,,gaia,1.23066010342731e+18,0.959,0.3084,0.1876,-8.808,0.202,-5.111,0.157
210.10012852507,13.9596978167,,,gaia,1.2306602065065288e+18,0.992,-0.0254,0.2587,-1.419,0.283,-3.472,0.216
210.0242365,13.91764744944,,,gaia,1.2306603138808858e+18,,,,,,,
