ra,dec,vlos,vlos_err,src
209.448865,14.439816,-49.192799,0.006667,apogee
209.527269,14.584927,-141.873993,0.194419,apogee
209.593613,14.455829,-347.390015,0.035296,apogee
209.640871,14.352316,-458.31601,0.024127,apogee
209.65749,14.155728,-817.159973,0.219433,apogee
209.670751,14.207799,163.048004,0.037818,apogee
209.718829,14.67924,-8.18354,0.150922,apogee
209.759626,14.506487,-340.557007,0.185441,apogee
209.801951,14.893479,-102.973,0.058122,apogee
209.812967,15.063542,46.368099,0.034577,apogee
209.834157,14.968177,174.279007,0.197409,apogee
209.835492,14.839113,-58.640499,0.040495,apogee
209.850885,14.321609,64.521797,0.137013,apogee
209.897986,14.339921,-95.672897,0.143633,apogee
209.951808,14.236001,-17.025999,0.036062,apogee
209.953345,14.328637,132.373001,0.046333,apogee
209.955472,14.841911,-736.711975,0.596271,apogee
209.96215,14.500822,106.365997,0.056557,apogee
210.00356,14.959516,662.921021,1.6368,apogee
210.004481,14.614325,-394.253998,0.036401,apogee
210.030017,14.067688,-242.854996,0.049028,apogee
210.043716,14.529299,-98.1595,0.036887,apogee
210.048925,14.417033,919.151001,0.046704,apogee
210.060708,14.59799,-130.542007,0.157601,apogee
210.083579,13.924063,9.08026,0.046728,apogee
210.107594,14.435375,-718.343018,0.026728,apogee
210.121037,15.060706,-23.126801,0.089722,apogee
210.131271,14.56763,418.718994,0.161347,apogee
210.133341,14.717316,58.863499,0.457901,apogee
210.152131,14.657564,-652.174011,0.242527,apogee
210.15577,14.482787,104.828003,0.097162,apogee
210.176885,14.930794,-208.746002,0.404748,apogee
210.183127,14.222763,9.49251,0.043214,apogee
210.191547,14.324219,-18.410299,0.032929,apogee
210.198096,14.749951,672.70697,0.115259,apogee
210.221589,14.81925,-0.724888,0.218659,apogee
210.23869,14.92879,-581.557007,1.54736,apogee
210.240516,14.586872,-6.69863,0.02836,apogee
210.258801,14.831053,691.192017,0.124763,apogee
210.269228,14.166929,236.994003,0.381376,apogee
210.29606,14.555722,218.354996,0.844493,apogee
210.326914,14.256963,-443.411987,0.039033,apogee
210.331746,14.07954,-193.759995,0.058962,apogee
210.332751,14.746069,-6.39113,0.03315,apogee
210.338076,14.540104,88.303902,0.960102,apogee
210.341437,14.178614,262.132996,0.03,apogee
210.358888,14.104351,-143.042007,0.258258,apogee
210.35983,14.968819,24.790199,0.164623,apogee
210.375627,14.642687,6.3588,0.043408,apogee
210.397889,14.943866,699.953003,0.049285,apogee
