ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
201.96693690139,32.96091967977,,,gaia,1.46950165850636e+18,1.031,0.242,0.0555,-23.734,0.045,-11.088,0.03
202.21694955434,32.99151367991,,,gaia,1.469505231919253e+18,1.006,1.1294,0.6907,-6.782,0.671,-3.411,0.61
202.22144004094,32.99871939677,0.4,5.309999942779541,gaia,1.469505609876312e+18,0.98,1.5266,0.0162,-4.971,0.012,-8.604,0.009
202.23096783369,33.00327144975,,,gaia,1.4695056399397896e+18,,,,,,,
202.24037317603,33.0130619464,,,gaia,1.469505644236051e+18,1.027,-0.095,0.3365,-4.396,0.279,-9.681,0.185
202.25688044245,33.00590098992,,,gaia,1.4695056785957893e+18,0.996,0.173,0.2001,-3.602,0.153,-7.265,0.106
202.25855894093,33.00115589586,,,gaia,1.4695056785961306e+18,1.016,5.4104,0.17,-85.806,0.128,2.009,0.08
202.27342948522,33.02114193654,,,gaia,1.4695057086592067e+18,1.032,0.2065,1.314,-4.523,0.982,-4.324,1.162
202.24203569901,33.02286886743,,,gaia,1.4695057473156076e+18,1.658,-0.1006,1.7176,-0.013,1.322,0.822,0.865
202.22298795223,33.03224116665,,,gaia,1.4695059191139584e+18,1.001,-0.3642,0.3685,-2.409,0.316,-2.458,0.218
202.22861441042,33.04554970319,,,gaia,1.4695060221931735e+18,1.02,0.4283,0.3137,-7.308,0.28,-8.713,0.172
202.06011612298,32.96411182804,,,gaia,1.4695066020123346e+18,,,,,,,
202.05559078186,32.9683975172,,,gaia,1.4695066063087222e+18,0.974,1.0808,0.0451,-16.218,0.035,-18.446,0.025
202.11231277102,32.96590953475,,,gaia,1.469506739450855e+18,1.005,1.6674,0.2685,-13.146,0.22,-11.883,0.156
202.11103076819,32.96563038742,,,gaia,1.4695067394530854e+18,1.195,1.9579,0.9318,-13.228,0.855,-11.522,0.734
202.11143901481,32.96555887554,,,gaia,1.4695067437477217e+18,,,,,,,
202.13774892898,32.98201665526,,,gaia,1.4695068081725967e+18,,,,,,,
202.12725047187,32.99614711153,,,gaia,1.4695068811869727e+18,1.039,0.5032,0.1965,-2.169,0.15,-2.012,0.11
202.06658186248,32.97092931265,,,gaia,1.469506979971192e+18,,,,,,,
202.08811602452,32.98333798739,,,gaia,1.4695070143288937e+18,0.968,1.0049,0.9951,-2.001,0.906,-1.767,1.093
202.09901601987,32.98579714211,,,gaia,1.4695070529856812e+18,1.031,-0.0578,0.5532,-9.444,0.503,-10.46,0.41
202.10217841172,33.01649031517,,,gaia,1.469507156064538e+18,0.999,0.621,0.1389,-3.994,0.107,-26.744,0.077
202.04931274768,32.96598065876,,,gaia,1.4695073622229658e+18,0.826,9.7481,0.1373,-29.772,0.114,-45.221,0.074
202.00144340703,32.97559822335,,,gaia,1.469507495365102e+18,1.024,0.184,0.1086,-5.859,0.091,-6.914,0.063
202.01080747109,32.97204035048,,,gaia,1.4695074996619192e+18,0.984,1.0597,0.0522,-9.617,0.043,0.499,0.029
201.99657878836,32.98500472511,-16.59,2.5799999237060547,gaia,1.4695075683813622e+18,1.816,1.3204,0.0219,-10.608,0.017,0.579,0.012
201.98846433474,32.98107855561,,,gaia,1.4695075683813957e+18,1.051,5.6237,0.0583,-26.583,0.046,-2.075,0.033
202.01813127857,32.98020952364,,,gaia,1.4695075984443197e+18,,,,,,,
