ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
202.22144004094,32.99871939677,18.2797,5.309999942779541,gaia,1.469505609876312e+18,0.98,1.5266,0.0162,-4.971,0.012,-8.604,0.009,655.8163673975032,-2129.102222551783,2227.8176275946375,dwarf
201.99657878836,32.98500472511,1.2896999999999998,2.5799999237060547,gaia,1.4695075683813622e+18,1.816,1.3204,0.0219,-10.608,0.017,0.579,0.012,-57.138866827396086,-2181.284048984492,2182.0322986739907,dwarf
201.389056,33.753036,6.806099999999999,0.035612,apogee,,,,,,,,,-1983.3780338801614,740.9349931316815,2117.256028288827,dwarf
201.420817,33.805237,10.371189999999999,0.011375,apogee,,,,,,,,,-1882.675174074857,939.5502855093887,2104.096136130326,dwarf
201.515079,33.797573,38.0238,0.04824,apogee,,,,,,,,,-1583.8038233312275,910.3901621251116,1826.8127430289073,dwarf
201.65144,33.461227,-4.626199,0.03294,apogee,,,,,,,,,-1151.4514834830275,-369.3450753238743,1209.2379019371097,dwarf
201.719752,33.861561,76.2733,0.010596,apogee,,,,,,,,,-934.8583737251164,1153.852841550136,1485.0375614365087,dwarf
201.728707,33.942818,-110.255295,0.005506,apogee,,,,,,,,,-906.4652466334535,1463.0209190340304,1721.0779915173591,dwarf
201.891534,33.991413,-2.773599000000001,0.040004,apogee,,,,,,,,,-390.1986129152596,1647.916038535459,1693.4822784970006,dwarf
201.942193,33.18697,-26.812702,0.007107,apogee,,,,,,,,,-229.57690154355268,-1412.8429822918608,1431.3737619272254,dwarf
201.960321,33.099873,-3.3719,0.028652,apogee,,,,,,,,,-172.09944672313497,-1744.2311955487235,1752.700967959948,dwarf
201.970396,34.007805,14.69934,0.042327,apogee,,,,,,,,,-140.15519709189434,1710.284611410608,1716.0177537833931,dwarf
201.995556,33.251781,1.208200999999999,0.029872,apogee,,,,,,,,,-60.38176575466323,-1166.248937842674,1167.8110046813295,dwarf
202.013041,33.980728,12.70682,0.053343,apogee,,,,,,,,,-4.943035749415963,1607.261560669987,1607.269161655801,dwarf
202.038769,33.953194,8.593679999999999,0.012064,apogee,,,,,,,,,76.63132201866158,1502.4997082087723,1504.4526355727432,dwarf
202.044641,33.843784,7.5297,0.041295,apogee,,,,,,,,,95.24935019089205,1086.2145960644427,1090.3827710557553,dwarf
202.065787,33.126072,-4.0695000000000014,0.027751,apogee,,,,,,,,,162.29581199762896,-1644.5487748095836,1652.5376253869902,dwarf
202.113036,33.898727,-18.4664,0.012124,apogee,,,,,,,,,312.1056234941443,1295.2626987657109,1332.3345597223324,dwarf
202.234338,33.24651,0.0,0.035423,apogee,,,,,,,,,696.711218409599,-1186.3041323048908,1375.7630668765055,dwarf
202.235348,33.792801,-28.232502000000004,0.028454,apogee,,,,,,,,,699.9135699854533,892.2335717297791,1134.0016543071977,dwarf
202.260115,33.693165,-1.583798999999999,0.027934,apogee,,,,,,,,,778.4409377887554,513.1367484630636,932.3516591118838,dwarf
202.356087,33.683147,-12.170000000000002,0.016359,apogee,,,,,,,,,1082.734091695667,475.02008404973674,1182.3523982174943,dwarf
202.383313,34.058544,-10.2397,0.024766,apogee,,,,,,,,,1169.0580758605158,1903.3372602095346,2233.6941399476855,dwarf
202.447698,34.017338,-9.420000000000002,0.041169,apogee,,,,,,,,,1373.2000622138225,1746.5559392058142,2221.7416725711273,dwarf
202.483428,33.771709,31.5563,0.044443,apogee,,,,,,,,,1486.4872125190911,811.9823553387089,1693.8003360385117,dwarf
202.503976,33.873287,-13.1217,0.040988,apogee,,,,,,,,,1551.6376285411877,1198.4681347135006,1960.5879730908732,dwarf
202.505524,33.281185,1.1769999999999996,0.007397,apogee,,,,,,,,,1556.5457871942554,-1054.3720761527702,1880.035973752334,dwarf
202.533681,33.916775,-8.692899,0.022797,apogee,,,,,,,,,1645.821641970166,1363.932049866908,2137.531172598781,dwarf
202.573101,33.50378,1.5137999999999998,0.035147,apogee,,,,,,,,,1770.808472785581,-207.43866478483562,1782.9171172370625,dwarf
202.587138,33.860325,61.413399,0.022743,apogee,,,,,,,,,1815.314818400906,1149.1500867872396,2148.467782367014,dwarf
202.59402,33.603577,-6.299600000000002,0.023531,apogee,,,,,,,,,1837.1351981489906,172.27073414274673,1845.194554002372,dwarf
202.608215,33.763241,74.756802,0.036824,apogee,,,,,,,,,1882.142505693981,779.7631584678821,2037.2753851759524,dwarf
202.649736,33.437305,-35.9953,0.014102,apogee,,,,,,,,,2013.790861916252,-460.3639260022008,2065.741653717028,dwarf
