ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
201.995556,33.251781,-16.671499,0.029872,apogee,,,,,,,,,-60.38176575466323,-1166.248937842674,1167.8110046813295,True,dwarf
201.960321,33.099873,-21.2516,0.028652,apogee,,,,,,,,,-172.09944672313497,-1744.2311955487235,1752.700967959948,True,dwarf
201.65144,33.461227,-22.505899,0.03294,apogee,,,,,,,,,-1151.4514834830275,-369.3450753238743,1209.2379019371097,True,dwarf
202.59402,33.603577,-24.1793,0.023531,apogee,,,,,,,,,1837.1351981489906,172.27073414274673,1845.194554002372,True,dwarf
202.608215,33.763241,56.877102,0.036824,apogee,,,,,,,,,1882.142505693981,779.7631584678821,2037.2753851759524,True,dwarf
201.389056,33.753036,-11.0736,0.035612,apogee,,,,,,,,,-1983.3780338801614,740.9349931316815,2117.256028288827,True,dwarf
201.420817,33.805237,-7.50851,0.011375,apogee,,,,,,,,,-1882.675174074857,939.5502855093887,2104.096136130326,True,dwarf
201.515079,33.797573,20.1441,0.04824,apogee,,,,,,,,,-1583.8038233312275,910.3901621251116,1826.8127430289073,True,dwarf
201.719752,33.861561,58.3936,0.010596,apogee,,,,,,,,,-934.8583737251164,1153.852841550136,1485.0375614365087,True,dwarf
201.728707,33.942818,-128.134995,0.005506,apogee,,,,,,,,,-906.4652466334535,1463.0209190340304,1721.0779915173591,True,dwarf
201.891534,33.991413,-20.653299,0.040004,apogee,,,,,,,,,-390.1986129152596,1647.916038535459,1693.4822784970006,True,dwarf
201.942193,33.18697,-44.692402,0.007107,apogee,,,,,,,,,-229.57690154355268,-1412.8429822918608,1431.3737619272254,True,dwarf
201.970396,34.007805,-3.18036,0.042327,apogee,,,,,,,,,-140.15519709189434,1710.284611410608,1716.0177537833931,True,dwarf
202.013041,33.980728,-5.17288,0.053343,apogee,,,,,,,,,-4.943035749415963,1607.261560669987,1607.269161655801,True,dwarf
202.038769,33.953194,-9.28602,0.012064,apogee,,,,,,,,,76.63132201866158,1502.4997082087723,1504.4526355727432,True,dwarf
202.044641,33.843784,-10.35,0.041295,apogee,,,,,,,,,95.24935019089205,1086.2145960644427,1090.3827710557553,True,dwarf
202.065787,33.126072,-21.9492,0.027751,apogee,,,,,,,,,162.29581199762896,-1644.5487748095836,1652.5376253869902,True,dwarf
202.113036,33.898727,-36.3461,0.012124,apogee,,,,,,,,,312.1056234941443,1295.2626987657109,1332.3345597223324,True,dwarf
202.234338,33.24651,-17.8797,0.035423,apogee,,,,,,,,,696.711218409599,-1186.3041323048908,1375.7630668765055,True,dwarf
202.235348,33.792801,-46.112202,0.028454,apogee,,,,,,,,,699.9135699854533,892.2335717297791,1134.0016543071977,True,dwarf
202.260115,33.693165,-19.463499,0.027934,apogee,,,,,,,,,778.4409377887554,513.1367484630636,932.3516591118838,True,dwarf
202.356087,33.683147,-30.0497,0.016359,apogee,,,,,,,,,1082.734091695667,475.02008404973674,1182.3523982174943,True,dwarf
202.383313,34.058544,-28.1194,0.024766,apogee,,,,,,,,,1169.0580758605158,1903.3372602095346,2233.6941399476855,True,dwarf
202.447698,34.017338,-27.2997,0.041169,apogee,,,,,,,,,1373.2000622138225,1746.5559392058142,2221.7416725711273,True,dwarf
202.483428,33.771709,13.6766,0.044443,apogee,,,,,,,,,1486.4872125190911,811.9823553387089,1693.8003360385117,True,dwarf
202.503976,33.873287,-31.0014,0.040988,apogee,,,,,,,,,1551.6376285411877,1198.4681347135006,1960.5879730908732,True,dwarf
202.505524,33.281185,-16.7027,0.007397,apogee,,,,,,,,,1556.5457871942554,-1054.3720761527702,1880.035973752334,True,dwarf
202.533681,33.916775,-26.572599,0.022797,apogee,,,,,,,,,1645.821641970166,1363.932049866908,2137.531172598781,True,dwarf
202.573101,33.50378,-16.3659,0.035147,apogee,,,,,,,,,1770.808472785581,-207.43866478483562,1782.9171172370625,True,dwarf
202.587138,33.860325,43.533699,0.022743,apogee,,,,,,,,,1815.314818400906,1149.1500867872396,2148.467782367014,True,dwarf
202.649736,33.437305,-53.875,0.014102,apogee,,,,,,,,,2013.790861916252,-460.3639260022008,2065.741653717028,True,dwarf
202.22144004094,32.99871939677,0.4,5.309999942779541,gaia,1.469505609876312e+18,0.98,1.5266,0.0162,-4.971,0.012,-8.604,0.009,655.8163673975032,-2129.102222551783,2227.8176275946375,True,dwarf
201.99657878836,32.98500472511,-16.59,2.5799999237060547,gaia,1.4695075683813622e+18,1.816,1.3204,0.0219,-10.608,0.017,0.579,0.012,-57.138866827396086,-2181.284048984492,2182.0322986739907,True,dwarf
201.967035,32.960959,,,sdss,,,,,,,,,-150.8117353559265,-2272.7736511598714,2277.7717727919185,False,dwarf
201.967036,32.96096,,,sdss,,,,,,,,,-150.80856471078926,-2272.769846342111,2277.767766395879,False,dwarf
201.975808,32.963044,,,sdss,,,,,,,,,-122.99566567706108,-2264.8406061108053,2268.1778821035405,False,dwarf
201.967136,32.965373,,,sdss,,,,,,,,,-150.49150019835722,-2255.979185525978,2260.993095336297,False,dwarf
201.975058,32.959316,,,sdss,,,,,,,,,-125.3736495206242,-2279.024966754916,2282.470887237418,False,dwarf
201.967026,32.960966,,,sdss,,,,,,,,,-150.84027116208088,-2272.7470174355017,2277.747087072272,False,dwarf
201.967027,32.960969,,,sdss,,,,,,,,,-150.83710051694362,-2272.7356029821967,2277.735487705982,False,dwarf
201.967027,32.960969,,,sdss,,,,,,,,,-150.83710051694362,-2272.7356029821967,2277.735487705982,False,dwarf
201.984195,32.9607,,,sdss,,,,,,,,,-96.40346501624475,-2273.759098962132,2275.801851695403,False,dwarf
201.967238,32.965302,,,sdss,,,,,,,,,-150.1680943956507,-2256.249327587605,2261.2411381393936,False,dwarf
201.979421,32.966383,,,sdss,,,,,,,,,-111.540124841513,-2252.1363195789418,2254.8967163522684,False,dwarf
201.975108,32.959308,,,sdss,,,,,,,,,-125.2151172643275,-2279.05540529707,2282.4925774261155,False,dwarf
201.975584,32.963272,,,sdss,,,,,,,,,-123.70589018497668,-2263.9731076593766,2267.3502992416747,False,dwarf
202.145557,32.970645,,,sdss,,,,,,,,,415.21817359430327,-2235.920186246001,2274.1471392470057,False,dwarf
202.268037,33.005763,,,sdss,,,,,,,,,803.5587884664884,-2102.3025958220264,2250.640560134328,False,dwarf
202.270601,33.000512,,,sdss,,,,,,,,,811.6883225662338,-2122.28169392887,2272.2054311562547,False,dwarf
202.278144,33.013669,,,sdss,,,,,,,,,835.6044987417977,-2072.2217065375808,2234.353973604687,False,dwarf
202.29124,33.007477,,,sdss,,,,,,,,,877.1272672946884,-2095.7811381653787,2271.926676220344,False,dwarf
202.275994,33.002044,,,sdss,,,,,,,,,828.7876117237017,-2116.452713106247,2272.94104458551,False,dwarf
202.285182,33.004751,,,sdss,,,,,,,,,857.9194991293538,-2106.1530714046316,2274.1826283686023,False,dwarf
202.291235,33.007476,,,sdss,,,,,,,,,877.1114140691635,-2095.784942983163,2271.924065616047,False,dwarf
202.210541,32.989154,,,sdss,,,,,,,,,621.2593763773074,-2165.4968141531454,2252.8514520145673,False,dwarf
202.214655,32.992771,,,sdss,,,,,,,,,634.3034104202337,-2151.734788281408,2243.279611544485,False,dwarf
202.217006,32.991524,,,sdss,,,,,,,,,641.7575971084116,-2156.4793960397874,2249.9458213455914,False,dwarf
202.218456,32.98929,,,sdss,,,,,,,,,646.3550325392412,-2164.979358936501,2259.404889060371,False,dwarf
202.211962,32.983759,,,sdss,,,,,,,,,625.76486309948,-2186.023806018763,2273.825354852626,False,dwarf
202.159285,32.978598,,,sdss,,,,,,,,,458.74478986609705,-2205.660470526367,2252.861490076983,False,dwarf
202.164855,32.977604,,,sdss,,,,,,,,,476.4052832105149,-2209.442459389095,2260.2207801943205,False,dwarf
202.167735,32.977427,,,sdss,,,,,,,,,485.5367411696714,-2210.1159121342703,2262.8208661082217,False,dwarf
202.177533,32.977921,,,sdss,,,,,,,,,516.6027221014494,-2208.2363321562107,2267.8593587648556,False,dwarf
202.177533,32.977921,,,sdss,,,,,,,,,516.6027221014494,-2208.2363321562107,2267.8593587648556,False,dwarf
202.179553,32.975651,,,sdss,,,,,,,,,523.0074252533191,-2216.8732684926304,2277.7321737700645,False,dwarf
202.179007,32.976878,,,sdss,,,,,,,,,521.2762530152497,-2212.204757089648,2272.790975705352,False,dwarf
202.164642,32.976007,,,sdss,,,,,,,,,475.7299357989475,-2215.5187533667354,2266.019046331024,False,dwarf
202.173173,32.99108,,,sdss,,,,,,,,,502.7787093577499,-2158.168735129377,2215.959999610413,False,dwarf
