ra,dec,vlos,vlos_err,src
201.995556,33.251781,-16.671499,0.029872,apogee
201.960321,33.099873,-21.2516,0.028652,apogee
201.65144,33.461227,-22.505899,0.03294,apogee
202.59402,33.603577,-24.1793,0.023531,apogee
202.608215,33.763241,56.877102,0.036824,apogee
201.389056,33.753036,-11.0736,0.035612,apogee
201.420817,33.805237,-7.50851,0.011375,apogee
201.515079,33.797573,20.1441,0.04824,apogee
201.719752,33.861561,58.3936,0.010596,apogee
201.728707,33.942818,-128.134995,0.005506,apogee
201.891534,33.991413,-20.653299,0.040004,apogee
201.942193,33.18697,-44.692402,0.007107,apogee
201.970396,34.007805,-3.18036,0.042327,apogee
202.013041,33.980728,-5.17288,0.053343,apogee
202.038769,33.953194,-9.28602,0.012064,apogee
202.044641,33.843784,-10.35,0.041295,apogee
202.065787,33.126072,-21.9492,0.027751,apogee
202.113036,33.898727,-36.3461,0.012124,apogee
202.234338,33.24651,-17.8797,0.035423,apogee
202.235348,33.792801,-46.112202,0.028454,apogee
202.260115,33.693165,-19.463499,0.027934,apogee
202.356087,33.683147,-30.0497,0.016359,apogee
202.383313,34.058544,-28.1194,0.024766,apogee
202.447698,34.017338,-27.2997,0.041169,apogee
202.483428,33.771709,13.6766,0.044443,apogee
202.503976,33.873287,-31.0014,0.040988,apogee
202.505524,33.281185,-16.7027,0.007397,apogee
202.533681,33.916775,-26.572599,0.022797,apogee
202.573101,33.50378,-16.3659,0.035147,apogee
202.587138,33.860325,43.533699,0.022743,apogee
202.649736,33.437305,-53.875,0.014102,apogee
