ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
194.520260558,33.75805173168,,,gaia,1.5155271422290877e+18,0.99,-1.264,0.9511,-2.59,0.905,-2.164,0.822
194.35344531921,33.75043688503,0.42,2.440000057220459,gaia,1.5155291393894948e+18,1.003,3.7644,0.0224,4.215,0.017,-38.936,0.016
194.28733925106,33.73484235006,,,gaia,1.5155292381746819e+18,,,,,,,
194.32727699608,33.74328101555,,,gaia,1.5155293111881866e+18,1.046,0.3576,0.1134,-3.669,0.092,-13.027,0.091
194.33447334347,33.75831550602,,,gaia,1.51552934125397e+18,,,,,,,
194.33034843221,33.75328896203,,,gaia,1.5155293455483244e+18,,,,,,,
194.42268743807,33.74049912396,,,gaia,1.515529650489881e+18,1.053,1.9296,0.4652,-21.47,0.46,12.21,0.385
194.4229741131,33.73799927503,,,gaia,1.5155296547856174e+18,,,,,,,
194.41658924233,33.73606504164,,,gaia,1.5155296547856307e+18,,,,,,,
194.41055832991,33.73946549441,,,gaia,1.5155298566483105e+18,1.191,-1.5609,1.3366,-0.571,1.237,0.143,1.015
194.41718049909,33.74443761341,,,gaia,1.5155298566483126e+18,1.092,2.2616,0.3792,-27.741,0.372,16.219,0.305
194.41873780477,33.74330087788,,,gaia,1.5155298609433836e+18,,,,,,,
194.40534506491,33.76769672425,,,gaia,1.5155299597275348e+18,0.97,0.5993,0.4083,-29.919,0.414,5.468,0.351
194.41176430608,33.77420452972,,,gaia,1.5155299640232166e+18,1.068,0.8733,0.0282,-19.209,0.023,-8.5,0.021
194.45599537701,33.75256223554,,,gaia,1.5155299940872689e+18,,,,,,,
194.46569510122,33.74730644724,,,gaia,1.5155299983829755e+18,1.038,1.7005,0.049,1.783,0.041,-6.189,0.034
194.48163276308,33.78444337628,,,gaia,1.5155302346054487e+18,1.012,0.6304,0.2526,-4.344,0.247,-14.989,0.193
194.48471814014,33.78903698406,,,gaia,1.5155302346073733e+18,1.017,1.3217,0.6663,9.026,0.727,-5.904,0.636
194.48311774468,33.79189767436,,,gaia,1.5155302389011446e+18,1.082,1.0801,0.5966,-22.122,0.615,-11.548,0.502
194.48331488175,33.79690851119,,,gaia,1.5156240710510577e+18,1.099,9.1103,0.8556,-141.114,0.888,5.872,0.761
194.4423311206,33.77504751188,,,gaia,1.5155303076199782e+18,,,,,,,
194.42006051478,33.77984233878,,,gaia,1.5155303376865093e+18,0.973,1.6803,0.6702,-9.145,0.6,-1.898,0.577
194.41530087195,33.77779789938,,,gaia,1.5155303419803387e+18,0.998,1.4178,0.0285,-7.726,0.023,-1.675,0.021
194.42557128847,33.77794273469,,,gaia,1.515530341980339e+18,0.922,0.8133,0.0458,-12.388,0.038,-2.429,0.034
194.43042769347,33.79246445569,,,gaia,1.5155303720444045e+18,1.003,0.7878,0.1656,-12.229,0.16,-13.103,0.127
194.43631784043,33.79315744719,,,gaia,1.5155303763393055e+18,,,,,,,
194.45564330102,33.79376748595,,,gaia,1.5155304064041436e+18,1.034,1.6126,0.4116,-27.149,0.406,9.115,0.315
194.44129358301,33.7967009206,,,gaia,1.515530475123622e+18,,,,,,,
194.44389926552,33.80497896833,,,gaia,1.5155304751236234e+18,1.061,1.3174,0.2447,-29.356,0.3,2.377,0.197
194.45064700034,33.80139583274,,,gaia,1.5155304751255027e+18,1.052,1.0843,0.6917,-25.538,0.625,-11.436,0.516
194.46012192983,33.81995027057,,,gaia,1.5155305094833636e+18,1.045,0.932,0.465,-61.816,0.43,-39.449,0.341
194.4484064421,33.81311910462,,,gaia,1.5155305137790316e+18,1.034,-0.0158,0.151,-6.058,0.141,-10.438,0.113
194.35562984529,33.75543705219,,,gaia,1.5155306168586616e+18,,,,,,,
194.40140751341,33.77250135785,,,gaia,1.5155307156417807e+18,0.965,0.5204,0.3555,7.323,0.338,-10.246,0.282
194.37717113446,33.77560972025,,,gaia,1.51553075000152e+18,0.988,0.2389,0.3474,-9.715,0.304,-5.007,0.276
194.34850579424,33.77603882842,,,gaia,1.515530823016675e+18,1.026,1.2698,0.2376,-14.67,0.23,6.891,0.202
194.34257610186,33.76836822785,,,gaia,1.5155308230167086e+18,,,,,,,
194.36678517178,33.77847097873,,,gaia,1.5155308530807365e+18,1.03,-0.2386,0.6528,-3.266,0.579,-5.915,0.64
194.34217332575,33.77565361632,,,gaia,1.5155308874404739e+18,1.001,1.7642,0.0905,0.654,0.076,-14.834,0.072
194.34057088065,33.79094438943,-8.33,5.900000095367432,gaia,1.5155309260958904e+18,0.974,1.7204,0.0278,-1.422,0.021,-4.076,0.022
194.37163182272,33.81852921089,,,gaia,1.5155310592409492e+18,,,,,,,
194.41629952495,33.79415194793,,,gaia,1.5155310936007488e+18,1.134,0.5129,1.6509,-0.948,1.423,-2.47,1.361
194.4269245142,33.80891745558,,,gaia,1.5155311279587517e+18,1.12,3.1376,0.6779,-3.605,0.732,-1.418,0.652
194.443672553,33.81259111965,-5.62,0.2800000011920929,gaia,1.515531235333537e+18,1.428,5.9234,0.0262,-19.622,0.024,-17.896,0.019
194.37984721585,33.83219521473,,,gaia,1.5155314371964244e+18,0.863,1.0161,0.1286,3.634,0.114,-6.853,0.099
194.43103369775,33.84441402914,,,gaia,1.5155315402756434e+18,0.982,1.1342,0.2568,-4.115,0.239,-6.609,0.192
194.41128542,33.84847902134,,,gaia,1.5155315746353828e+18,,,,,,,
194.17141810644,33.73208227882,,,gaia,1.5155708134564413e+18,1.003,-0.2516,0.4152,-0.295,0.364,-1.939,0.504
194.18828554249,33.73919755013,13.67,6.070000171661377,gaia,1.5155708521118723e+18,0.952,2.3182,0.0304,-68.618,0.023,-19.413,0.027
194.18063425011,33.74227609231,,,gaia,1.51557091653566e+18,1.073,1.3401,1.6882,4.54,0.976,-26.786,1.286
194.464854,33.740081,,,sdss,,,,,,,,
194.501635,33.765783,,,sdss,,,,,,,,
194.486906,33.762927,,,sdss,,,,,,,,
194.493206,33.762381,,,sdss,,,,,,,,
194.503517,33.774182,,,sdss,,,,,,,,
194.502227,33.776108,,,sdss,,,,,,,,
194.520303,33.758064,,,sdss,,,,,,,,
194.490722,33.758039,,,sdss,,,,,,,,
194.494588,33.76673,,,sdss,,,,,,,,
194.495501,33.762166,,,sdss,,,,,,,,
194.501588,33.769006,,,sdss,,,,,,,,
194.503989,33.768874,,,sdss,,,,,,,,
194.498253,33.771379,,,sdss,,,,,,,,
194.499666,33.769931,,,sdss,,,,,,,,
194.496618,33.754309,,,sdss,,,,,,,,
194.500026,33.76023,,,sdss,,,,,,,,
194.501879,33.758924,,,sdss,,,,,,,,
194.502615,33.759296,,,sdss,,,,,,,,
194.505341,33.760197,,,sdss,,,,,,,,
194.504212,33.759706,,,sdss,,,,,,,,
