ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
100.33855950417,-51.56165845427,0.8364495000000005,2.5799999237060547,gaia,5.501690623270196e+18,0.987,2.8533,0.015,-2.759,0.018,-8.726,0.022,-74.25744431234324,-1091.4178710854671,1093.941103241182,dwarf
100.44175624706,-51.54429211583,-15.5735505,3.6600000858306885,gaia,5.501690829428602e+18,1.049,1.3935,0.0152,10.21,0.018,2.771,0.022,44.8452497143867,-1059.5923936821284,1060.5409644002293,dwarf
100.43162999254,-51.54140286398,-37.5435505,10.729999542236328,gaia,5.501690898148078e+18,1.028,0.7208,0.0131,-1.696,0.015,5.902,0.019,33.1582123142093,-1054.2975631234335,1054.818855847716,dwarf
100.43412084623,-51.54149701127,-27.9835505,1.9500000476837158,gaia,5.501690898148079e+18,1.037,0.9842,0.0097,0.488,0.011,0.236,0.014,36.03298700764293,-1054.4700970436427,1055.0855708007396,dwarf
99.586297,-51.218136,-31.9115205,1.46827,apogee,,,,,,,,,-942.4678970147112,-461.88009352343795,1049.5613167874244,dwarf
99.594729,-51.18346,203.0684445,0.064533,apogee,,,,,,,,,-932.7362534772475,-398.3330045241601,1014.2317787586902,dwarf
99.600078,-50.941406,-509.44156549999997,0.901595,apogee,,,,,,,,,-926.5627998147738,45.25411857618011,927.6672664531716,dwarf
99.60982,-51.167713,46.12674750000001,0.159164,apogee,,,,,,,,,-915.3192429668139,-369.4751198064572,987.0770895433332,dwarf
99.627703,-51.284817,16.4853485,0.529097,apogee,,,,,,,,,-894.6798950801257,-584.0794083682749,1068.4572382367105,dwarf
99.653537,-51.273224,-136.39755150000002,2.94071,apogee,,,,,,,,,-864.8640412913459,-562.834126248985,1031.8779305660419,dwarf
99.690136,-51.154465,69.7492535,0.07161,apogee,,,,,,,,,-822.6239533136642,-345.1968917795173,892.1160589629811,dwarf
99.757901,-51.298134,335.58144450000003,0.465791,apogee,,,,,,,,,-744.4141781337861,-608.4840854995205,961.4600100434692,dwarf
99.814375,-50.93288,-53.6546505,0.153926,apogee,,,,,,,,,-679.2357107316399,60.8788296388052,681.95849040195,dwarf
99.829453,-51.108433,63.620247500000005,0.145917,apogee,,,,,,,,,-661.8337039410821,-260.8388458453237,711.3794733996002,dwarf
99.831737,-50.722683,-5.226651499999999,0.360451,apogee,,,,,,,,,-659.197665772239,446.08495105932286,795.9480800411337,dwarf
99.854563,-51.094582,-12.8081505,0.672672,apogee,,,,,,,,,-632.8534419361176,-235.45556260248568,675.2353670616225,dwarf
99.856021,-50.705452,83.1544505,0.051841,apogee,,,,,,,,,-631.1707170455047,477.66240781750014,791.5414391538502,dwarf
99.872436,-50.811031,-17.4871105,0.182557,apogee,,,,,,,,,-612.2256353724116,284.1787848663768,674.9650438172954,dwarf
99.873935,-51.154827,-474.4485545,0.042972,apogee,,,,,,,,,-610.4955910575663,-345.8602914281889,701.6581845083252,dwarf
99.887432,-50.595764,-4.063750500000001,0.240688,apogee,,,,,,,,,-594.9182674302896,678.6761665598917,902.5126503150454,dwarf
99.893213,-51.170685,298.50743950000003,0.293977,apogee,,,,,,,,,-588.2462286150532,-374.92159427023495,697.5670772979241,dwarf
99.919925,-50.671642,-2.7564494999999987,0.138063,apogee,,,,,,,,,-557.4170466685548,539.6224689279244,775.8261228449081,dwarf
99.933899,-51.433891,-12.8568505,0.053044,apogee,,,,,,,,,-541.2892019350868,-857.2717819256786,1013.8584261214933,dwarf
99.944498,-51.41563,-19.6903905,0.053094,apogee,,,,,,,,,-529.056553707676,-823.8067515814668,979.0599578025094,dwarf
99.946695,-50.9622,369.9764645,0.044208,apogee,,,,,,,,,-526.520925048767,7.147123286907475,526.5694312106311,dwarf
99.953728,-51.262775,518.0124744999999,0.590579,apogee,,,,,,,,,-518.403912596324,-543.6853336271919,751.2232415177848,dwarf
99.968371,-50.876816,33.8652505,0.114642,apogee,,,,,,,,,-501.5039533554223,163.62147578180387,527.5208077110636,dwarf
99.976431,-50.754524,-8.8622505,0.06534,apogee,,,,,,,,,-492.2016470328412,387.73327091093324,626.577649388432,dwarf
99.982477,-50.960163,214.1494535,0.057293,apogee,,,,,,,,,-485.2237631586212,10.880120757537636,485.345729724196,dwarf
99.988754,-51.434601,-18.3330205,0.141755,apogee,,,,,,,,,-477.9792747235314,-858.5729248830326,982.6554097991007,dwarf
99.989046,-51.304478,-791.8655765000001,1.70888,apogee,,,,,,,,,-477.6422680924789,-620.1100727129211,782.7379117869224,dwarf
99.996555,-51.184704,30.755947499999998,0.056982,apogee,,,,,,,,,-468.9758886661474,-400.61275359312975,616.7892366859788,dwarf
99.998514,-51.210381,-1.5019504999999995,0.095577,apogee,,,,,,,,,-466.7149434941973,-447.6683137567561,646.7068560194868,dwarf
100.003545,-50.83564,195.83945549999999,0.046834,apogee,,,,,,,,,-460.9085039025275,239.0804369259353,519.2264479881223,dwarf
100.02013,-51.276524,102.6664515,0.034672,apogee,,,,,,,,,-441.76721973876204,-568.8816921071599,720.2670727240147,dwarf
100.022582,-51.153687,-2.2923495000000003,0.074523,apogee,,,,,,,,,-438.93728734383706,-343.77113231355617,557.5343340395376,dwarf
100.025739,-50.660728,31.248650500000004,0.06545,apogee,,,,,,,,,-435.2936916787739,559.6234185570042,708.9844628853043,dwarf
100.035897,-50.95348,203.0594565,0.041572,apogee,,,,,,,,,-423.57001579480567,23.127357918170667,424.2009346579603,dwarf
100.039135,-51.243732,-283.0925365,0.095764,apogee,,,,,,,,,-419.8329354136097,-508.78721343418977,659.6393880084299,dwarf
100.04253,-50.865555,33.4501505,0.176687,apogee,,,,,,,,,-415.9146562616022,184.25833612384423,454.9023364683174,dwarf
100.044412,-50.684193,243.2764515,0.038114,apogee,,,,,,,,,-413.74257927660375,516.6215601140594,661.8766941667772,dwarf
100.067983,-51.005009,-664.2915415,0.050415,apogee,,,,,,,,,-386.53852687839964,-71.30446665914502,393.06024948710905,dwarf
100.071029,-50.699177,-24.2506725,0.117728,apogee,,,,,,,,,-383.02303989843136,489.16194592658337,621.2777627082085,dwarf
100.082569,-51.36446,-3.2834505000000007,0.536289,apogee,,,,,,,,,-369.7043531784847,-730.0328288656921,818.3087681192025,dwarf
100.084299,-50.722504,6.7709495,0.074778,apogee,,,,,,,,,-367.7077043028137,446.4129856922383,578.3541385676289,dwarf
100.091312,-50.560299,106.92945150000001,0.052848,apogee,,,,,,,,,-359.6137744963209,743.669173577966,826.0544210508323,dwarf
100.103356,-50.818432,-19.1088705,0.244941,apogee,,,,,,,,,-345.7134050981584,270.61574398266174,439.0337565106502,dwarf
100.114395,-51.50732,22.349549500000002,0.048579,apogee,,,,,,,,,-332.97293865957835,-991.8374526526019,1046.2373107302174,dwarf
100.128436,-50.987598,193.1084525,0.207131,apogee,,,,,,,,,-316.7677670621558,-39.39714267235384,319.2083224170229,dwarf
100.129661,-50.923512,189.08844850000003,0.095056,apogee,,,,,,,,,-315.35395499698865,78.04658629312289,324.86826032139953,dwarf
100.147307,-50.902233,-502.21353849999997,0.647722,apogee,,,,,,,,,-294.9881364649419,117.04239050396748,317.35929453844955,dwarf
100.147652,-51.361328,21.8820505,0.121429,apogee,,,,,,,,,-294.58996082211326,-724.2931390875856,781.9103505815247,dwarf
100.147691,-51.43198,12.341050500000001,0.188995,apogee,,,,,,,,,-294.5449496624861,-853.769691515091,903.1497182203237,dwarf
100.153116,-51.447933,-0.8364495000000005,0.046921,apogee,,,,,,,,,-288.2837819453634,-883.0050909500009,928.8732580801005,dwarf
