ra,dec,vlos,vlos_err,src
99.586297,-51.218136,-8.49797,1.46827,apogee
99.594729,-51.18346,226.481995,0.064533,apogee
99.600078,-50.941406,-486.028015,0.901595,apogee
99.60982,-51.167713,69.540298,0.159164,apogee
99.627703,-51.284817,39.898899,0.529097,apogee
99.653537,-51.273224,-112.984001,2.94071,apogee
99.690136,-51.154465,93.162804,0.07161,apogee
99.757901,-51.298134,358.994995,0.465791,apogee
99.814375,-50.93288,-30.2411,0.153926,apogee
99.829453,-51.108433,87.033798,0.145917,apogee
99.831737,-50.722683,18.186899,0.360451,apogee
99.854563,-51.094582,10.6054,0.672672,apogee
99.856021,-50.705452,106.568001,0.051841,apogee
99.872436,-50.811031,5.92644,0.182557,apogee
99.873935,-51.154827,-451.035004,0.042972,apogee
99.887432,-50.595764,19.3498,0.240688,apogee
99.893213,-51.170685,321.92099,0.293977,apogee
99.919925,-50.671642,20.657101,0.138063,apogee
99.933899,-51.433891,10.5567,0.053044,apogee
99.944498,-51.41563,3.72316,0.053094,apogee
99.946695,-50.9622,393.390015,0.044208,apogee
99.953728,-51.262775,541.426025,0.590579,apogee
99.968371,-50.876816,57.278801,0.114642,apogee
99.976431,-50.754524,14.5513,0.06534,apogee
99.982477,-50.960163,237.563004,0.057293,apogee
99.988754,-51.434601,5.08053,0.141755,apogee
99.989046,-51.304478,-768.452026,1.70888,apogee
99.996555,-51.184704,54.169498,0.056982,apogee
99.998514,-51.210381,21.9116,0.095577,apogee
100.003545,-50.83564,219.253006,0.046834,apogee
100.02013,-51.276524,126.080002,0.034672,apogee
100.022582,-51.153687,21.121201,0.074523,apogee
100.025739,-50.660728,54.662201,0.06545,apogee
100.035897,-50.95348,226.473007,0.041572,apogee
100.039135,-51.243732,-259.678986,0.095764,apogee
100.04253,-50.865555,56.863701,0.176687,apogee
100.044412,-50.684193,266.690002,0.038114,apogee
100.067983,-51.005009,-640.877991,0.050415,apogee
100.071029,-50.699177,-0.837122,0.117728,apogee
100.082569,-51.36446,20.1301,0.536289,apogee
100.084299,-50.722504,30.1845,0.074778,apogee
100.091312,-50.560299,130.343002,0.052848,apogee
100.103356,-50.818432,4.30468,0.244941,apogee
100.114395,-51.50732,45.7631,0.048579,apogee
100.128436,-50.987598,216.522003,0.207131,apogee
100.129661,-50.923512,212.501999,0.095056,apogee
100.147307,-50.902233,-478.799988,0.647722,apogee
100.147652,-51.361328,45.295601,0.121429,apogee
100.147691,-51.43198,35.754601,0.188995,apogee
100.153116,-51.447933,22.577101,0.046921,apogee
101.22216796875,-50.66658401489,-16.504387,0.225321,galah
101.17295837402,-50.61724853516,44.159157,0.218025,galah
101.14978790283,-50.67130661011,106.448387,0.216058,galah
101.14337158203,-50.69619369507,19.441299,0.245716,galah
101.12545776367,-50.69277954102,-37.840073,0.381447,galah
101.02883148193,-50.5634727478,69.083511,0.221603,galah
101.00137329102,-50.53633499146,1.8702,0.264044,galah
100.98062133789,-50.64897155762,1.707542,0.231001,galah
100.91645812988,-50.65297317505,36.212795,0.200603,galah
100.90504455566,-50.67483520508,33.173489,0.258776,galah
100.93466949463,-50.57986068726,-10.759557,0.211619,galah
100.92649841309,-50.51755523682,63.58535,0.231445,galah
100.81091308594,-50.64019393921,57.775795,0.212125,galah
100.84432983398,-50.65702819824,19.627607,0.193057,galah
100.76596069336,-50.62686157227,19.791883,0.386969,galah
100.74070739746,-50.7008895874,112.461418,0.387248,galah
100.82521057129,-50.53833389282,65.090897,0.23915,galah
100.79125213623,-50.47069549561,14.49951,0.231704,galah
100.78195953369,-50.44227600098,23.022589,0.229038,galah
100.65037536621,-50.55727767944,45.803692,0.234351,galah
100.70925140381,-50.63636016846,30.169699,0.20717,galah
100.6322479248,-50.57722091675,35.624165,0.22746,galah
100.72787475586,-50.41388702393,5.332254,0.215208,galah
100.60216522217,-50.63333511353,22.076788,0.235141,galah
100.56066894531,-50.64636230469,55.499924,0.224465,galah
100.52337646484,-50.63508224487,83.039238,0.24693,galah
100.63175201416,-50.44383239746,4.908917,0.227386,galah
100.46058654785,-50.63438796997,-6.358047,0.217753,galah
100.45195770264,-50.59422302246,37.806271,0.365137,galah
100.66454315186,-50.39649963379,8.882381,0.208999,galah
100.44325256348,-50.50311279297,19.956604,0.22944,galah
100.31458282471,-50.60447311401,76.860222,0.266871,galah
100.37445831299,-50.53002929688,15.92812,0.919787,galah
100.39421081543,-50.49766540527,33.152847,0.25795,galah
100.35500335693,-50.40997314453,79.035011,0.206873,galah
100.42604064941,-50.37649917603,15.69933,0.226004,galah
100.24362182617,-50.4241104126,8.654519,0.228089,galah
100.14991760254,-50.50969314575,-14.747248,0.212588,galah
100.12254333496,-50.4997215271,-9.077916,0.450703,galah
100.18416595459,-50.45513916016,40.519146,0.245121,galah
100.16495513916,-50.44394302368,22.41371,0.235248,galah
100.23037719727,-50.40316772461,54.499577,0.215544,galah
100.13616943359,-50.4135017395,25.461229,0.238378,galah
