ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
6.55251579203,-11.61895644857,,,gaia,2.423903035886785e+18,0.96,-0.6306,0.324,-4.328,0.319,-2.709,0.277
6.5108618737,-11.62261799776,,,gaia,2.423903654362075e+18,1.003,1.859,1.0155,-2.527,1.501,-3.186,1.313
6.50402549067,-11.60858691708,,,gaia,2.4239037273770163e+18,1.016,0.335,0.0652,-0.426,0.07,-21.094,0.06
6.54273633081,-11.60510887004,,,gaia,2.423903791801035e+18,0.978,1.6629,0.4523,-5.269,0.451,-16.981,0.401
6.51500508274,-11.60128272051,,,gaia,2.423903826160774e+18,1.023,0.2667,0.7259,3.64,0.896,-1.449,0.676
6.52663648737,-11.58769149253,,,gaia,2.4239038648155e+18,1.105,-0.6069,1.1953,-0.246,1.219,-1.228,0.963
6.48986730584,-11.61718911163,,,gaia,2.423903894880245e+18,0.902,0.1984,0.6542,-1.684,0.652,-3.623,0.689
6.48331696566,-11.60637031127,,,gaia,2.423903933534795e+18,,,,,,,
6.46667851893,-11.60921242618,,,gaia,2.4239039635997256e+18,1.205,0.2105,0.775,0.079,0.823,1.114,0.861
6.48490861427,-11.58928882913,,,gaia,2.4239040022551695e+18,,,,,,,
6.48100583586,-11.60383944855,,,gaia,2.4239040022551695e+18,,,,,,,
6.50136190963,-11.59090583262,,,gaia,2.4239040366146616e+18,1.014,0.318,0.1,2.82,0.106,-4.973,0.09
6.50878044489,-11.58701642648,,,gaia,2.4239040666789473e+18,1.0,0.0126,0.1086,18.3,0.116,-9.01,0.097
6.50943961553,-11.58802751794,,,gaia,2.4239040709737477e+18,1.013,-1.1593,0.3694,-0.031,0.389,0.361,0.348
6.49072117046,-11.59348112546,,,gaia,2.423904105334138e+18,,,,,,,
6.17841119391,-11.60303020251,,,gaia,2.423912587894058e+18,1.076,-0.243,0.9082,1.314,1.127,-3.377,1.091
6.19079795824,-11.60226577707,,,gaia,2.4239125921894666e+18,0.983,0.5951,0.0493,-6.618,0.05,-4.014,0.039
6.15262911096,-11.59592470336,-5.14,4.71,gaia,2.4239128327076347e+18,0.931,2.8812,0.0322,-20.684,0.033,-16.785,0.027
6.16253670268,-11.58808863499,,,gaia,2.423912862771969e+18,1.039,-0.299,0.962,-1.184,0.943,-3.855,0.835
6.16326667418,-11.58616183849,,,gaia,2.4239128670671206e+18,,,,,,,
6.15689890338,-11.57893131617,,,gaia,2.423912931491448e+18,1.032,-0.4433,0.5753,9.916,0.568,-10.997,0.506
6.36672855298,-11.64276822564,,,gaia,2.423913829140366e+18,,,,,,,
6.34452414269,-11.63231114529,,,gaia,2.4239138935641057e+18,0.995,-0.1319,0.6627,-5.975,0.82,-24.628,0.579
6.32675905049,-11.62178372035,,,gaia,2.4239147181978296e+18,0.965,0.2973,0.7626,-1.234,0.815,-0.16,0.763
6.32437444828,-11.61084506431,,,gaia,2.4239147224925885e+18,1.029,1.3444,0.7387,-3.014,0.766,-4.561,0.558
6.3603483514,-11.61371963739,,,gaia,2.423914786917309e+18,,,,,,,
6.3597306496,-11.61067355667,,,gaia,2.423914791212753e+18,0.973,2.0955,0.0589,-13.569,0.07,-34.993,0.05
6.34400444413,-11.60947772418,,,gaia,2.4239148212770493e+18,1.005,0.3881,0.5568,25.781,0.649,-12.898,0.494
6.31164658139,-11.61855623661,,,gaia,2.4239148899965225e+18,1.066,-0.734,0.512,-0.316,0.557,0.014,0.426
6.30736943734,-11.61621471798,,,gaia,2.42391489429128e+18,1.005,0.2114,0.3729,2.807,0.413,-5.832,0.331
6.29942993789,-11.60657426804,,,gaia,2.4239149587160044e+18,1.076,4.1608,0.5144,-10.142,0.582,-23.823,0.443
6.33522932064,-11.58357785887,,,gaia,2.4239150617952256e+18,1.019,0.7846,0.398,2.91,0.443,-7.437,0.345
6.31935807972,-11.57652735466,,,gaia,2.423915130514704e+18,0.99,0.2014,0.2347,-0.006,0.265,0.318,0.212
6.41129300819,-11.63503925924,,,gaia,2.4239151691691904e+18,1.076,0.3466,0.1079,-5.862,0.125,-7.652,0.095
6.43509373937,-11.61242816303,,,gaia,2.423915302313385e+18,,,,,,,
6.44645347049,-11.61528853057,,,gaia,2.4239153066085376e+18,,,,,,,
6.43126088272,-11.60002284445,,,gaia,2.423915375327912e+18,1.105,1.171,1.5234,7.213,2.564,-4.04,2.148
6.42560949656,-11.60323192326,,,gaia,2.423915375328305e+18,0.989,0.6631,0.2777,0.416,0.33,-7.421,0.244
6.40761192227,-11.60602488858,,,gaia,2.42391547411208e+18,1.085,0.0764,0.6561,-1.435,0.749,-1.392,0.572
6.38472245016,-11.60850797267,,,gaia,2.423915508471817e+18,0.99,5.1083,0.0508,-23.771,0.058,-25.46,0.043
6.37903083229,-11.60878775531,,,gaia,2.4239155127668823e+18,,,,,,,
6.41368151093,-11.58439914666,,,gaia,2.4239156802706074e+18,1.003,-0.0773,1.0433,0.641,1.233,-1.655,0.942
6.41620888815,-11.58370322484,,,gaia,2.4239156845659505e+18,0.977,1.4455,0.0855,20.81,0.09,-2.182,0.073
6.4587812103,-11.5963532047,,,gaia,2.4239157146302505e+18,0.933,-0.0046,0.5847,-2.911,0.668,-4.019,0.497
6.45909864465,-11.58769810525,,,gaia,2.4239157146302536e+18,0.965,0.3095,0.1247,7.212,0.121,-3.232,0.105
6.46048492373,-11.58815463237,,,gaia,2.423915718925689e+18,1.006,0.3131,0.1001,6.89,0.104,-2.959,0.09
6.47680640478,-11.58486850807,,,gaia,2.423915748990681e+18,1.068,2.3333,0.2155,32.188,0.227,-0.463,0.203
6.47740394683,-11.58406250936,,,gaia,2.4239157532854446e+18,1.021,0.6575,0.0679,5.251,0.071,-2.873,0.062
6.43499044176,-11.57069504322,,,gaia,2.423915993803307e+18,,,,,,,
6.43621206411,-11.5714830493,,,gaia,2.4239159938038743e+18,,,,,,,
6.831525,-11.249241,,,sdss,,,,,,,,
6.830044,-11.253439,,,sdss,,,,,,,,
6.831551,-11.249159,,,sdss,,,,,,,,
6.793234,-11.249336,,,sdss,,,,,,,,
6.792806,-11.251342,,,sdss,,,,,,,,
6.777409,-11.255134,,,sdss,,,,,,,,
6.793215,-11.249337,,,sdss,,,,,,,,
6.812632,-11.249503,,,sdss,,,,,,,,
6.815936,-11.23102,,,sdss,,,,,,,,
6.804771,-11.233412,,,sdss,,,,,,,,
6.813091,-11.243144,,,sdss,,,,,,,,
6.802644,-11.235196,,,sdss,,,,,,,,
6.806055,-11.231601,,,sdss,,,,,,,,
6.815952,-11.244599,,,sdss,,,,,,,,
6.818776,-11.23284,,,sdss,,,,,,,,
6.830006,-11.245208,,,sdss,,,,,,,,
6.8126,-11.249543,,,sdss,,,,,,,,
6.815936,-11.231017,,,sdss,,,,,,,,
6.800905,-11.253534,,,sdss,,,,,,,,
6.802614,-11.235255,,,sdss,,,,,,,,
6.806068,-11.231528,,,sdss,,,,,,,,
6.81323,-11.243123,,,sdss,,,,,,,,
6.815943,-11.244611,,,sdss,,,,,,,,
6.818743,-11.232842,,,sdss,,,,,,,,
6.830061,-11.245201,,,sdss,,,,,,,,
6.747054,-11.246941,,,sdss,,,,,,,,
6.750684,-11.251374,,,sdss,,,,,,,,
6.747061,-11.24691,,,sdss,,,,,,,,
6.750713,-11.251375,,,sdss,,,,,,,,
6.707684,-11.249952,,,sdss,,,,,,,,
6.699754,-11.246154,,,sdss,,,,,,,,
6.699752,-11.246104,,,sdss,,,,,,,,
6.712417,-11.253597,,,sdss,,,,,,,,
6.711971,-11.244803,,,sdss,,,,,,,,
6.719606,-11.249269,,,sdss,,,,,,,,
6.722381,-11.232836,,,sdss,,,,,,,,
6.723399,-11.232608,,,sdss,,,,,,,,
6.727354,-11.232408,,,sdss,,,,,,,,
6.729032,-11.234277,,,sdss,,,,,,,,
6.727909,-11.2342,,,sdss,,,,,,,,
6.737826,-11.248883,,,sdss,,,,,,,,
6.712787,-11.250609,,,sdss,,,,,,,,
6.713069,-11.247817,,,sdss,,,,,,,,
6.718433,-11.242808,,,sdss,,,,,,,,
6.726917,-11.239404,,,sdss,,,,,,,,
6.732545,-11.236928,,,sdss,,,,,,,,
6.73457,-11.252422,,,sdss,,,,,,,,
6.737033,-11.251291,,,sdss,,,,,,,,
6.730283,-11.232043,,,sdss,,,,,,,,
6.712008,-11.244756,,,sdss,,,,,,,,
5.943541666666666,-11.341444444444445,,,simbad,,,,,,,,
5.8473749999999995,-11.30925,,,simbad,,,,,,,,
5.931626598748751,-11.293299978140555,,,simbad,,,,,,,,
6.032416666666667,-11.412166666666666,,,simbad,,,,,,,,
6.100083333333333,-11.506583333333333,,,simbad,,,,,,,,
6.71434700329,-11.214564321870002,,,simbad,,,,,,,,
6.86361608215,-10.9704158554,,,simbad,,,,,,,,
6.737,-10.899916666666666,,,simbad,,,,,,,,
6.65275,-11.006138888888888,,,simbad,,,,,,,,
6.861118649100001,-11.21496069347,,,simbad,,,,,,,,
6.758753619330001,-11.137068259229999,,,simbad,,,,,,,,
6.88475258763,-11.0213673128,,,simbad,,,,,,,,
6.778208333333334,-11.032472222222223,,,simbad,,,,,,,,
6.72764271674,-11.03052775382,,,simbad,,,,,,,,
6.89481756588,-10.87343463408,,,simbad,,,,,,,,
6.700549538189999,-10.97875997346,,,simbad,,,,,,,,
6.81625132583,-11.027820777419999,,,simbad,,,,,,,,
6.685875,-11.024222222222223,,,simbad,,,,,,,,
6.82906882502,-11.005853569190002,,,simbad,,,,,,,,
6.660375,-10.999888888888888,,,simbad,,,,,,,,
6.88793430732,-11.07179853277,,,simbad,,,,,,,,
6.676708333333334,-11.009416666666667,,,simbad,,,,,,,,
6.685208333333334,-10.999388888888888,,,simbad,,,,,,,,
6.869558996315835,-11.201697269712225,,,simbad,,,,,,,,
6.792647775889999,-11.01795497655,,,simbad,,,,,,,,
6.681416666666666,-10.948527777777779,,,simbad,,,,,,,,
6.7227500000000004,-11.0475,,,simbad,,,,,,,,
6.7575,-11.055861111111112,,,simbad,,,,,,,,
6.803965282650001,-11.02990104604,,,simbad,,,,,,,,
6.656083333333333,-10.955944444444444,,,simbad,,,,,,,,
6.6727083333333335,-11.042805555555555,,,simbad,,,,,,,,
