ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
186.67332452837,23.30915536678,,,gaia,3.9537822107676856e+18,1.021,0.3535,0.2299,-0.717,0.246,-23.904,0.272
186.91894988586,23.33496947009,,,gaia,3.9537857798849654e+18,0.941,0.4072,0.7851,-3.426,1.173,-2.942,0.769
186.86112601178,23.32190139298,,,gaia,3.9537858829641754e+18,1.003,1.0998,0.8091,-2.06,1.321,-12.587,0.896
186.85722735958,23.3182946207,,,gaia,3.953785887259706e+18,0.995,3.1105,0.0666,14.899,0.079,-5.871,0.063
186.89040110191,23.3438133248,,,gaia,3.95378602469866e+18,,,,,,,
186.89442211356,23.34633821873,,,gaia,3.9537860547628703e+18,1.002,3.3452,0.1602,-45.579,0.178,-20.085,0.148
186.89500680599,23.35094478847,,,gaia,3.953786054762882e+18,1.027,2.6021,0.8148,-17.992,1.025,-3.209,0.75
186.94086776551,23.33400910162,,,gaia,3.9537860934181366e+18,0.917,0.5745,0.0561,-15.913,0.057,-5.885,0.05
186.93397230626,23.33648485611,,,gaia,3.9537861578420844e+18,0.983,0.8499,0.3773,6.541,0.434,-14.626,0.352
186.93506442437,23.34989945198,,,gaia,3.9537861964973527e+18,1.008,0.2697,0.0573,1.853,0.062,-9.752,0.052
186.96369684593,23.36120239894,,,gaia,3.953786329640778e+18,1.05,4.4953,0.2378,38.67,0.251,-54.858,0.225
186.92637724497,23.34697936423,,,gaia,3.9537863640005156e+18,,,,,,,
186.93466389391,23.35430518931,,,gaia,3.9537863983602545e+18,,,,,,,
186.91601241861,23.36653287484,,,gaia,3.9537864670793257e+18,0.983,0.7184,0.5603,-7.929,0.639,-1.8,0.621
186.94324641149,23.37895930189,15.22,1.409999966621399,gaia,3.9537865014390605e+18,2.593,3.209,0.0383,-24.942,0.042,29.163,0.035
186.93932138947,23.36459632995,,,gaia,3.953786501439064e+18,0.993,0.5855,0.5196,-15.937,0.58,-5.549,0.5
186.94888675896,23.36968643014,,,gaia,3.9537865057342203e+18,,,,,,,
186.95185492367,23.38527490935,,,gaia,3.9537865400939325e+18,,,,,,,
186.77125936409,23.31234302142,,,gaia,3.9537871542744934e+18,1.042,0.9036,0.2488,-3.203,0.252,-7.179,0.276
186.81333893483,23.31193279791,,,gaia,3.9537872960089784e+18,1.023,0.1768,0.0783,-9.045,0.09,-6.604,0.083
186.82853283238,23.31308518111,,,gaia,3.953787326073186e+18,,,,,,,
186.82268034344,23.32441682631,,,gaia,3.953787394792664e+18,1.01,0.5427,0.7606,-8.85,0.836,-2.211,0.879
186.83614608782,23.32980897985,0.6,0.3499999940395355,gaia,3.953787429152384e+18,0.801,11.9663,0.015,-12.277,0.016,-8.941,0.015
186.80296910452,23.31181346283,,,gaia,3.9537874978718904e+18,1.058,0.696,0.5404,5.065,0.622,-5.811,0.584
186.81100843701,23.35509749947,,,gaia,3.9537877040299054e+18,1.033,0.2195,0.2535,-1.532,0.263,-3.86,0.26
186.80922165371,23.3490953986,,,gaia,3.95378770832584e+18,1.548,1.7752,0.0404,-31.166,0.04,-31.663,0.042
186.74946595021,23.31370955864,,,gaia,3.953787875829e+18,1.118,0.4381,0.397,-1.947,0.417,-1.783,0.436
186.68592562248,23.31622554227,,,gaia,3.9537880819874304e+18,0.947,-0.013,0.1284,-9.305,0.126,-9.409,0.147
186.69058402517,23.32426715295,,,gaia,3.953788086282947e+18,1.009,0.6676,0.0931,2.58,0.093,-17.079,0.095
186.69956196657,23.32368073822,22.88,8.010000228881836,gaia,3.9537881206426854e+18,0.993,2.1812,0.0297,-12.536,0.029,-28.497,0.029
186.72679333687,23.32835280375,,,gaia,3.9537881507069256e+18,1.049,5.0052,0.8975,-4.948,1.032,-49.683,1.163
186.72051311257,23.35240095496,,,gaia,3.9537882537857193e+18,1.023,-0.2405,0.3371,-2.545,0.46,-3.683,0.362
186.72249284161,23.3571570105,,,gaia,3.9537882580816404e+18,0.896,1.509,0.0597,-22.301,0.058,-6.233,0.061
186.77895338422,23.3431610229,,,gaia,3.953788322505602e+18,0.945,-0.2041,0.2794,-6.505,0.319,-2.557,0.342
186.79601906735,23.35115378885,,,gaia,3.9537884255844106e+18,1.073,0.5338,0.2449,-0.87,0.269,-0.928,0.26
186.80770489204,23.35927159461,,,gaia,3.95378845994415e+18,0.996,0.6508,0.1154,-8.477,0.123,-8.04,0.123
186.7755684646,23.38203450596,,,gaia,3.9537887348220836e+18,1.077,0.6156,0.7417,-11.974,1.046,1.22,1.009
186.75666966123,23.38165144639,,,gaia,3.9537887734780564e+18,,,,,,,
186.77061870403,23.39262177396,,,gaia,3.9537888035415613e+18,1.011,-0.2738,0.7688,-14.401,0.891,0.387,1.35
186.84406808287,23.34528289827,,,gaia,3.9537889066211543e+18,1.437,0.8562,0.3098,17.763,0.318,-23.076,0.286
