rho_s,r_s,MBH,chi2,reward,status,proposal_id
1.0,500.0,0.0,,,todo,
532833.0715064566,53506.832768863576,1019106.5614998986,inf,-1000000.0,orbit_fail,1.0
713564.0604763584,25848.495684746147,1505387.4650506133,15254966.17346186,-15254966.17346186,pass,2.0
883879.1953016253,15658.928436822895,1341093.2061514147,12096344.005477866,-12096344.005477866,pass,3.0
643445.1942453558,72417.99148387133,1497450.6514084092,15093989.786465468,-15093989.786465468,pass,4.0
818547.41309931,9971.270582258134,7108.810862323887,889.0504526936824,-889.0504526936824,pass,5.0
230809.69240035687,1423.0623049717053,707084.0685765526,3338801.664187826,-3338801.664187826,pass,6.0
185281.5586348503,79318.28669217542,1224344.4391342073,10074260.76301242,-10074260.76301242,pass,7.0
899429.1355136217,31673.704388452305,813311.4784163564,4426029.208039959,-4426029.208039959,pass,8.0
980258.6056517818,54298.10495390042,484589.9815912487,1557568.250996674,-1557568.250996674,pass,9.0
252241.75689147104,56602.54748339825,266674.62649152754,463638.8964071456,-463638.8964071456,pass,10.0
876258.5713166506,48137.119132011314,566652.4526936518,2136406.1483440753,-2136406.1483440753,pass,11.0
892210.7918698876,82797.67065622829,1959940.9603328088,25901202.823640075,-25901202.823640075,pass,12.0
867232.9851804952,19511.86417414647,908981.8917775048,5536111.64185938,-5536111.64185938,pass,13.0
805182.8010967523,74773.69539034761,1839919.5170051449,22817913.36361914,-22817913.36361914,pass,14.0
220470.00766329293,99795.71917631297,1205593.437720241,9766744.138730915,-9766744.138730915,pass,15.0
35518.55379831994,55641.003630749656,639285.7242073433,2724909.530363679,-2724909.530363679,pass,16.0
502104.674323595,53405.54735135634,1325027.117070292,11807116.842262842,-11807116.842262842,pass,17.0
458275.7360263221,11165.663017247363,1459875.6050992226,14343329.441712474,-14343329.441712474,pass,18.0
784203.5894919161,14300.712814100014,1677374.045106682,18953608.091690402,-18953608.091690402,pass,19.0
402726.3801824037,40761.08121724276,741333.2517062444,3672623.681705204,-3672623.681705204,pass,20.0
917015.6261766752,49169.80080095765,1931976.7732366708,25165329.478662986,-25165329.478662986,pass,21.0
69721.06355438869,36332.4554201868,90320.88255898585,49767.675900776056,-49767.675900776056,pass,22.0
335737.5503407679,40836.3097158689,466215.01744885504,1440447.9638685705,-1440447.9638685705,pass,23.0
203743.0021732562,93493.25957119526,1154094.0764747194,8946602.572635438,-8946602.572635438,pass,24.0
624221.7527354006,84328.47323472943,352969.2807742919,819833.2175378061,-819833.2175378061,pass,25.0
850774.8152969708,30053.70294861635,1668841.1477880417,18760648.510523986,-18760648.510523986,pass,26.0
957758.2295436464,11650.027890125944,233178.4453888101,352595.3343851482,-352595.3343851482,pass,27.0
45750.93892347772,58221.29594296925,196055.82677928096,247277.9237127989,-247277.9237127989,pass,28.0
213255.21476035562,17384.22409870724,1946297.278653651,25540815.72570737,-25540815.72570737,pass,29.0
198236.52136527016,17953.15863055956,543978.6088317073,1967328.2150909242,-1967328.2150909242,pass,30.0
272568.1413808246,80568.88959770888,346653.9217907703,790336.3270815155,-790336.3270815155,pass,31.0
307819.3121606739,46662.95969179617,1613934.52847842,17542628.948643167,-17542628.948643167,pass,32.0
819154.494516544,20024.613764907877,305075.79719803965,609687.5540628487,-609687.5540628487,pass,33.0
687020.4116464612,71312.27745758441,334129.0621979789,733467.4378770665,-733467.4378770665,pass,34.0
248939.73086428427,83450.01578999897,1626189.1242518679,17810952.649219822,-17810952.649219822,pass,35.0
466145.5141477529,54888.14104861587,1366826.105172089,12566904.910158345,-12566904.910158345,pass,36.0
493056.71081907325,70924.40205373324,1407220.0393412337,13323664.90463935,-13323664.90463935,pass,37.0
437797.1642810061,20490.43600979104,846672.3562000524,4799009.434817976,-4799009.434817976,pass,38.0
803772.4645366808,84725.14170311172,254942.60058787424,423056.7828011554,-423056.7828011554,pass,39.0
431419.1419619341,89371.64634561997,1100216.169216877,8127114.211012276,-8127114.211012276,pass,40.0
247645.88160701544,42261.14465647284,73314.26483858576,32160.519597572547,-32160.519597572547,pass,41.0
723982.7248733735,53414.67099085755,626773.3842095616,2618460.656328541,-2618460.656328541,pass,42.0
791082.3685354015,33836.05292955474,1666501.5692975128,18707920.925800517,-18707920.925800517,pass,43.0
681538.6653520995,16080.684573875118,321020.3299260027,676172.8509140144,-676172.8509140144,pass,44.0
482292.2501793368,64156.808718487235,1020668.5540665701,6989092.19176174,-6989092.19176174,pass,45.0
326301.86419848143,17445.987321192628,1305295.0325840402,11456671.432228038,-11456671.432228038,pass,46.0
724551.7163940558,66799.84236423437,1166549.4715431323,9141657.746355815,-9141657.746355815,pass,47.0
263132.219773239,17399.214398810425,998570.2713385125,6688169.818503276,-6688169.818503276,pass,48.0
4500.689743559573,74570.51524353826,300439.2465742177,590966.6681791795,-590966.6681791795,pass,49.0
512488.1191631706,91706.26928546761,1038157.0821954183,7231931.291427,-7231931.291427,pass,50.0
