ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
259.76119219769,57.3360288243,,,gaia,1.4328472350772419e+18,1.084,-1.1394,0.678,1.459,1.114,-4.283,0.926,-204.68415290441615,-768.374385117622,795.1696662694585,False,dwarf
259.78722737231,57.3514054176,,,gaia,1.4328472393704648e+18,1.996,1.5928,0.141,5.317,0.21,-7.833,0.171,-186.3404539729595,-747.9780993749232,770.8398030274326,False,dwarf
259.74409413218,57.34940548025,,,gaia,1.4328480296444472e+18,0.968,0.2684,0.049,-1.06,0.067,-5.907,0.064,-216.73099993360924,-750.6309167358492,781.293222479194,False,dwarf
259.75991194857,57.36169840523,,,gaia,1.4328480597086886e+18,1.083,-0.4355,0.66,-0.443,1.049,-6.841,0.979,-205.58618274509305,-734.3249635501268,762.560706192362,False,dwarf
259.78037853671,57.37168681462,,,gaia,1.4328480597086892e+18,0.987,0.6827,0.3882,-5.029,0.632,4.235,0.589,-191.1659633122029,-721.0758356022922,745.9857815123734,False,dwarf
259.76567029728,57.36618199944,,,gaia,1.432848064004573e+18,,,,,,,,-201.52900177281543,-728.3776989722402,755.7433498983917,False,dwarf
259.67474861276,57.35726619455,,,gaia,1.4328481670834002e+18,0.989,0.4602,0.0541,0.457,0.077,0.243,0.071,-265.59002811574163,-740.2040704327372,786.409644472722,False,dwarf
259.70894321898,57.36402072034,,,gaia,1.4328481971476424e+18,0.916,0.5724,0.0856,-5.372,0.123,-8.699,0.112,-241.49740839134637,-731.2445281348108,770.0906168671573,False,dwarf
259.69244436398,57.35500098116,,,gaia,1.432848197147657e+18,1.279,-1.2843,1.4074,1.701,1.939,-8.945,2.064,-253.1220674632093,-743.2087632583224,785.1305922079553,False,dwarf
259.71864537996,57.36814360331,,,gaia,1.4328483002268575e+18,0.921,2.83,0.2174,-22.537,0.291,23.424,0.293,-234.66152107352553,-725.7757290647327,762.7689285569942,False,dwarf
259.73327607981,57.37187581762,,,gaia,1.4328483045227308e+18,,,,,,,,-224.35311496052515,-720.8251325291712,754.9325743920366,False,dwarf
259.75344449712,57.37865415812,,,gaia,1.4328483345865966e+18,1.035,0.6468,0.3149,3.94,0.495,-8.982,0.464,-210.14297884823003,-711.8340012036529,742.2046327185042,False,dwarf
260.25706977212,57.33232861692,,,gaia,1.432926365552936e+18,0.995,1.3777,0.5271,-2.658,0.907,-3.719,0.718,144.69813720769753,-773.2825260534808,786.7041477016819,False,dwarf
260.27118904232,57.33861809596,,,gaia,1.4329264042075663e+18,1.014,0.6899,0.0475,-0.413,0.074,-13.31,0.065,154.6462034473162,-764.9398451247578,780.4155398889474,False,dwarf
260.29397575011,57.33761153954,,,gaia,1.4329264042075674e+18,0.969,0.66,0.0157,-5.359,0.022,-5.217,0.021,170.70111813254965,-766.2749921211134,785.0581094937592,False,dwarf
260.28328633087,57.34360084839,,,gaia,1.432926404207568e+18,1.093,0.0161,0.041,-1.767,0.06,-0.731,0.058,163.16963462407483,-758.3304720104209,775.6864279094367,False,dwarf
260.08415667564,57.31573677625,,,gaia,1.4329267778690386e+18,0.941,0.804,0.4044,-4.253,0.709,4.181,0.595,22.86811957075474,-795.2907769514841,795.6194886984591,False,dwarf
260.10497943403,57.31801676211,,,gaia,1.4329268165244196e+18,1.08,-0.0579,0.2659,-8.175,0.433,9.478,0.38,37.53928718933507,-792.2664891796352,793.1553365890621,False,dwarf
260.11403709878,57.3180768397,,,gaia,1.43292681652442e+18,0.926,0.8579,0.1821,0.673,0.304,-5.274,0.271,43.92107942314373,-792.1867992464762,793.4034195275887,False,dwarf
260.11984798773,57.32830676273,,,gaia,1.4329269196036362e+18,0.965,0.4316,0.0258,-1.16,0.038,-5.033,0.039,48.01527886595785,-778.6173154749321,780.0963985059575,False,dwarf
260.14144403721,57.3277249144,,,gaia,1.432926919603637e+18,1.115,0.0928,0.0542,-2.631,0.086,-1.252,0.085,63.2312870376824,-779.3891083269768,781.9498563457646,False,dwarf
260.13446245548,57.33636006284,,,gaia,1.4329269196036378e+18,0.99,0.1034,0.1051,-3.142,0.18,1.141,0.165,58.312248268405476,-767.9350136795566,770.1457677174737,False,dwarf
260.15256052173,57.33415295698,,,gaia,1.4329269496677496e+18,1.064,0.2135,0.1653,-4.181,0.276,3.509,0.239,71.06366950436791,-770.8626297585379,774.1312802630279,False,dwarf
260.16422788141,57.33939089071,,,gaia,1.432926949667757e+18,0.997,0.7238,0.068,-4.472,0.107,3.206,0.095,79.28418411274463,-763.9147713497155,768.018072532614,False,dwarf
260.22286734325,57.32706567521,,,gaia,1.432927018387223e+18,1.08,1.0389,0.281,-16.544,0.442,-10.364,0.41,120.60000584988173,-780.2635563031756,789.5287067015805,False,dwarf
260.23277518541,57.33629405928,-24.57,6.039999961853027,gaia,1.432927022682856e+18,1.044,0.8647,0.0124,1.256,0.02,-8.97,0.021,127.58081071469216,-768.0225641170014,778.5470584720435,True,dwarf
260.18926736712,57.32040844185,,,gaia,1.4329270570425912e+18,1.087,0.7576,0.1324,-2.979,0.201,-9.191,0.186,96.92634683938115,-789.0940450347932,795.0246088147211,False,dwarf
260.21780005793,57.3325562754,,,gaia,1.4329270871067034e+18,1.025,1.4306,0.1778,-6.505,0.305,5.822,0.255,117.02972995711947,-772.9805484099775,781.7895406783247,False,dwarf
260.22314642174,57.33553915041,,,gaia,1.4329270914023322e+18,1.128,1.2802,0.3016,4.717,0.549,-19.009,0.43,120.79663721008487,-769.0239131623925,778.4533425818556,False,dwarf
260.25279242295,57.34440176007,,,gaia,1.4329271257617044e+18,,,,,,,,141.68442953931944,-757.268102527057,770.4086296757141,False,dwarf
260.2674117715,57.3512224068,,,gaia,1.4329271601212037e+18,,,,,,,,151.98483782503257,-748.2208540929589,763.5010395725067,False,dwarf
260.28562179427,57.34713367718,,,gaia,1.4329271601218125e+18,0.984,0.7248,0.0396,0.976,0.058,-15.175,0.056,164.81514067887252,-753.6443504440147,771.4556614305046,False,dwarf
260.26864503489,57.35271260639,,,gaia,1.4329271601218127e+18,0.996,0.3869,0.0554,-0.268,0.094,-10.117,0.081,152.8537627567605,-746.2441785018017,761.73791210411,False,dwarf
260.29113269663,57.35307126451,,,gaia,1.4329271601218138e+18,1.036,0.7163,0.0262,-6.496,0.04,-4.413,0.036,168.6979774643827,-745.7684363554806,764.6107298911465,False,dwarf
260.28440841608,57.35742757945,-18.2,3.819999933242798,gaia,1.432927160121814e+18,1.175,2.6804,0.0147,-2.304,0.024,1.854,0.023,163.96022633577047,-739.9900013947649,757.936777036384,True,dwarf
260.24475798389,57.35431522849,,,gaia,1.4329271944815503e+18,1.079,0.9391,0.5061,-0.584,0.892,-0.388,0.732,136.02357520086653,-744.1183800462161,756.4486608706706,False,dwarf
260.26394919939,57.3609912611,,,gaia,1.4329272288407946e+18,,,,,,,,149.5452006326175,-735.2629550450799,750.3168531319772,False,dwarf
260.21024074246,57.35413102392,,,gaia,1.432927293265157e+18,1.006,0.8623,0.4064,-3.06,0.684,-0.98,0.542,111.70363519745692,-744.362718240735,752.6975212016195,False,dwarf
260.23080551897,57.35988057095,,,gaia,1.4329272932720476e+18,2.093,0.8337,0.6054,0.213,0.98,-23.355,0.892,126.19303557208461,-736.7362302516867,747.4656883043955,False,dwarf
260.23055778922,57.35972317067,,,gaia,1.4329272975607657e+18,2.239,-1.1867,0.8559,11.734,1.651,-33.837,1.445,126.01849170914062,-736.9450138895228,747.6420358361852,False,dwarf
260.2275161997,57.36231416746,,,gaia,1.4329272975609078e+18,1.053,0.7112,0.6125,0.182,1.01,1.124,1.079,123.87546777164904,-733.5081855975751,743.8947438006882,False,dwarf
260.22079977124,57.3646692505,,,gaia,1.432927361984643e+18,1.053,0.4518,0.5311,-4.71,0.824,4.966,0.712,119.14324901901904,-730.3842851539359,740.0380515802103,False,dwarf
260.21390605772,57.36200106641,,,gaia,1.432927366280242e+18,1.047,0.9694,0.0345,5.534,0.055,-5.009,0.05,114.28611987830274,-733.9234985578411,742.768482726764,False,dwarf
260.2195824602,57.36664465604,,,gaia,1.4329273662802432e+18,1.032,0.3928,0.3351,-5.27,0.526,-4.833,0.45,118.28556369332863,-727.764008018057,737.3139941332695,False,dwarf
260.24541676418,57.3624167077,,,gaia,1.4329274006399818e+18,1.015,1.5656,0.0367,0.185,0.062,-0.685,0.053,136.48773445765667,-733.372171072495,745.9649073253839,False,dwarf
260.24559788786,57.36609411682,,,gaia,1.4329274006399826e+18,1.042,0.6933,0.059,-7.758,0.096,-3.406,0.083,136.61534943637915,-728.4942708938926,741.1934001506274,False,dwarf
260.2623439454,57.37268043248,,,gaia,1.432927434999722e+18,1.021,0.9593,0.2421,-26.383,0.377,-15.272,0.327,148.414180912882,-719.7578509618498,734.9000837646313,False,dwarf
260.27554656591,57.37107722578,,,gaia,1.4329274349997222e+18,1.06,0.1976,0.1815,-2.239,0.272,-7.689,0.263,157.71639990226754,-721.8844248602352,738.9124343614232,False,dwarf
260.26164998212,57.37639359188,,,gaia,1.4329274349998612e+18,1.009,-0.5253,0.4867,-5.714,0.975,-2.81,0.637,147.92523264716968,-714.8325298160669,729.9776846842357,False,dwarf
260.27978282403,57.39639062659,,,gaia,1.4329274994304788e+18,0.959,0.0244,0.0868,-2.558,0.138,1.026,0.125,160.70115589807332,-688.3074584953555,706.8182361309819,False,dwarf
259.761099,57.33603,,,sdss,,,,,,,,,-204.74981754431616,-768.3728256100987,795.1850645733218,False,dwarf
259.787161,57.351435,,,sdss,,,,,,,,,-186.38721815601411,-747.9388597935861,770.8130338034426,False,dwarf
259.770729,57.336851,,,sdss,,,,,,,,,-197.9647729541244,-767.2838099700217,792.41056048799,False,dwarf
259.723424,57.343513,,,sdss,,,,,,,,,-231.29463114089793,-758.4469985276554,792.9306753873338,False,dwarf
259.744094,57.349434,,,sdss,,,,,,,,,-216.73109306414844,-750.5930867068473,781.2569030177547,False,dwarf
259.765689,57.366182,,,sdss,,,,,,,,,-201.51582432844748,-728.3776982294361,755.7398353486371,False,dwarf
259.780415,57.371666,,,sdss,,,,,,,,,-191.1402722375748,-721.1034451597973,746.005886231726,False,dwarf
259.773792,57.370414,,,sdss,,,,,,,,,-195.80666375583206,-722.764160849657,748.8179229825487,False,dwarf
259.759918,57.361726,,,sdss,,,,,,,,,-205.5819190667203,-734.2883604610684,762.5243089605468,False,dwarf
259.732446,57.355671,,,sdss,,,,,,,,,-224.93796735146006,-742.3200166128936,775.6520458429625,False,dwarf
259.739287,57.355736,,,sdss,,,,,,,,,-220.11797876979278,-742.2337973478417,774.1853360165742,False,dwarf
259.761446,57.359221,,,sdss,,,,,,,,,-204.50533047550957,-737.6111182910244,765.4362102875934,False,dwarf
