ra,dec,vlos,vlos_err,src
259.393008,57.994991,-11.7599,0.012592,apogee
259.268679,57.766888,-24.6859,0.021891,apogee
259.105822,58.084496,-15.8926,0.015487,apogee
259.142484,58.116196,-34.079498,0.030053,apogee
259.155873,58.283562,-41.5522,0.037078,apogee
258.938469,57.83963,-70.348602,0.002258,apogee
258.954718,58.034935,-57.178699,0.025183,apogee
259.053598,58.125923,-27.9555,0.005392,apogee
259.061203,57.799072,-38.569599,0.020582,apogee
259.09858,57.876251,-357.752991,5.0158,apogee
259.112441,57.725746,-42.581902,0.011263,apogee
259.115811,57.802372,-285.187012,0.068672,apogee
259.190886,57.8382,-666.741028,0.087213,apogee
259.204183,57.683228,6.59517,0.051741,apogee
259.231718,57.787998,-114.162003,5.33095,apogee
259.233357,57.976723,-385.776001,3.66781,apogee
259.239431,57.741047,-134.863007,0.043171,apogee
259.24069,58.103767,-29.718599,0.016871,apogee
259.265161,57.628925,-47.937401,0.010477,apogee
259.280397,58.220524,-36.6926,0.056726,apogee
259.336713,58.28265,-42.394001,0.059904,apogee
259.342717,58.123734,-1292.77002,0.485299,apogee
259.410731,58.077488,-558.302002,0.727087,apogee
259.436372,57.923138,-26.1007,0.010197,apogee
259.440899,58.116398,-52.591099,0.057166,apogee
259.442414,57.706085,-72.670097,0.20664,apogee
259.489649,57.763557,-6.59511,0.412814,apogee
259.492339,58.347744,-49.651798,0.059528,apogee
259.493163,58.099785,-498.217987,0.660477,apogee
259.496411,57.952736,8.87234,0.016831,apogee
259.501704,58.177334,-5.81704,0.023493,apogee
259.529507,57.533234,-16.6346,0.021313,apogee
259.531949,57.981709,-21.620001,0.103217,apogee
259.533658,58.02969,-308.657013,0.115525,apogee
259.543284,57.869194,-309.256012,0.076775,apogee
259.570263,58.448349,-83.5681,0.112152,apogee
259.624531,57.559937,-39.055698,0.034725,apogee
259.62491,57.41177,-12.1681,0.006121,apogee
259.625472,58.358604,-26.900499,0.064621,apogee
259.626561,57.763527,-7.88144,0.007832,apogee
259.636805,57.848934,-283.389008,0.119026,apogee
