ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
55.86409964679,-44.10807445471,,,gaia,4.836213409581587e+18,0.959,1.6097,0.0278,0.498,0.03,-4.697,0.032
55.910451744,-44.11638100544,18.3,2.0,gaia,4.836213547020539e+18,0.965,1.7915,0.0107,10.825,0.011,21.726,0.012
55.94755325239,-44.10179803739,,,gaia,4.836213611443741e+18,1.009,0.5306,0.4704,10.358,0.558,-2.394,0.628
55.93653355551,-44.09496331694,,,gaia,4.836213615740015e+18,1.007,0.4569,0.1833,2.964,0.201,-6.117,0.214
55.92008806519,-44.09615237052,,,gaia,4.83621364580348e+18,1.053,2.4133,0.1854,14.316,0.207,16.266,0.217
55.92049752299,-44.08897228652,,,gaia,4.836213680163222e+18,0.961,0.1297,0.053,4.312,0.061,-18.159,0.061
55.88088683179,-44.1104750455,,,gaia,4.836213714522953e+18,1.046,0.7897,0.0554,12.561,0.06,5.535,0.064
55.87023161079,-44.11012676367,,,gaia,4.836213783242429e+18,0.957,0.1295,0.2542,0.054,0.3,-0.163,0.304
55.8715342203,-44.10548118509,,,gaia,4.836213783242431e+18,,,,,,,
55.85994184126,-44.10216297692,,,gaia,4.836213783242433e+18,0.954,-0.4072,0.3733,-0.413,0.463,0.847,0.464
55.88642506344,-44.08912975346,,,gaia,4.836213821898446e+18,0.935,0.9461,0.0225,9.485,0.026,12.241,0.026
55.90323506891,-44.0818088814,,,gaia,4.836213851961915e+18,0.966,0.7977,0.2035,13.207,0.22,-10.885,0.232
55.8865692487,-44.0702284412,,,gaia,4.836213920681395e+18,1.014,0.5298,0.3371,3.663,0.38,-10.097,0.403
55.83997213531,-44.10183581314,,,gaia,4.836214161199555e+18,0.984,-0.1581,0.2423,0.901,0.284,-9.05,0.293
55.83090164355,-44.08259877709,,,gaia,4.836214229919453e+18,1.113,1.5002,0.3543,10.325,0.384,11.865,0.472
55.80323295156,-44.09500887816,,,gaia,4.836214298638924e+18,1.029,0.1841,0.3225,10.006,0.387,-1.527,0.372
55.85802840098,-44.08009871805,35.01,0.52,gaia,4.836214577812691e+18,0.871,1.6489,0.0102,13.476,0.011,-17.448,0.012
55.88123882463,-44.06520350527,,,gaia,4.83621467659564e+18,0.953,0.7646,0.1177,1.783,0.12,7.042,0.141
55.87718094985,-44.06495748339,,,gaia,4.836214680890698e+18,1.111,0.1443,0.4538,13.746,0.48,8.246,0.542
55.87508819079,-44.07289444112,,,gaia,4.836214680891905e+18,1.054,0.3808,0.035,3.744,0.035,7.061,0.04
55.8749262063,-44.05526232942,,,gaia,4.836214710955382e+18,,,,,,,
55.83018572184,-44.05880208456,,,gaia,4.836214814034596e+18,0.973,0.3025,0.4249,3.986,0.454,4.797,0.53
55.83409073695,-44.06316153093,,,gaia,4.83621481833086e+18,1.024,0.4003,0.0405,-0.352,0.041,-1.207,0.048
55.83689937191,-44.06733271975,,,gaia,4.83621481833086e+18,0.938,0.1078,0.0424,2.672,0.043,-1.082,0.051
55.8243200602,-44.05543166546,-23.93,1.02,gaia,4.83621481833086e+18,1.092,0.5153,0.0118,3.546,0.012,-7.767,0.015
55.82373315959,-44.06171941554,,,gaia,4.836214818330861e+18,1.096,1.9534,0.0416,21.033,0.043,9.389,0.048
55.8303666007,-44.05407778449,,,gaia,4.836214848394336e+18,1.063,0.3722,0.1048,6.94,0.106,7.698,0.12
55.84451884881,-44.05520234399,,,gaia,4.836214852690598e+18,0.988,0.8402,0.0175,3.735,0.018,-2.841,0.02
55.82722870897,-44.05041296601,,,gaia,4.836214852690598e+18,1.097,0.5858,0.0991,8.7,0.102,2.061,0.12
55.80959970695,-44.05178613131,,,gaia,4.836214887050337e+18,0.937,1.8949,0.0206,-18.247,0.021,-7.96,0.024
55.8435754836,-44.04791205459,,,gaia,4.836214955768609e+18,0.941,0.1613,0.3833,7.569,0.408,-1.757,0.462
55.84657022268,-44.01358428099,,,gaia,4.836215054552776e+18,1.077,0.4898,0.1411,6.251,0.151,0.22,0.172
55.83041294872,-44.01228119185,,,gaia,4.836215058847821e+18,1.123,0.2441,0.7355,13.977,0.846,9.169,0.909
55.66695434639,-44.04601348838,,,gaia,4.836225950886167e+18,1.125,1.3735,0.2156,7.059,0.232,3.758,0.265
55.65869652757,-44.01216119506,,,gaia,4.836226049669053e+18,1.07,-0.0103,0.3281,0.83,0.35,-2.278,0.373
55.65220914449,-44.0217777712,,,gaia,4.836226049670827e+18,0.96,0.1769,1.0155,17.202,1.12,2.055,1.27
55.77262350744,-44.08350839768,,,gaia,4.836226122683597e+18,1.076,0.6065,0.3978,13.437,0.409,13.898,0.459
55.76865823465,-44.0689090125,,,gaia,4.836226122684786e+18,,,,,,,
