ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
39.99292166806,-35.04826072465,,,gaia,5.050081061271934e+18,1.106,-1.6992,1.3258,0.817,0.932,1.532,1.214
39.98922549996,-35.04738832526,,,gaia,5.050081061271935e+18,1.058,-0.1224,0.4831,3.114,0.346,-1.668,0.501
40.1393389435,-35.0305716463,,,gaia,5.050081885905659e+18,,,,,,,
40.14249948471,-35.03025751507,,,gaia,5.05008188590566e+18,,,,,,,
40.14964081555,-35.03055612205,,,gaia,5.050081890200812e+18,,,,,,,
40.14456374328,-35.02938043825,,,gaia,5.050081890201547e+18,1.068,2.8985,0.1539,15.869,0.104,-10.328,0.152
40.09323934855,-35.04357916351,,,gaia,5.050081988984872e+18,0.926,1.3568,1.2336,1.904,1.403,-3.632,2.185
40.08911601833,-35.04053288644,,,gaia,5.050081988984873e+18,,,,,,,
40.08517652516,-35.03886879845,,,gaia,5.05008199328015e+18,,,,,,,
40.10937353192,-35.03285037745,,,gaia,5.050082023344612e+18,1.069,4.0473,0.2331,14.157,0.159,37.203,0.244
40.11689730442,-35.03715916026,,,gaia,5.050082062000239e+18,1.081,0.4373,0.0544,15.609,0.038,1.121,0.053
40.13570092722,-35.02407271157,,,gaia,5.050082092064091e+18,0.97,0.6713,0.9914,-0.819,0.705,0.601,0.989
40.13045685826,-35.02903550315,,,gaia,5.050082096359427e+18,,,,,,,
40.12014897176,-35.02341213458,,,gaia,5.05008212642383e+18,,,,,,,
40.10529470114,-35.01847958253,,,gaia,5.050082126423831e+18,1.008,-0.3021,0.3956,0.627,0.271,-0.938,0.41
40.12101672642,-35.02202230621,,,gaia,5.05008213071898e+18,1.157,0.4946,0.9495,16.091,0.673,1.646,0.968
40.11339669685,-35.02950633611,,,gaia,5.050082130719127e+18,,,,,,,
40.12211757578,-35.01479823204,,,gaia,5.050082160783569e+18,1.156,-0.5774,0.7624,0.713,0.531,-0.157,0.742
40.07260361998,-35.04419266317,,,gaia,5.050082371237885e+18,4.266,1.0476,0.1702,6.01,0.123,-26.875,0.163
40.043233573,-35.04381334109,,,gaia,5.050082405597037e+18,,,,,,,
40.060346518,-35.0395977418,,,gaia,5.050082435661472e+18,1.053,1.2307,0.1608,7.478,0.107,-14.625,0.161
40.05358833329,-35.02864738565,,,gaia,5.050082435661474e+18,1.088,0.1839,0.3974,-0.118,0.273,0.49,0.416
40.01935934816,-35.04700086911,,,gaia,5.050082504380946e+18,1.055,0.397,0.6189,0.905,0.413,-0.594,0.595
40.02272131246,-35.04619748789,,,gaia,5.050082504380946e+18,1.028,0.5072,0.7027,-0.038,0.432,-0.16,0.772
40.00385308452,-35.03738971171,,,gaia,5.050082543034961e+18,1.055,0.9668,0.504,7.276,0.352,-10.203,0.562
40.00110046338,-35.04187556909,,,gaia,5.050082543035982e+18,,,,,,,
40.0222053094,-35.03258682445,,,gaia,5.050082573100426e+18,1.118,0.0203,0.2764,0.166,0.184,-0.216,0.283
40.0094241382,-35.03685095465,,,gaia,5.050082577395637e+18,1.09,0.6189,0.9014,43.642,0.573,-3.295,0.852
40.03587535151,-35.03679232231,,,gaia,5.050082607460164e+18,0.992,-0.2564,0.1388,0.399,0.092,-0.265,0.142
40.03453748455,-35.04130568248,,,gaia,5.050082611755524e+18,,,,,,,
40.04627763311,-35.01952909952,,,gaia,5.050082641819905e+18,1.008,1.012,0.2549,-1.413,0.17,-6.926,0.257
40.04119155877,-35.02532095484,,,gaia,5.05008264611579e+18,0.997,0.5728,0.0245,38.438,0.016,-6.339,0.024
40.05088894447,-35.02521632422,,,gaia,5.050082646115946e+18,1.039,-0.2007,0.542,0.364,0.356,-0.362,0.51
40.0191111614,-35.01886389358,,,gaia,5.050082676179643e+18,,,,,,,
40.03432678745,-35.02029117352,,,gaia,5.050082710539382e+18,1.077,8.0316,0.6351,-24.093,0.478,-40.36,0.791
40.02486051273,-35.01083564473,,,gaia,5.050082714833653e+18,1.033,1.2278,0.5211,13.397,0.344,-16.896,0.517
40.02972405472,-35.0166856859,,,gaia,5.050082714834681e+18,,,,,,,
40.03460099974,-35.01402130411,-21.8,3.6,gaia,5.050082714835267e+18,1.007,1.4265,0.0132,-8.0,0.009,4.294,0.012
40.03049686361,-35.00449126351,,,gaia,5.05008271483586e+18,,,,,,,
40.07930975554,-35.03406009576,,,gaia,5.050082744899118e+18,,,,,,,
40.07297655745,-35.03761018373,,,gaia,5.050082749195159e+18,,,,,,,
40.0955192271,-35.01945507689,,,gaia,5.05008277925886e+18,,,,,,,
40.09924969365,-35.02157707157,,,gaia,5.050082783554126e+18,0.92,0.3159,1.5415,0.093,1.673,-1.0,2.5
40.06669147677,-35.02921191148,,,gaia,5.050082813618596e+18,1.104,0.4656,0.4053,0.086,0.276,0.262,0.395
40.07409401821,-35.02052014448,,,gaia,5.050082813618597e+18,,,,,,,
40.06179655951,-35.0164895068,,,gaia,5.050082817914482e+18,1.023,1.0992,0.0329,5.756,0.021,-14.916,0.031
40.07344494356,-35.01329885756,,,gaia,5.050082847978336e+18,1.071,-0.0807,0.3588,0.5,0.234,-0.579,0.347
40.08691496108,-35.01127732434,,,gaia,5.050082847978336e+18,,,,,,,
40.09436364173,-35.00695539585,,,gaia,5.050082882338076e+18,0.984,-0.508,0.4801,-0.444,0.333,-0.078,0.505
40.09433953987,-35.00829926585,,,gaia,5.050082886634117e+18,,,,,,,
39.50968126531,-34.06753662895,,,simbad,,,,,,,,
39.29795032051,-34.41754508804,,,simbad,,,,,,,,
39.35808994575,-34.37018015636889,,,simbad,,,,,,,,
39.52168,-34.37645299999999,,,simbad,,,,,,,,
40.130573,-34.750431,,,simbad,,,,,,,,
40.23574276653001,-34.98805704767,,,simbad,,,,,,,,
40.09773104552,-34.57082111046,,,simbad,,,,,,,,
40.03277727707,-34.571983561959996,,,simbad,,,,,,,,
40.10304166666667,-34.49238888888889,,,simbad,,,,,,,,
40.113541666666656,-34.56905555555556,,,simbad,,,,,,,,
39.953708333333324,-34.50788888888888,,,simbad,,,,,,,,
40.10573333333333,-34.50373611111111,,,simbad,,,,,,,,
39.90158333333333,-34.51574999999999,,,simbad,,,,,,,,
39.91487813367001,-34.56161781265,,,simbad,,,,,,,,
40.13695833333333,-34.541694444444445,,,simbad,,,,,,,,
40.049083333333336,-34.52063888888889,,,simbad,,,,,,,,
40.16720833333333,-34.55686111111111,,,simbad,,,,,,,,
40.191583333333334,-34.53344444444444,,,simbad,,,,,,,,
40.19252503378,-34.613607457,,,simbad,,,,,,,,
40.19770833333333,-34.529472222222225,,,simbad,,,,,,,,
39.97208333333334,-34.60744444444445,,,simbad,,,,,,,,
40.14004166666667,-34.532444444444444,,,simbad,,,,,,,,
40.04701086671,-34.57342091537,,,simbad,,,,,,,,
39.883818970369994,-34.48988850089,,,simbad,,,,,,,,
39.854022804859994,-34.51437304672,,,simbad,,,,,,,,
39.89371073239,-34.52207196369,,,simbad,,,,,,,,
