ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
247.88950604872,12.2058386343,,,gaia,4.4595086269869926e+18,,,,,,,
247.95526424127,12.22484136955,,,gaia,4.459508901861454e+18,0.935,0.8618,1.3603,-3.433,0.989,-12.345,0.956
247.95971924664,12.22550935665,,,gaia,4.4595089061576847e+18,0.992,2.3215,0.1087,-1.808,0.087,-10.16,0.072
247.91545415561,12.21369397839,,,gaia,4.4595089405156936e+18,,,,,,,
247.92365793758,12.21436456753,,,gaia,4.459508970579817e+18,0.99,0.7866,0.23,-6.19,0.194,-10.723,0.16
247.92395354237,12.21912120934,,,gaia,4.459508970579828e+18,0.96,1.2662,0.0348,7.251,0.027,2.159,0.024
247.9262911353,12.22048774317,,,gaia,4.459508974877168e+18,1.024,1.0034,0.0408,4.889,0.032,-10.834,0.028
247.90978155672,12.21673819896,,,gaia,4.45950900494056e+18,,,,,,,
247.90857437062,12.22290672369,,,gaia,4.4595090092369116e+18,0.947,0.1923,0.2157,-1.654,0.184,-6.922,0.155
247.90627818116,12.22287616305,,,gaia,4.4595090092378476e+18,0.927,2.6632,0.3386,1.655,0.27,-22.572,0.231
247.91790370517,12.22541388454,31.6,3.36,gaia,4.4595090435966484e+18,0.99,0.0526,0.0199,1.813,0.015,-2.504,0.013
247.91217425733,12.22899802495,,,gaia,4.459509043596652e+18,0.97,-0.0075,0.0659,-4.957,0.053,-3.539,0.045
247.94991530654,12.24055465519,,,gaia,4.459509108018816e+18,1.001,0.3144,0.1825,-1.271,0.15,1.957,0.129
247.94971103029,12.23469826429,,,gaia,4.4595091123133174e+18,1.058,1.5883,0.5269,-11.522,0.427,-8.362,0.362
247.95998225986,12.23480269661,,,gaia,4.459509112316117e+18,0.989,0.1055,0.2508,-3.824,0.226,-0.743,0.182
247.95630620546,12.23780368573,,,gaia,4.4595091123161185e+18,0.98,0.8888,0.0372,-12.782,0.031,0.875,0.027
247.95297415821,12.23943338464,,,gaia,4.45950911231612e+18,0.962,1.5639,0.0843,17.021,0.068,-9.795,0.058
247.93044135164,12.22748224252,,,gaia,4.4595091466738657e+18,,,,,,,
247.92709163162,12.23111057964,-87.27,3.4,gaia,4.4595091466758625e+18,1.032,2.1784,0.0225,-11.932,0.017,18.375,0.015
247.92981553975,12.24397689091,,,gaia,4.4595091810356045e+18,1.047,1.3411,0.0879,-11.993,0.07,-3.958,0.06
247.81043559372,12.19759913553,,,gaia,4.4595102075303634e+18,1.02,-0.7531,0.716,-6.897,0.796,-3.971,0.691
247.82111572566,12.20215882958,,,gaia,4.459510207530373e+18,0.928,0.6838,0.6441,8.305,0.585,-12.656,0.533
247.81881340393,12.20285385436,,,gaia,4.4595102075303757e+18,0.964,1.5381,0.1933,-16.373,0.17,-12.223,0.146
247.80884011032,12.19592515496,,,gaia,4.459510211826016e+18,0.951,2.4662,1.25,-14.129,1.118,2.37,0.999
247.81324098538,12.19820205777,,,gaia,4.459510211827773e+18,0.956,0.7812,0.1101,-4.879,0.093,1.527,0.08
247.78887977013,12.19916841361,,,gaia,4.4595102418901053e+18,0.992,0.0082,0.2885,-4.477,0.24,-2.529,0.214
247.80169519738,12.19359900248,,,gaia,4.4595102461853076e+18,,,,,,,
247.80207208042,12.20461024665,,,gaia,4.4595102762498545e+18,0.916,0.2115,0.2455,-6.531,0.221,-1.523,0.186
247.80710379796,12.2143995612,,,gaia,4.4595102762498724e+18,0.955,1.87,0.2404,-13.553,0.217,-12.872,0.195
247.80804148564,12.20624948854,,,gaia,4.459510276250681e+18,,,,,,,
247.80161443957,12.20167222147,,,gaia,4.459510280544476e+18,0.985,-0.1793,0.3144,-5.407,0.283,-8.107,0.245
247.80812808586,12.19873403947,,,gaia,4.4595102805472507e+18,1.012,0.9509,0.0847,-12.494,0.071,-7.624,0.06
247.73156681667,12.19341862547,,,gaia,4.459510757286168e+18,,,,,,,
247.72773913002,12.19473254514,,,gaia,4.459510761583747e+18,0.966,-0.1115,0.0744,-0.436,0.058,-2.23,0.053
247.71290843597,12.20025733865,,,gaia,4.4595107916459197e+18,1.017,0.3995,0.4166,-12.02,0.356,-5.024,0.317
247.70811036026,12.19519789418,-4.94,3.66,gaia,4.459510795943485e+18,1.068,1.3547,0.0211,-8.399,0.016,-20.844,0.014
247.72542682522,12.20329732599,,,gaia,4.459510830303224e+18,1.05,1.3423,0.6873,-5.592,0.672,-3.994,0.689
