ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
247.88950604872,12.2058386343,,,gaia,4.4595086269869926e+18,,,,,,,,294.77495508983185,-1349.7276925038207,1381.541573047985,False,dwarf
247.95526424127,12.22484136955,,,gaia,4.459508901861454e+18,0.935,0.8618,1.3603,-3.433,0.989,-12.345,0.956,442.51104229624457,-1305.9485333001771,1378.8827340216399,False,dwarf
247.95971924664,12.22550935665,,,gaia,4.4595089061576847e+18,0.992,2.3215,0.1087,-1.808,0.087,-10.16,0.072,452.5199101851254,-1304.4096014983995,1380.6732696750405,False,dwarf
247.91545415561,12.21369397839,,,gaia,4.4595089405156936e+18,,,,,,,,353.07144460220445,-1331.6302788951384,1377.6424226423312,False,dwarf
247.92365793758,12.21436456753,,,gaia,4.459508970579817e+18,0.99,0.7866,0.23,-6.19,0.194,-10.723,0.16,371.50252674638875,-1330.08535242355,1380.992821165494,False,dwarf
247.92395354237,12.21912120934,,,gaia,4.459508970579828e+18,0.96,1.2662,0.0348,7.251,0.027,2.159,0.024,372.16664924332554,-1319.1268363817753,1370.6216200219503,False,dwarf
247.9262911353,12.22048774317,,,gaia,4.459508974877168e+18,1.024,1.0034,0.0408,4.889,0.032,-10.834,0.028,377.4184181799043,-1315.9785684448893,1369.0304068893727,False,dwarf
247.90978155672,12.21673819896,,,gaia,4.45950900494056e+18,,,,,,,,340.3270620118799,-1324.6168981774842,1367.6375382662534,False,dwarf
247.90857437062,12.22290672369,,,gaia,4.4595090092369116e+18,0.947,0.1923,0.2157,-1.654,0.184,-6.922,0.155,337.61492921091747,-1310.405637395629,1353.1987196802756,False,dwarf
247.90627818116,12.22287616305,,,gaia,4.4595090092378476e+18,0.927,2.6632,0.3386,1.655,0.27,-22.572,0.231,332.45617965979966,-1310.4760440558462,1351.9891173520034,False,dwarf
247.91790370517,12.22541388454,31.6,3.36,gaia,4.4595090435966484e+18,0.99,0.0526,0.0199,1.813,0.015,-2.504,0.013,358.57474165734084,-1304.6295534499618,1353.0092819673025,True,dwarf
247.91217425733,12.22899802495,,,gaia,4.459509043596652e+18,0.97,-0.0075,0.0659,-4.957,0.053,-3.539,0.045,345.7026389898215,-1296.3722867168697,1341.674856428357,False,dwarf
247.94991530654,12.24055465519,,,gaia,4.459509108018816e+18,1.001,0.3144,0.1825,-1.271,0.15,1.957,0.129,430.4938219760554,-1269.7477219645614,1340.7401717684693,False,dwarf
247.94971103029,12.23469826429,,,gaia,4.4595091123133174e+18,1.058,1.5883,0.5269,-11.522,0.427,-8.362,0.362,430.0348833598808,-1283.2398780250876,1353.3789511663715,False,dwarf
247.95998225986,12.23480269661,,,gaia,4.459509112316117e+18,0.989,0.1055,0.2508,-3.824,0.226,-0.743,0.182,453.1108106113857,-1282.9992832315936,1360.6603424314571,False,dwarf
247.95630620546,12.23780368573,,,gaia,4.4595091123161185e+18,0.98,0.8888,0.0372,-12.782,0.031,0.875,0.027,444.8519781777111,-1276.085500624802,1351.402045060416,False,dwarf
247.95297415821,12.23943338464,,,gaia,4.45950911231612e+18,0.962,1.5639,0.0843,17.021,0.068,-9.795,0.058,437.36601172981744,-1272.3309438677788,1345.4051653460826,False,dwarf
247.93044135164,12.22748224252,,,gaia,4.4595091466738657e+18,,,,,,,,386.7425297371068,-1299.8643987443215,1356.1774365585034,False,dwarf
247.92709163162,12.23111057964,-87.27,3.4,gaia,4.4595091466758625e+18,1.032,2.1784,0.0225,-11.932,0.017,18.375,0.015,379.216858641188,-1291.5053101009698,1346.0280056138108,True,dwarf
247.92981553975,12.24397689091,,,gaia,4.4595091810356045e+18,1.047,1.3411,0.0879,-11.993,0.07,-3.958,0.06,385.3365452297259,-1261.863456860239,1319.3875991719995,False,dwarf
247.81043559372,12.19759913553,,,gaia,4.4595102075303634e+18,1.02,-0.7531,0.716,-6.897,0.796,-3.971,0.691,117.13078358294615,-1368.7101349608874,1373.7128717484618,False,dwarf
247.82111572566,12.20215882958,,,gaia,4.459510207530373e+18,0.928,0.6838,0.6441,8.305,0.585,-12.656,0.533,141.12537410430477,-1358.2053539854805,1365.517541011797,False,dwarf
247.81881340393,12.20285385436,,,gaia,4.4595102075303757e+18,0.964,1.5381,0.1933,-16.373,0.17,-12.223,0.146,135.95284744732436,-1356.604131840678,1363.3994085579748,False,dwarf
247.80884011032,12.19592515496,,,gaia,4.459510211826016e+18,0.951,2.4662,1.25,-14.129,1.118,2.37,0.999,113.54628003168163,-1372.5667093389268,1377.255288352353,False,dwarf
247.81324098538,12.19820205777,,,gaia,4.459510211827773e+18,0.956,0.7812,0.1101,-4.879,0.093,1.527,0.08,123.43353569422496,-1367.3211018356471,1372.8812160048756,False,dwarf
247.78887977013,12.19916841361,,,gaia,4.4595102418901053e+18,0.992,0.0082,0.2885,-4.477,0.24,-2.529,0.214,68.7022469975341,-1365.0947778033367,1366.8225016908564,False,dwarf
247.80169519738,12.19359900248,,,gaia,4.4595102461853076e+18,,,,,,,,97.49411314183133,-1377.9257799366148,1381.3705357764225,False,dwarf
247.80207208042,12.20461024665,,,gaia,4.4595102762498545e+18,0.916,0.2115,0.2455,-6.531,0.221,-1.523,0.186,98.34083996787668,-1352.5576944896168,1356.1280314662974,False,dwarf
247.80710379796,12.2143995612,,,gaia,4.4595102762498724e+18,0.955,1.87,0.2404,-13.553,0.217,-12.872,0.195,109.64538214680567,-1330.004732795378,1334.5166537305647,False,dwarf
247.80804148564,12.20624948854,,,gaia,4.459510276250681e+18,,,,,,,,111.75204450303045,-1348.7811522849606,1353.4027915627164,False,dwarf
247.80161443957,12.20167222147,,,gaia,4.459510280544476e+18,0.985,-0.1793,0.3144,-5.407,0.283,-8.107,0.245,97.3126780627953,-1359.3264185920857,1362.8052207098926,False,dwarf
247.80812808586,12.19873403947,,,gaia,4.4595102805472507e+18,1.012,0.9509,0.0847,-12.494,0.071,-7.624,0.06,111.94660547193816,-1366.0955039818982,1370.6746399041044,False,dwarf
247.73156681667,12.19341862547,,,gaia,4.459510757286168e+18,,,,,,,,-60.060286796117396,-1378.3413387355724,1379.649261268023,False,dwarf
247.72773913002,12.19473254514,,,gaia,4.459510761583747e+18,0.966,-0.1115,0.0744,-0.436,0.058,-2.23,0.053,-68.65978484789937,-1375.314285121605,1377.0270690567093,False,dwarf
247.71290843597,12.20025733865,,,gaia,4.4595107916459197e+18,1.017,0.3995,0.4166,-12.02,0.356,-5.024,0.317,-101.97926375298182,-1362.5860746056233,1366.3969338902812,False,dwarf
247.70811036026,12.19519789418,-4.94,3.66,gaia,4.459510795943485e+18,1.068,1.3547,0.0211,-8.399,0.016,-20.844,0.014,-112.75889293715478,-1374.2421978963025,1378.8604666228098,True,dwarf
247.72542682522,12.20329732599,,,gaia,4.459510830303224e+18,1.05,1.3423,0.6873,-5.592,0.672,-3.994,0.689,-73.85474003642604,-1355.5824465497662,1357.5928299824282,False,dwarf
247.76122231382,12.19374172738,,,gaia,4.459510864663785e+18,,,,,,,,6.565436071349307,-1377.5969653719053,1377.6126102619305,False,dwarf
247.77456427954,12.20243161354,,,gaia,4.459510894725142e+18,1.028,0.2222,0.2452,-7.512,0.225,-2.663,0.191,36.54025342386257,-1357.5769048566635,1358.0685706990198,False,dwarf
247.77281976297,12.19556178076,,,gaia,4.4595108990225495e+18,0.95,1.4801,0.0347,-4.142,0.028,-6.838,0.025,32.62092349517658,-1373.4038633982223,1373.7912129020337,False,dwarf
