ra,dec,vlos,vlos_err,src
15.89074993134,2.06955552101,-41.519829,0.222503,galah
15.816055,2.149469,11.276,0.02474,apogee
15.835255,2.124222,23.6555,0.026052,apogee
15.71446,2.078875,30.2244,0.00539,apogee
15.61912536621,2.21944451332,33.273144,0.246432,galah
15.75183296204,2.03294444084,-5.220972,0.257866,galah
15.86400032043,2.15144443512,38.683926,0.240747,galah
15.78770828247,2.07755565643,17.228268,0.212791,galah
15.731407,2.345143,14.8543,0.212637,apogee
15.910699,2.635557,-17.3424,0.05478,apogee
15.771159,1.782638,17.5613,0.027709,apogee
16.16062545776,1.9515556097,3.10008,0.270537,galah
16.2688331604,1.94550001621,39.84045,0.262771,galah
16.42054176331,1.80444443226,33.585541,0.363118,galah
16.38770866394,1.97119438648,-6.831688,0.278445,galah
16.328606,1.88981,4.1304,0.00176,apogee
16.14225,1.795917,12.9513,0.013295,apogee
16.35662460327,1.78958332539,5.8889,0.262631,galah
16.124796,1.826989,-25.228901,0.013081,apogee
15.661179,1.866435,-58.850601,0.067364,apogee
15.688774,2.228222,-3.48313,0.004187,apogee
15.716724,2.321669,14.7326,0.007758,apogee
15.73004,1.897215,-4.88683,0.024756,apogee
15.814799,2.343527,-57.805599,0.023857,apogee
15.814979,1.932036,27.598301,0.036587,apogee
15.840694,2.511128,-6.56218,0.033788,apogee
15.87908,1.784187,-12.9753,0.027608,apogee
15.91127,1.699074,18.136801,0.038035,apogee
15.918597,1.728786,-13.9546,0.035127,apogee
15.945071,1.581855,2.74977,0.003272,apogee
15.968135,2.39383,-6.14191,0.031652,apogee
15.983423,1.974438,28.933901,0.036828,apogee
16.025243,2.276874,17.6654,0.019796,apogee
16.047139,2.32215,5.71172,0.027391,apogee
16.056797,1.763663,-11.107,0.029247,apogee
16.081595,2.156743,-2.36686,0.009825,apogee
16.083551,2.639254,31.6828,0.012388,apogee
16.158882,2.095466,5.43213,0.009394,apogee
16.177529,1.928457,13.05,0.034469,apogee
16.201143,1.587806,10.0351,0.018746,apogee
16.20848,1.527613,-32.205002,0.016064,apogee
16.2655,2.43069,47.2374,0.03214,apogee
16.279879,2.242042,7.29941,0.047515,apogee
16.335305,2.17948,44.125999,0.024477,apogee
16.347551,2.207063,0.209733,0.028657,apogee
16.388923,2.588514,-27.9547,0.007452,apogee
16.407674,2.084514,50.680302,0.032152,apogee
16.412236,2.170597,59.202,0.034167,apogee
16.426992,2.413552,19.511101,0.037893,apogee
16.428806,2.47712,-1.99085,0.00357,apogee
16.520744,1.686322,14.1854,0.021288,apogee
16.521535,1.706425,28.0716,0.008484,apogee
16.533169,2.189419,-19.7903,0.022705,apogee
16.552145,1.950482,-24.122499,0.002098,apogee
16.583414,1.847567,-4.38602,0.134271,apogee
16.58427,2.337614,4.21802,0.074439,apogee
16.589093,2.565851,12.4549,0.028917,apogee
16.624632,1.842523,28.626699,0.031606,apogee
16.639272,2.234837,-24.6231,0.024239,apogee
16.654052,1.879834,12.6155,0.00794,apogee
15.72145843506,2.18233323097,-5.829581,0.277268,galah
15.72362518311,2.08711099625,29.241322,0.266071,galah
15.76979160309,1.95527780056,0.682359,0.302798,galah
15.74825000763,1.93324995041,10.60664,0.297693,galah
15.81316661835,2.089666605,-0.088716,0.226394,galah
15.86874961853,2.02769446373,3.913522,0.237412,galah
15.87874984741,2.05897212029,-12.578398,0.178546,galah
15.85758304596,1.79502773285,-15.057548,0.290963,galah
15.86362457275,1.64833331108,-8.416901,0.272438,galah
15.88350009918,1.81974995136,0.594477,0.263906,galah
16.02366638184,2.17266654968,46.3316,0.320385,galah
16.00408363342,1.97883331776,-37.475311,0.31732,galah
15.91354179382,1.76905560493,-18.646603,0.279332,galah
15.99854183197,1.87502777576,-45.462894,0.374734,galah
16.12483406067,2.09349989891,1.19164,0.28363,galah
15.93858337402,1.69047224522,-6.998933,0.228777,galah
16.18795776367,2.04627776146,-7.108182,0.273499,galah
16.17024993896,1.99261116982,52.294712,0.222773,galah
16.26266670227,2.08138895035,80.835472,0.192261,galah
16.14999961853,1.92938888073,9.78736,0.216659,galah
16.15429115295,1.89663887024,-19.875847,0.266136,galah
16.33037567139,2.01330566406,15.066271,0.233869,galah
16.06762504578,1.71705555916,18.690481,0.36927,galah
16.04891586304,1.56624996662,-31.804853,0.249106,galah
16.39033317566,1.86113893986,29.111341,0.521952,galah
16.35424995422,1.8188611269,-5.930448,0.28271,galah
16.42345809937,1.85247218609,-14.54652,0.271252,galah
16.44258308411,1.84625005722,19.703436,0.268547,galah
16.09466743469,1.58391666412,-11.669746,0.246081,galah
16.46495819092,1.78644442558,37.458946,0.278523,galah
