ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
152.22229514958,11.71484089594,,,gaia,3.880343625829221e+18,1.037,0.2724,0.494,-1.28,0.521,-4.737,0.389
152.05307905582,11.710564438,,,gaia,3.8803898053181435e+18,1.021,1.2862,0.697,-3.384,0.832,-2.818,0.843
152.21126133204,11.72134453096,,,gaia,3.880390561231836e+18,0.928,0.2768,0.3687,2.642,0.378,-5.069,0.298
152.19265703713,11.72532414215,,,gaia,3.8803905998871347e+18,1.081,4.126,0.0441,-50.651,0.042,-20.636,0.032
152.15532385705,11.72461338885,,,gaia,3.880390767390852e+18,1.112,-0.0128,1.3345,-8.091,1.402,-0.177,1.409
152.1775800993,11.72642050408,,,gaia,3.8803908017500073e+18,1.01,-0.1565,0.3452,-1.223,0.332,-1.912,0.286
152.18860582097,11.72639137242,,,gaia,3.8803908060455654e+18,1.038,1.3479,0.0968,-15.66,0.106,-3.648,0.095
152.18787344775,11.72660587715,12.93,3.0299999713897705,gaia,3.8803908060455654e+18,1.159,1.3442,0.0242,-15.768,0.025,-3.662,0.023
152.18739754975,11.74273239035,,,gaia,3.8803908361097554e+18,,,,,,,
152.08750469977,11.70668389474,,,gaia,3.880391012203999e+18,1.058,0.7989,0.0581,-4.542,0.06,-4.64,0.051
152.11707727846,11.70827013102,,,gaia,3.880391076628311e+18,,,,,,,
152.13404835621,11.71886134649,,,gaia,3.8803911109876485e+18,0.954,0.1536,0.2729,-2.916,0.279,-4.312,0.236
152.13260762057,11.71826424034,,,gaia,3.8803911152832123e+18,,,,,,,
152.11818383527,11.72628013098,,,gaia,3.880391179707129e+18,0.983,0.8498,0.1698,-4.481,0.174,-8.462,0.14
152.11208726058,11.72819468284,,,gaia,3.88039117970713e+18,1.032,0.191,0.7933,-5.007,0.742,-3.473,0.696
152.11830882449,11.73112263402,,,gaia,3.880391179707132e+18,1.073,-0.6784,0.5887,0.217,0.572,-2.882,0.51
152.08193062607,11.70993784779,,,gaia,3.8803912140668575e+18,1.02,-0.1929,0.3893,0.467,0.42,-0.238,0.373
152.07258283638,11.71174570028,,,gaia,3.880391214067265e+18,1.024,0.6991,0.3221,-18.147,0.379,8.317,0.348
152.08950223963,11.71808622067,,,gaia,3.880391248427005e+18,0.983,0.3735,0.5917,-0.46,0.63,-2.158,0.574
152.10050948592,11.72899837539,,,gaia,3.8803913515058227e+18,0.991,0.1748,0.1286,-7.718,0.15,-5.299,0.132
152.09228234329,11.72903346805,,,gaia,3.8803913558008136e+18,1.034,2.9722,0.3925,-48.654,0.433,3.911,0.394
152.08671217382,11.73459450519,,,gaia,3.880391424521026e+18,,,,,,,
152.12078464278,11.73548284089,,,gaia,3.880391557664806e+18,1.026,1.5207,0.4874,20.828,0.517,-8.564,0.442
152.14529856298,11.74732966785,,,gaia,3.8803915920240015e+18,0.963,0.899,0.7424,1.242,0.665,-3.909,0.606
152.1640614619,11.74338246684,,,gaia,3.880391626383738e+18,,,,,,,
152.14635429571,11.75179668856,,,gaia,3.8803916951032187e+18,1.059,0.912,0.13,-5.119,0.127,-14.329,0.102
152.14572643546,11.75216665278,,,gaia,3.880391695105576e+18,1.085,0.5398,0.3541,-10.548,0.349,-5.57,0.302
152.12537869155,11.76507407181,,,gaia,3.880391802478261e+18,,,,,,,
152.09875298812,11.75512034748,,,gaia,3.880391832542173e+18,0.985,1.8106,0.1318,-9.781,0.132,3.248,0.11
152.13344044673,11.77875526279,,,gaia,3.8803919742760945e+18,,,,,,,
152.03647049045,11.71469271479,,,gaia,3.88039276455099e+18,,,,,,,
152.02428742272,11.72200743995,,,gaia,3.88039279461483e+18,,,,,,,
152.01535726945,11.72008312993,,,gaia,3.880392794615232e+18,0.995,0.4685,0.3569,-1.225,0.391,1.173,0.351
151.99214545522,11.7230665777,,,gaia,3.8803928976945987e+18,1.059,-1.225,1.6723,-3.763,1.549,-0.226,1.656
