ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
168.43188800091,21.55919512716,,,gaia,3.99071201891303e+18,1.158,-0.0612,1.7928,-11.297,1.618,-6.778,2.345
168.43988808402,21.57502060253,,,gaia,3.9907120532696607e+18,1.01,0.83,0.4154,-6.899,0.455,-1.781,0.41
168.47867075382,21.56581403494,,,gaia,3.990712156348874e+18,1.132,-0.3398,0.2911,0.628,0.323,-9.357,0.283
168.50388994353,21.59031719369,,,gaia,3.99071232814757e+18,0.898,-0.9364,0.7484,8.073,0.854,-11.824,0.928
168.50884211653,21.58362454095,-20.16,1.3700000047683716,gaia,3.9907123324434104e+18,1.15,2.944,0.018,-26.881,0.02,1.653,0.019
168.46502368281,21.58799604516,,,gaia,3.990712465586523e+18,0.965,-0.1051,0.1714,0.126,0.164,-6.103,0.175
168.48941328947,21.61878865989,,,gaia,3.9907126030254817e+18,0.914,1.1519,0.1179,-36.462,0.121,-13.859,0.139
168.32888374691,21.55313906438,,,gaia,3.9907135650981453e+18,0.912,1.5532,0.5542,-7.458,0.559,-3.695,0.537
168.33536957828,21.55638763293,,,gaia,3.990713565098146e+18,1.01,0.3976,0.2633,-6.123,0.274,-1.253,0.254
168.3286695182,21.55299323269,,,gaia,3.9907135693930143e+18,,,,,,,
168.35807969854,21.55862890095,,,gaia,3.9907135994580434e+18,,,,,,,
168.34032770242,21.55996110896,,,gaia,3.9907136681773614e+18,1.011,-0.8409,0.3548,-0.298,0.42,-0.119,0.364
168.35099301234,21.5615702445,,,gaia,3.990713668177362e+18,1.105,1.8577,0.924,1.482,0.917,-15.101,1.075
168.28450393023,21.56335037112,,,gaia,3.9907141878692854e+18,1.014,0.3689,0.0475,-2.835,0.049,-9.915,0.043
168.28115018097,21.56713765282,-5.11,1.690000057220459,gaia,3.9907141878692854e+18,1.135,2.9488,0.018,6.492,0.019,-8.178,0.016
168.26323933428,21.56057481349,,,gaia,3.990714217933176e+18,,,,,,,
168.26900514449,21.56464446697,,,gaia,3.990714252293073e+18,0.96,-4.1973,2.5728,-3.158,1.834,-1.534,1.48
168.27353778237,21.57225501422,,,gaia,3.990714256588762e+18,1.051,1.3759,0.1356,4.748,0.133,-10.953,0.124
