ra,dec,vlos,vlos_err,src
168.096279,22.11615,-22.224199,0.03106,apogee
168.153042,22.014662,-28.316999,0.044401,apogee
168.262803,22.167553,-21.8556,0.022125,apogee
168.363596,22.159117,-32.790298,0.023658,apogee
168.406866,21.598194,-3.53471,0.029279,apogee
168.509028,21.583612,-18.558001,0.023803,apogee
168.281145,21.567158,-6.2392,0.040991,apogee
168.555939,22.353201,-50.800499,0.030865,apogee
168.474337,22.388861,-17.122601,0.047744,apogee
168.278057,22.341581,22.6117,0.023485,apogee
168.200284,22.189747,19.6605,0.03983,apogee
168.562716,21.940161,-26.857901,0.016483,apogee
168.673829,21.948196,-6.21728,0.031461,apogee
168.497592,21.882774,47.384201,0.020217,apogee
168.656211,22.174734,-21.623301,0.033943,apogee
168.891302,21.959858,6.96014,0.019622,apogee
168.034264,21.851145,2.18769,0.023564,apogee
167.801217,21.944494,-31.0802,0.04706,apogee
167.852445,22.097452,2.95315,0.084012,apogee
167.882718,22.072495,26.711,0.052448,apogee
167.890882,22.243261,11.8269,0.042904,apogee
167.974064,21.76753,21.1234,0.003059,apogee
167.977093,22.060423,14.9347,0.031622,apogee
167.981879,21.975616,12.859,0.007871,apogee
168.042135,21.910955,-41.048302,0.013476,apogee
168.056084,21.64843,0.700912,0.005329,apogee
168.099509,22.612513,-66.195,0.007368,apogee
168.130557,21.917053,20.792299,0.026547,apogee
168.151748,21.643532,16.402901,0.041446,apogee
168.160152,22.494543,0.648413,0.037278,apogee
168.163486,22.137672,-32.624599,0.036583,apogee
168.185952,21.965349,-24.9809,0.028417,apogee
168.249069,22.421513,-7.92876,0.03167,apogee
168.274586,22.502443,-34.181,0.032068,apogee
168.418298,22.095345,-18.8132,0.01115,apogee
168.434615,22.650478,64.061203,0.045302,apogee
168.476332,21.975931,32.334801,0.010401,apogee
168.516303,22.534168,-14.9196,0.037455,apogee
168.650334,22.00395,22.452499,0.039453,apogee
168.664276,22.59985,50.883099,0.005332,apogee
168.730595,21.664995,-42.310101,0.024705,apogee
168.902337,21.934031,4.57035,0.011889,apogee
