ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
143.61862315722,16.46932513482,,,gaia,6.191656808473938e+17,1.1,1.2553,0.1461,-1.594,0.161,0.747,0.135
143.60917808632,16.46931872321,,,gaia,6.191657152071314e+17,0.988,1.4342,0.3498,-9.72,0.418,-6.251,0.373
143.59910017172,16.47639270423,,,gaia,6.191657152072225e+17,1.003,0.4697,1.0257,-0.975,1.019,-2.877,0.867
143.60391711131,16.46606809114,,,gaia,6.191657152088745e+17,,,,,,,
143.61741089727,16.47494945488,,,gaia,6.19165749566872e+17,0.959,0.6854,0.374,-4.772,0.449,-10.893,0.392
143.81553810473,16.46671097742,,,gaia,6.191676737123091e+17,,,,,,,
143.77496683672,16.45579916515,,,gaia,6.191677467269635e+17,,,,,,,
143.7689271917,16.46246771741,,,gaia,6.191678111511704e+17,1.015,4.3549,0.1027,-16.68,0.112,-22.524,0.09
143.79611503712,16.45889525325,,,gaia,6.191678455109078e+17,0.975,0.7621,0.4811,-5.74,0.602,-8.68,0.46
143.79654486474,16.47115717397,,,gaia,6.191678798706497e+17,0.987,4.4798,0.1022,24.75,0.113,-19.753,0.099
143.77606188613,16.47338920258,,,gaia,6.191679142324122e+17,1.077,0.9847,1.2729,-6.191,1.588,-3.241,1.435
143.79161646678,16.47639872973,,,gaia,6.191679485901286e+17,0.997,1.7698,0.3568,1.023,0.403,-2.893,0.321
143.94912792792,16.50021539,1.37,5.7,gaia,6.191687775191724e+17,1.052,6.5154,0.0286,-15.56,0.03,-31.819,0.022
143.90402816979,16.49879750317,,,gaia,6.191689106628108e+17,1.831,-1.1148,1.4263,-2.24,1.791,0.287,1.125
143.93850270801,16.50787507248,,,gaia,6.191689793822899e+17,1.011,0.6899,0.1455,-2.561,0.158,0.587,0.11
143.91290995804,16.51496601003,,,gaia,6.191690137420308e+17,,,,,,,
143.90834177978,16.51554880971,,,gaia,6.19169013742031e+17,1.037,0.4696,0.4509,-0.403,0.516,-9.49,0.427
143.91444439469,16.521018196,,,gaia,6.191690481017713e+17,1.033,1.3424,0.3314,0.981,0.382,-3.009,0.315
143.9269290873,16.52194409343,,,gaia,6.191690481017715e+17,1.059,0.012,0.2372,-7.855,0.254,-24.482,0.186
143.84694519134,16.4673713677,,,gaia,6.191691168212303e+17,1.06,0.3832,0.6872,0.668,0.824,-3.732,0.583
143.83234743769,16.48011083953,,,gaia,6.191691898353372e+17,1.042,0.951,0.935,-1.131,1.301,-1.614,1.115
143.85527893462,16.48962673454,,,gaia,6.191692199004534e+17,1.025,1.2,0.2445,6.89,0.283,-14.877,0.248
143.84975691939,16.49456519264,,,gaia,6.191692886199313e+17,0.972,0.1067,0.3357,-3.364,0.381,-15.646,0.302
143.85563484073,16.49119801167,,,gaia,6.191693229817824e+17,1.022,3.1449,0.5667,-3.925,0.679,6.339,0.506
143.82619884619,16.48485591533,,,gaia,6.191693916991437e+17,1.017,0.2333,0.1542,-3.638,0.174,-0.489,0.141
143.82253829293,16.48749016506,,,gaia,6.191693916991444e+17,0.97,1.0588,0.1193,-6.226,0.134,8.28,0.107
143.80668795968,16.49666452796,,,gaia,6.191694604206748e+17,0.952,-0.7836,0.789,-1.805,1.017,-1.423,0.81
143.83664115467,16.49504621199,,,gaia,6.191694947804525e+17,,,,,,,
143.85127564839,16.50831618563,,,gaia,6.191695291381034e+17,1.006,1.0818,0.2327,-8.337,0.266,-0.886,0.216
143.84779832468,16.50819308706,,,gaia,6.191695291402056e+17,,,,,,,
143.84509057924,16.50871161222,,,gaia,6.191695334336564e+17,,,,,,,
143.88369739536,16.51273225573,,,gaia,6.191696708716686e+17,,,,,,,
143.88540495813,16.50761982802,,,gaia,6.19169670872307e+17,0.963,0.5243,0.2187,-5.488,0.227,-6.323,0.172
143.86458906698,16.50778090983,,,gaia,6.191697009368753e+17,0.983,1.1926,0.6523,-0.226,0.666,0.301,0.534
143.89047808364,16.52335563877,,,gaia,6.191698426709987e+17,0.911,1.2536,0.2747,-18.598,0.303,-8.529,0.213
143.88819890167,16.52747305487,,,gaia,6.191698426713009e+17,0.982,0.3433,0.3716,-0.019,0.398,0.17,0.305
143.89391546996,16.54186406856,,,gaia,6.19169872735499e+17,0.996,0.3345,0.4746,-10.453,0.556,1.318,0.461
143.89698956382,16.53286602525,,,gaia,6.191698727376343e+17,,,,,,,
143.85785346518,16.53110450292,,,gaia,6.191699414551213e+17,1.03,-1.4895,1.0051,-1.183,1.309,-0.588,0.784
143.84737822564,16.53991337921,,,gaia,6.191700101745985e+17,,,,,,,
143.87141391152,16.56002665565,,,gaia,6.191701476155167e+17,,,,,,,
143.87289853178,16.56108053774,,,gaia,6.191701519086437e+17,1.067,4.4345,0.0798,-33.739,0.083,-16.335,0.064
143.69337936829,16.45811278535,,,gaia,6.191704955060362e+17,0.949,0.253,0.1062,-4.977,0.128,-9.749,0.121
143.67795215037,16.46120740945,,,gaia,6.191705599321253e+17,,,,,,,
143.68326065421,16.47311939233,,,gaia,6.191706673047282e+17,0.964,0.8716,0.0406,4.652,0.049,-5.663,0.048
143.70757100163,16.48144343572,122.42,2.03,gaia,6.191707016644655e+17,0.964,0.2786,0.0155,-5.425,0.019,-7.724,0.019
143.75717279338,16.47824257138,,,gaia,6.191707660886756e+17,0.983,0.4271,0.1724,-0.055,0.197,-2.681,0.172
143.7293049049,16.46948118568,,,gaia,6.1917080474368e+17,0.972,0.6607,0.0464,-5.222,0.054,-9.674,0.05
143.77107308409,16.48551344348,,,gaia,6.191708691699053e+17,,,,,,,
143.76941723642,16.50232363312,,,gaia,6.191709722471133e+17,,,,,,,
143.634886,16.458869,,,sdss,,,,,,,,
143.639458,16.458713,,,sdss,,,,,,,,
143.640929,16.457465,,,sdss,,,,,,,,
143.639328,16.457638,,,sdss,,,,,,,,
143.637822,16.458854,,,sdss,,,,,,,,
143.640404,16.457272,,,sdss,,,,,,,,
143.63838,16.464286,,,sdss,,,,,,,,
143.643157,16.463399,,,sdss,,,,,,,,
143.631234,16.458995,,,sdss,,,,,,,,
143.634852,16.458853,,,sdss,,,,,,,,
143.631291,16.459194,,,sdss,,,,,,,,
143.638401,16.464322,,,sdss,,,,,,,,
143.640917,16.457474,,,sdss,,,,,,,,
143.639399,16.457656,,,sdss,,,,,,,,
143.634907,16.458867,,,sdss,,,,,,,,
143.639509,16.458727,,,sdss,,,,,,,,
143.639418,16.457644,,,sdss,,,,,,,,
143.62749,16.476721,,,sdss,,,,,,,,
143.624089,16.477444,,,sdss,,,,,,,,
143.628992,16.473802,,,sdss,,,,,,,,
143.618606,16.469319,,,sdss,,,,,,,,
143.613508,16.463436,,,sdss,,,,,,,,
143.617395,16.474989,,,sdss,,,,,,,,
143.609185,16.469333,,,sdss,,,,,,,,
143.599079,16.4764,,,sdss,,,,,,,,
143.610295,16.48741,,,sdss,,,,,,,,
143.611914,16.481941,,,sdss,,,,,,,,
143.615153,16.478601,,,sdss,,,,,,,,
143.623683,16.473944,,,sdss,,,,,,,,
143.597162,16.466,,,sdss,,,,,,,,
143.603911,16.466058,,,sdss,,,,,,,,
143.603098,16.472037,,,sdss,,,,,,,,
143.601795,16.479551,,,sdss,,,,,,,,
143.616453,16.460724,,,sdss,,,,,,,,
143.617661,16.483316,,,sdss,,,,,,,,
143.609828,16.480411,,,sdss,,,,,,,,
143.60433,16.479941,,,sdss,,,,,,,,
143.618612,16.469326,,,sdss,,,,,,,,
143.617399,16.474999,,,sdss,,,,,,,,
143.609193,16.46934,,,sdss,,,,,,,,
143.599106,16.476404,,,sdss,,,,,,,,
143.596997,16.46607,,,sdss,,,,,,,,
143.601827,16.479547,,,sdss,,,,,,,,
143.613521,16.463449,,,sdss,,,,,,,,
143.610267,16.487412,,,sdss,,,,,,,,
143.611935,16.481943,,,sdss,,,,,,,,
143.603928,16.466091,,,sdss,,,,,,,,
143.616311,16.460726,,,sdss,,,,,,,,
143.615063,16.47842,,,sdss,,,,,,,,
143.617755,16.483292,,,sdss,,,,,,,,
143.7189886666667,17.045012777777778,,,simbad,,,,,,,,
143.72075266666667,17.04061825,,,simbad,,,,,,,,
143.72214341666665,17.051722888888893,,,simbad,,,,,,,,
143.72232633333334,17.04717027777778,,,simbad,,,,,,,,
143.73850554166668,17.04029027777778,,,simbad,,,,,,,,
143.21024166666666,16.90949722222222,,,simbad,,,,,,,,
143.310614,16.707872,,,simbad,,,,,,,,
143.65,16.702222222222222,,,simbad,,,,,,,,
143.75880842047,16.564879459009997,,,simbad,,,,,,,,
143.60527916666666,17.298997222222226,,,simbad,,,,,,,,
143.7036161,16.872059899999996,,,simbad,,,,,,,,
143.21278333333333,16.91282777777778,,,simbad,,,,,,,,
143.68519,16.874183,,,simbad,,,,,,,,
143.2158,16.90767222222222,,,simbad,,,,,,,,
143.224834125,17.054007166666665,,,simbad,,,,,,,,
143.22957125,17.05798191666667,,,simbad,,,,,,,,
143.58214385108,17.08514908986,,,simbad,,,,,,,,
143.6955375,16.965752777777777,,,simbad,,,,,,,,
143.44266520907,17.2547365106,,,simbad,,,,,,,,
143.16370263404374,16.974410756768886,,,simbad,,,,,,,,
143.60523388562,16.83967820711,,,simbad,,,,,,,,
143.709757,16.512757,,,simbad,,,,,,,,
143.816191,16.491431,,,simbad,,,,,,,,
143.61431666666667,17.29863611111111,,,simbad,,,,,,,,
143.70740201165,17.07523814455,,,simbad,,,,,,,,
143.59638360550582,17.459598070553888,,,simbad,,,,,,,,
143.63029850729,16.48168707803,,,simbad,,,,,,,,
143.79920281024,16.57891816632,,,simbad,,,,,,,,
143.77065317364,16.7451565999,,,simbad,,,,,,,,
143.72477862175,17.038266779129998,,,simbad,,,,,,,,
143.7270967292,17.07163607118,,,simbad,,,,,,,,
143.17837933872,16.783290189050003,,,simbad,,,,,,,,
143.22187326089,16.969711949029996,,,simbad,,,,,,,,
143.11768020549,17.010709083689996,,,simbad,,,,,,,,
143.35065978972,17.04495264356,,,simbad,,,,,,,,
143.33314030844,17.109191371450002,,,simbad,,,,,,,,
143.26112363472,17.35524236529,,,simbad,,,,,,,,
143.35570034066,17.427146133580003,,,simbad,,,,,,,,
143.68783734237,17.389123576940005,,,simbad,,,,,,,,
143.75449226445,17.06901262333,,,simbad,,,,,,,,
143.72075,16.97911111111111,,,simbad,,,,,,,,
143.73444003658,17.05287217153,,,simbad,,,,,,,,
143.42748333333336,17.180083333333336,,,simbad,,,,,,,,
143.57720833333335,17.07968333333333,,,simbad,,,,,,,,
143.775,17.471963888888887,,,simbad,,,,,,,,
143.677947,16.859800099999998,,,simbad,,,,,,,,
143.4351906666667,17.461786194444443,,,simbad,,,,,,,,
143.72559761199,17.58542057526,,,simbad,,,,,,,,
143.66025838690916,16.75951747750361,,,simbad,,,,,,,,
143.51003095726,17.55897720859,,,simbad,,,,,,,,
144.04017231107,16.692770513119996,,,simbad,,,,,,,,
143.83577979604,17.106015355449998,,,simbad,,,,,,,,
143.64952613183,16.936249960720005,,,simbad,,,,,,,,
143.44933692119,17.06593088701,,,simbad,,,,,,,,
143.9162041252,17.578030154190003,,,simbad,,,,,,,,
144.3360077,17.0833591,,,simbad,,,,,,,,
144.2195483,17.316936700000003,,,simbad,,,,,,,,
144.0010157,16.603646400000002,,,simbad,,,,,,,,
144.0998533,16.702537,,,simbad,,,,,,,,
143.738438375,17.05325727777778,,,simbad,,,,,,,,
144.07579166666667,17.145161111111108,,,simbad,,,,,,,,
143.77625320829,17.10819721934,,,simbad,,,,,,,,
143.73255343631,17.218881946539998,,,simbad,,,,,,,,
143.62554866043,17.388757964230003,,,simbad,,,,,,,,
143.4764220416667,16.54722694444445,,,simbad,,,,,,,,
143.76941723642,16.50232363312,,,simbad,,,,,,,,
144.307588,17.0777326,,,simbad,,,,,,,,
143.64548854166665,17.49822875,,,simbad,,,,,,,,
144.13570099999998,16.646060638888887,,,simbad,,,,,,,,
143.3364598,17.065573,,,simbad,,,,,,,,
143.2994,16.744,,,simbad,,,,,,,,
143.9054,17.2043,,,simbad,,,,,,,,
144.164091,16.765945,,,simbad,,,,,,,,
143.73865680293,17.039396643470003,,,simbad,,,,,,,,
143.66248940672,16.939441108479997,,,simbad,,,,,,,,
143.75733333333335,17.07938888888889,,,simbad,,,,,,,,
144.2267405,17.327551000000003,,,simbad,,,,,,,,
143.72266666666667,17.04175,,,simbad,,,,,,,,
143.34214583333332,16.827194444444444,,,simbad,,,,,,,,
143.52935995372,16.68345812951,,,simbad,,,,,,,,
143.50113880568293,17.0796772589775,,,simbad,,,,,,,,
143.35753566544,17.130912302929996,,,simbad,,,,,,,,
143.26981367519,17.43753331965,,,simbad,,,,,,,,
143.73478913967,17.04342724159,,,simbad,,,,,,,,
143.6510816418254,16.79533012841111,,,simbad,,,,,,,,
143.6833374,16.8761776,,,simbad,,,,,,,,
143.6949028,16.881965600000004,,,simbad,,,,,,,,
143.321421,16.618592099999997,,,simbad,,,,,,,,
143.33581993985877,17.286645188369445,,,simbad,,,,,,,,
143.57477031175543,17.529906814661945,,,simbad,,,,,,,,
143.80147113123462,16.6673428038375,,,simbad,,,,,,,,
143.732971639326,16.880933618705,,,simbad,,,,,,,,
143.91290995804,16.51496601003,,,simbad,,,,,,,,
143.60555,17.297666666666668,,,simbad,,,,,,,,
143.742514,16.818248,,,simbad,,,,,,,,
143.33427500000002,16.831,,,simbad,,,,,,,,
143.22541479166668,17.0581615,,,simbad,,,,,,,,
143.694344,17.492191,,,simbad,,,,,,,,
143.1933583195477,16.7306429250816,,,simbad,,,,,,,,
143.691566,16.986684,,,simbad,,,,,,,,
143.645851,16.787887,,,simbad,,,,,,,,
143.21416666666667,16.910277777777775,,,simbad,,,,,,,,
143.59083333333334,17.082725,,,simbad,,,,,,,,
143.811658,16.571536000000002,,,simbad,,,,,,,,
143.19045416666665,16.73822777777778,,,simbad,,,,,,,,
143.70990333333333,17.04365552777778,,,simbad,,,,,,,,
143.52624999999998,16.754444444444445,,,simbad,,,,,,,,
143.69212490024,16.910928334419996,,,simbad,,,,,,,,
143.41146125,16.67971988888889,,,simbad,,,,,,,,
143.35990749282,16.807644756259997,,,simbad,,,,,,,,
143.62333614739,17.57839422598,,,simbad,,,,,,,,
144.323128,17.083364,,,simbad,,,,,,,,
144.01973333333333,17.30073611111111,,,simbad,,,,,,,,
144.08375,17.19027777777778,,,simbad,,,,,,,,
143.84914597914,17.17592790729,,,simbad,,,,,,,,
143.80954540821,17.16222558577,,,simbad,,,,,,,,
143.81579927277,17.27968426063,,,simbad,,,,,,,,
143.898619407,16.95409802601,,,simbad,,,,,,,,
143.92861231939,16.9298530334,,,simbad,,,,,,,,
143.93896047454,17.21581906992,,,simbad,,,,,,,,
144.085919,16.960447,,,simbad,,,,,,,,
144.29414891381,17.01434010053,,,simbad,,,,,,,,
144.08018732085,17.15008788109,,,simbad,,,,,,,,
144.208926,17.2995725,,,simbad,,,,,,,,
144.2956994158,16.86749403924,,,simbad,,,,,,,,
143.99352684143,16.95663299283,,,simbad,,,,,,,,
144.03667537796,16.98681325643,,,simbad,,,,,,,,
144.29051169849,17.113490068,,,simbad,,,,,,,,
143.92076261873,17.46124635675,,,simbad,,,,,,,,
143.89341638342,17.47799625628,,,simbad,,,,,,,,
144.00494401011,17.53314503293,,,simbad,,,,,,,,
144.3213168,17.090526799999996,,,simbad,,,,,,,,
144.3237089,17.0644076,,,simbad,,,,,,,,
144.21621249999998,17.322358333333334,,,simbad,,,,,,,,
144.21666666666667,17.318333333333335,,,simbad,,,,,,,,
144.225878,17.336174,,,simbad,,,,,,,,
143.8665,17.4823,,,simbad,,,,,,,,
144.26583333333332,16.959722222222226,,,simbad,,,,,,,,
143.8085603041246,16.55478219987167,,,simbad,,,,,,,,
143.85785894965,16.53110711411,,,simbad,,,,,,,,
143.61552267154,16.51089054412778,,,simbad,,,,,,,,
144.02000770734,16.619960809309998,,,simbad,,,,,,,,
143.62516200103,16.55839782894,,,simbad,,,,,,,,
143.33833333333334,16.830277777777777,,,simbad,,,,,,,,
143.72266666666667,17.03022222222222,,,simbad,,,,,,,,
