ra,dec,vlos,vlos_err,src
9.85724,41.39256,-741.890991,0.048046,apogee
9.63964,41.3479,-632.280029,0.046974,apogee
9.41034,41.99995,-318.920013,0.691926,apogee
9.440656,41.865444,14.518,0.065747,apogee
9.459417,41.799721,-23.5924,0.264818,apogee
9.5825,41.241861,-45.274799,0.119806,apogee
9.73725,41.174557,439.957001,0.043696,apogee
9.841313,42.138088,-3.40901,0.015995,apogee
9.9803,41.79614,-598.309998,0.046293,apogee
10.010729,41.198204,380.201996,0.213018,apogee
10.057438,41.279312,8.14019,0.008873,apogee
10.069969,41.874172,-34.084301,0.514548,apogee
10.07462,41.37787,-375.524994,0.055556,apogee
10.0919,41.6853,-241.744003,0.028738,apogee
10.095333,41.68725,-226.195999,0.344376,apogee
10.11031,41.4574,-235.973999,0.063236,apogee
10.1262,41.269092,-322.338013,0.128414,apogee
10.127917,41.615444,-823.218994,0.068762,apogee
10.131525,41.239594,119.224998,0.092838,apogee
10.132792,41.654694,-237.940994,0.628516,apogee
