ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
296.30631273746,-15.38432582776,,,gaia,4.1818505705308943e+18,0.988,0.5512,0.2999,-0.005,0.314,-2.059,0.227
296.31780204592,-15.38081601591,,,gaia,4.181850570530896e+18,0.977,0.7225,0.3582,-0.539,0.445,-4.875,0.328
296.31337632813,-15.3839325266,,,gaia,4.1818505748255017e+18,0.991,-0.2419,1.0863,-6.035,1.213,-5.697,0.952
296.30381453205,-15.3847624221,,,gaia,4.181850574827246e+18,1.015,0.7621,0.0315,0.122,0.035,0.257,0.025
296.32133466846,-15.3719500246,,,gaia,4.181850609185235e+18,1.043,0.2203,0.216,4.63,0.263,-4.761,0.193
296.31789569892,-15.37309774811,,,gaia,4.1818506091852355e+18,,,,,,,
296.32204327493,-15.37177616504,,,gaia,4.181850609187121e+18,0.969,0.3596,0.2254,4.247,0.28,-18.106,0.204
296.31876304882,-15.37548967325,,,gaia,4.181850609187121e+18,1.024,0.3842,0.0902,-3.586,0.115,-4.0,0.081
296.31258494326,-15.37482456593,,,gaia,4.181851360806949e+18,0.991,0.6938,0.4823,-0.565,0.531,-3.466,0.418
296.21218970686,-15.38813746805,,,gaia,4.181851021501949e+18,1.213,-3.3842,2.1122,4.377,1.72,-7.635,1.165
296.21521112853,-15.3881980578,-26.33,8.37,gaia,4.1818510215038536e+18,1.008,0.8929,0.0266,3.873,0.028,-6.402,0.021
296.21079658162,-15.38845458014,,,gaia,4.181851021503854e+18,1.096,0.8947,0.0564,-5.692,0.065,-8.054,0.049
296.24363873996,-15.38878234664,,,gaia,4.181851085926967e+18,1.067,0.489,0.1205,-5.951,0.135,-7.129,0.092
296.24534793723,-15.37729537384,,,gaia,4.1818510859269734e+18,1.053,0.5393,0.411,-1.767,0.446,-5.212,0.315
296.25023002652,-15.38530886954,,,gaia,4.181851090220677e+18,1.095,0.1783,0.959,-5.672,1.032,-1.954,0.672
296.25310962339,-15.38331014017,,,gaia,4.1818510902215803e+18,1.161,-1.0374,2.2399,-2.882,1.984,-10.603,1.652
296.24258361795,-15.38619405084,,,gaia,4.181851090221582e+18,1.056,5.7682,1.9637,-2.598,2.019,-7.029,1.381
296.24708468575,-15.3841378753,,,gaia,4.181851090223327e+18,0.985,0.5919,0.0439,-9.532,0.049,-2.208,0.035
296.22384439979,-15.38749620434,,,gaia,4.181851120286706e+18,0.946,0.5556,0.1982,-1.835,0.214,-3.309,0.166
296.22650322576,-15.38666162239,,,gaia,4.1818511202867067e+18,1.027,0.6614,0.0728,-0.315,0.08,-2.133,0.06
296.21975173603,-15.38657510594,,,gaia,4.1818511202867067e+18,1.015,0.64,0.2745,2.794,0.304,-3.922,0.235
296.22696671033,-15.38388448242,,,gaia,4.18185112028671e+18,1.069,0.1937,0.448,-5.219,0.498,-2.889,0.401
296.22396249841,-15.3822774699,,,gaia,4.181851120289237e+18,1.062,-0.2413,0.4882,-1.203,0.47,-4.423,0.355
296.22558238037,-15.38366776934,,,gaia,4.181851124580429e+18,1.06,1.5516,0.4037,-1.396,0.43,-12.182,0.335
296.22717745654,-15.38073000878,,,gaia,4.1818511245804293e+18,1.131,-5.3855,2.9076,-6.098,1.867,-2.464,1.522
296.21906690699,-15.38679386851,,,gaia,4.18185112458043e+18,1.101,0.2068,0.5593,0.848,0.631,1.014,0.447
296.22552748525,-15.37726472646,,,gaia,4.181851124580433e+18,0.942,-2.2206,1.7323,0.17,1.652,-6.413,0.954
296.22286787752,-15.37972214297,,,gaia,4.181851124581162e+18,,,,,,,
296.22047393016,-15.38033368794,,,gaia,4.1818511245811625e+18,,,,,,,
296.22495636137,-15.38267116084,,,gaia,4.181851124583068e+18,1.041,0.5979,0.329,-3.892,0.354,-3.384,0.276
296.22819050885,-15.37848058436,,,gaia,4.181851124583798e+18,1.05,0.6343,0.1136,4.596,0.126,1.33,0.092
296.23676734672,-15.38014041949,,,gaia,4.1818511546464486e+18,0.95,1.1529,0.491,0.457,0.517,-1.824,0.367
296.23619504633,-15.37341262248,,,gaia,4.181851154646452e+18,0.986,-0.0205,0.2987,0.56,0.324,-0.094,0.23
296.23190249572,-15.36881528476,,,gaia,4.1818511546464553e+18,1.034,0.2162,0.4776,-10.674,0.485,-7.647,0.373
296.22735237301,-15.37583872414,,,gaia,4.181851154646563e+18,1.052,-0.2449,0.6227,1.721,0.659,-3.184,0.457
296.23660391107,-15.38266976217,,,gaia,4.181851158940162e+18,1.082,1.7577,1.5186,-2.421,1.434,-1.996,1.004
296.22724308636,-15.3744405624,,,gaia,4.1818511589401723e+18,1.077,1.0512,1.8189,-13.15,1.333,-19.862,1.006
296.23203926136,-15.37523429628,,,gaia,4.1818511589408993e+18,1.025,1.1419,0.8444,1.189,0.929,-0.503,0.651
296.23825687784,-15.37925454966,,,gaia,4.1818511589408993e+18,0.957,-0.6832,1.3245,-0.607,1.346,-2.178,0.877
296.24525060115,-15.37491319685,,,gaia,4.181851158941055e+18,,,,,,,
296.22664444712,-15.37398423117,,,gaia,4.181851158942808e+18,0.954,0.6694,0.0344,0.812,0.037,-2.73,0.025
296.23006706565,-15.373426359,,,gaia,4.181851158943536e+18,1.09,-1.4357,1.0331,1.527,1.077,0.234,0.739
296.28295221966,-15.38698424364,,,gaia,4.1818512233659213e+18,1.09,1.1348,0.6883,0.597,0.778,-3.975,0.55
296.28362116197,-15.3856193113,,,gaia,4.1818512233659223e+18,0.974,-0.3796,0.5188,-2.804,0.586,-8.77,0.411
296.29373038351,-15.37843151222,,,gaia,4.181851223365926e+18,1.103,1.5618,0.7249,-3.352,0.792,-4.57,0.555
296.28932636284,-15.37614614106,,,gaia,4.181851223365927e+18,1.026,0.2878,0.1529,-4.345,0.168,1.177,0.119
296.29990420837,-15.384992612,,,gaia,4.181851227659601e+18,1.152,0.5544,0.6943,3.705,0.735,-2.866,0.545
296.28926221409,-15.38271024154,,,gaia,4.181851227662277e+18,1.009,0.4136,0.0754,-3.441,0.084,0.377,0.058
296.27068963366,-15.38429877796,,,gaia,4.1818512577256617e+18,0.868,1.1366,0.0547,-0.461,0.061,-7.153,0.044
