ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
27.6985444936,-45.0373074117,,,gaia,4.954838997548197e+18,0.94,0.7189,0.0775,-2.638,0.06,-8.406,0.08
27.71039960699,-45.03778570919,,,gaia,4.954839031907936e+18,1.033,0.7314,0.0539,-4.871,0.041,-6.78,0.054
27.70871534391,-45.03120694386,,,gaia,4.95483903190858e+18,,,,,,,
27.72818027999,-45.03181935343,,,gaia,4.954839066267675e+18,0.95,1.3627,0.023,45.494,0.018,11.105,0.022
27.72483893571,-45.0205122818,,,gaia,4.95483913498549e+18,1.05,0.6123,0.5655,23.131,0.397,11.358,0.511
27.72704932071,-45.01971039181,,,gaia,4.95483913498715e+18,1.028,0.4068,0.045,9.861,0.037,-0.141,0.044
28.13217224332,-44.99218058394,,,gaia,4.954853836658766e+18,0.999,0.9684,0.3548,29.073,0.285,-1.316,0.272
28.18308583741,-44.96858137629,,,gaia,4.954853939737998e+18,,,,,,,
28.20061203498,-44.9682881088,,,gaia,4.954853944033326e+18,1.079,-0.0108,1.0354,-4.523,0.793,-1.619,1.126
28.22147944867,-44.96612041288,,,gaia,4.954854111536691e+18,,,,,,,
28.24651408098,-44.95712541767,,,gaia,4.954854184552604e+18,1.053,0.5811,0.2303,-5.407,0.196,-8.778,0.216
28.26631084266,-44.94401943519,-14.02,4.43,gaia,4.954854218912342e+18,1.132,1.0372,0.0196,11.825,0.017,1.947,0.019
28.25476161632,-44.93691163747,,,gaia,4.954854253272079e+18,1.013,0.9994,0.0322,4.728,0.026,-4.683,0.031
28.25611748745,-44.9332729198,,,gaia,4.954854287631818e+18,2.149,0.3153,0.8542,-0.139,0.693,-0.472,0.814
28.27248271879,-44.9332040327,11.66,3.05,gaia,4.954854287631819e+18,1.054,4.9502,0.0219,-33.329,0.018,-36.583,0.021
28.2527007318,-44.90688341405,,,gaia,4.954854562508323e+18,1.095,0.484,0.923,7.967,0.651,-5.646,1.038
28.37919925295,-44.87054513973,,,gaia,4.954855520286053e+18,0.991,0.4259,0.1863,7.787,0.159,0.043,0.18
28.28207986514,-44.92814747637,18.89,4.2,gaia,4.954855696381092e+18,1.017,2.0438,0.0159,32.112,0.013,8.059,0.015
28.28755924883,-44.93089389412,18.73,2.11,gaia,4.954855696381092e+18,1.024,2.0414,0.0125,32.033,0.01,8.128,0.012
28.30052013954,-44.91761924685,,,gaia,4.954855726444438e+18,1.036,0.615,0.4275,9.834,0.367,-6.341,0.443
28.30708097391,-44.91615750212,-17.76,1.42,gaia,4.95485573074085e+18,1.063,1.8272,0.0105,-4.397,0.009,-18.55,0.01
28.29524913393,-44.91893575892,,,gaia,4.954855730741404e+18,1.039,0.4202,0.2181,3.628,0.191,-9.772,0.209
28.27968082826,-44.92589215233,,,gaia,4.954855760805531e+18,,,,,,,
28.32366497687,-44.90838383627,,,gaia,4.954855833818624e+18,0.976,1.0328,0.6017,5.611,0.551,-13.382,0.618
28.32752159598,-44.89007627949,,,gaia,4.954855936899279e+18,1.064,0.4601,0.0993,4.973,0.083,-1.27,0.095
28.26569078933,-44.90656173109,,,gaia,4.954855971258998e+18,1.017,1.2538,0.0238,8.172,0.019,-8.881,0.023
28.28132274962,-44.89434525486,,,gaia,4.954856001322367e+18,0.919,-0.7,0.8808,2.835,1.111,-0.752,0.998
28.26736815756,-44.88825329279,,,gaia,4.954856039977265e+18,1.073,7.1508,1.7183,87.084,1.646,-64.334,2.428
28.3147870438,-44.87644392006,,,gaia,4.954856138761337e+18,1.052,-0.9342,0.5817,9.018,0.564,-2.234,0.632
28.35362709725,-44.88454731156,,,gaia,4.954856241840546e+18,0.969,0.2933,0.4916,7.866,0.43,-9.561,0.52
28.35571179829,-44.87146874419,,,gaia,4.954856241840557e+18,1.012,0.0726,0.7607,1.854,0.724,-10.382,0.872
28.35026408849,-44.89074704579,,,gaia,4.954856241841747e+18,1.114,-0.2267,0.6524,18.238,0.617,-3.318,0.807
28.36319225039,-44.8665635185,,,gaia,4.954856280497217e+18,1.094,0.4181,0.3511,6.019,0.288,-1.731,0.333
28.35199683368,-44.85998120465,,,gaia,4.954856349216139e+18,1.091,0.3645,0.0585,3.395,0.052,-4.286,0.055
28.38771101024,-44.85530242045,,,gaia,4.954856379279527e+18,1.004,-0.2415,0.2252,1.816,0.21,-2.051,0.267
28.38195225131,-44.86357998983,,,gaia,4.954856383575878e+18,1.016,4.1219,0.0405,31.892,0.034,-33.581,0.04
28.40199202442,-44.8402273149,,,gaia,4.954856413639283e+18,0.985,0.8804,0.1372,-1.405,0.116,0.717,0.14
28.34314888232,-44.85926636973,,,gaia,4.954856516718477e+18,0.977,0.0643,0.3053,3.574,0.269,-2.363,0.301
28.33409596234,-44.8554354554,8.69,0.78,gaia,4.954856521014831e+18,1.136,3.0221,0.0126,27.958,0.01,8.897,0.011
28.33318443272,-44.83568319419,,,gaia,4.954856585437977e+18,1.052,2.6067,0.5535,0.449,0.496,-13.304,0.597
28.35033509496,-44.82508011826,,,gaia,4.9548566240946e+18,,,,,,,
28.36894894358,-44.82817353516,,,gaia,4.954856658454339e+18,4.341,0.1787,1.8725,0.65,1.629,0.606,1.9
28.35926113224,-44.81628763452,,,gaia,4.954856722876946e+18,1.064,0.9052,0.1722,20.05,0.148,1.37,0.169
27.95001786116,-45.02131666691,,,gaia,4.954858685678509e+18,,,,,,,
27.90652474604,-45.02955482507,,,gaia,4.954858823117259e+18,1.008,0.6877,0.0261,18.954,0.021,2.32,0.023
27.91103713953,-45.01494518993,,,gaia,4.954858926196474e+18,1.044,1.0431,0.0527,30.487,0.041,4.55,0.046
27.93133031826,-45.00918178118,,,gaia,4.954858960555154e+18,,,,,,,
28.03743634762,-45.01263915501,,,gaia,4.954859441591383e+18,,,,,,,
28.02044741839,-45.00972997837,,,gaia,4.95485950601558e+18,0.946,0.5296,0.6924,1.518,0.869,-3.012,1.099
28.04962383781,-45.01638838734,,,gaia,4.954859613391246e+18,1.06,0.053,0.5955,14.533,0.499,-1.208,0.574
27.78475125,-44.43339944444444,,,simbad,,,,,,,,
27.76696,-44.46138416666667,,,simbad,,,,,,,,
27.758037774969996,-44.53867033272,,,simbad,,,,,,,,
27.84506307269,-44.34425189284,,,simbad,,,,,,,,
27.792447,-44.387857,,,simbad,,,,,,,,
27.546000000000003,-44.45355555555555,,,simbad,,,,,,,,
27.447629330264995,-44.66648837047417,,,simbad,,,,,,,,
27.883337628764583,-44.69942491386611,,,simbad,,,,,,,,
27.64758942695625,-44.53496573312084,,,simbad,,,,,,,,
28.161982189802085,-44.31993374357472,,,simbad,,,,,,,,
27.783128333333334,-44.402520277777775,,,simbad,,,,,,,,
27.766540833333334,-44.40745527777778,,,simbad,,,,,,,,
27.692959,-44.441062,,,simbad,,,,,,,,
27.797415,-44.41708583333333,,,simbad,,,,,,,,
27.812538,-44.600244,,,simbad,,,,,,,,
27.84540285343,-44.43639567064,,,simbad,,,,,,,,
27.861782,-44.302001,,,simbad,,,,,,,,
