ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
54.2696850477,-54.60216305969,,,gaia,4.732288047264167e+18,1.065,0.4581,0.4895,4.225,0.764,2.635,0.867
54.17810788032,-54.6265372818,,,gaia,4.732288356501808e+18,1.058,0.4883,0.0643,4.468,0.073,7.988,0.103
54.18896090067,-54.61741069172,,,gaia,4.73228839086155e+18,1.059,0.16,0.428,1.251,0.548,-0.778,0.809
54.18461613589,-54.61918614993,,,gaia,4.732288395158049e+18,1.011,0.4976,0.0414,31.667,0.049,14.444,0.062
54.1442806621,-54.62928794387,,,gaia,4.732288459581023e+18,0.994,1.9507,0.238,32.42,0.269,30.72,0.355
54.13564688939,-54.62659938765,,,gaia,4.732288463877528e+18,0.984,0.6003,0.0695,-3.491,0.083,-1.376,0.098
54.11202553565,-54.63136273794,,,gaia,4.732288498235701e+18,0.99,1.2139,0.2114,24.113,0.25,26.596,0.316
54.10872386337,-54.6233636478,9.75,1.51,gaia,4.732288498237267e+18,1.001,1.3298,0.0109,-7.219,0.012,-10.652,0.014
54.11227570853,-54.63031997103,,,gaia,4.732288498237267e+18,1.06,2.816,0.023,9.349,0.026,27.855,0.031
54.11177060337,-54.63038868521,,,gaia,4.732288498237775e+18,1.134,2.8333,0.1191,8.745,0.122,28.336,0.186
54.12371250884,-54.6043725693,,,gaia,4.73228863137972e+18,0.994,0.9664,0.0882,1.668,0.103,-7.145,0.122
54.15462864028,-54.59751485517,,,gaia,4.732288670035956e+18,1.01,0.4876,0.021,6.419,0.026,3.777,0.029
54.20768341073,-54.60922289921,,,gaia,4.732288704395692e+18,2.511,0.5659,0.0808,7.831,0.088,10.164,0.119
54.22594251321,-54.61403537631,,,gaia,4.732288734458933e+18,1.027,-0.0597,0.1024,2.159,0.12,-1.738,0.161
54.23253476629,-54.60700770041,,,gaia,4.732288738754094e+18,1.073,-0.5679,0.8619,11.969,1.27,15.693,1.624
54.22240042506,-54.60851087311,,,gaia,4.73228873875543e+18,1.078,0.7479,0.1669,43.846,0.201,-14.127,0.27
54.20371156696,-54.60140320115,,,gaia,4.732288803178412e+18,1.033,3.4228,0.2273,14.58,0.264,33.723,0.374
54.19916279615,-54.58689100917,,,gaia,4.732288807473329e+18,1.091,2.3028,0.5173,24.811,0.611,-5.528,0.759
54.21061974255,-54.58773083134,26.11,1.93,gaia,4.732288807474907e+18,0.947,1.3638,0.0095,6.738,0.011,6.355,0.014
54.23332926949,-54.60012557482,,,gaia,4.732288841834335e+18,1.126,0.067,1.1625,2.45,1.503,4.31,2.748
54.23936020673,-54.59435792489,,,gaia,4.732288841834644e+18,0.986,0.3638,0.0376,1.685,0.043,3.624,0.059
54.1811075432,-54.5999683551,,,gaia,4.732288974977105e+18,1.077,1.9417,1.5148,5.797,1.612,-7.846,1.916
54.18124885105,-54.58097577466,,,gaia,4.732289013633338e+18,1.011,1.4088,0.2969,-4.747,0.368,-4.779,0.464
54.16877475563,-54.56472362684,,,gaia,4.732289082352265e+18,1.023,1.5,0.907,7.721,1.606,17.298,1.874
54.20896821217,-54.5716542745,,,gaia,4.732289112416062e+18,1.018,-0.0004,0.5378,4.306,0.71,-2.225,1.181
54.19020201422,-54.56508339745,,,gaia,4.732289112416063e+18,1.043,2.1509,0.0843,14.165,0.114,2.46,0.134
54.18591982763,-54.53617826651,,,gaia,4.732289219790186e+18,1.297,2.6691,0.3354,10.954,0.374,-36.868,0.867
54.37190115316,-54.58825670569,,,gaia,4.732290864762716e+18,1.017,1.4759,0.2401,20.078,0.294,15.226,0.403
54.39642827462,-54.5676192753,57.53,3.83,gaia,4.732291281376062e+18,0.985,1.1055,0.0116,-2.213,0.013,-3.753,0.018
54.42886367875,-54.57088080545,,,gaia,4.732291311439317e+18,0.977,1.0858,0.0767,3.378,0.094,16.432,0.131
54.43059779399,-54.56883150754,,,gaia,4.732291311439317e+18,0.96,-0.0543,0.4764,6.564,0.644,1.277,0.798
54.45054921465,-54.55686030067,,,gaia,4.732291350095202e+18,,,,,,,
54.41429292494,-54.56258091189,,,gaia,4.732291380158796e+18,1.071,1.0911,0.3711,16.014,0.434,-2.122,0.754
54.41306272335,-54.55435217888,,,gaia,4.732291380158797e+18,0.983,0.4588,0.2126,2.608,0.288,2.492,0.4
54.42350451754,-54.55430978216,,,gaia,4.732291384454941e+18,0.993,0.8867,1.0,4.186,1.396,3.154,2.621
54.58662755067,-54.49944326857,,,gaia,4.73229251403104e+18,0.963,0.6197,0.286,5.497,0.379,-15.278,0.496
54.45970229725,-54.54430274891,,,gaia,4.73229282326781e+18,1.032,0.1146,0.1321,6.12,0.157,0.841,0.192
54.47458865589,-54.53424083215,,,gaia,4.732292861922418e+18,,,,,,,
54.45877173861,-54.51726985773,,,gaia,4.732292926347032e+18,1.039,2.0042,0.1711,-11.331,0.196,26.487,0.254
54.48611357411,-54.51213218687,,,gaia,4.732292995066509e+18,1.04,4.488,0.116,29.735,0.137,-2.442,0.166
54.4560214597,-54.5129838468,,,gaia,4.732293029426249e+18,1.033,0.222,0.2082,11.287,0.255,-3.919,0.315
54.48241561287,-54.49683222344,,,gaia,4.73229306378599e+18,0.983,-0.2859,0.812,5.985,1.034,1.014,2.195
54.5489800072,-54.50380476792,,,gaia,4.73229313250633e+18,1.002,1.1066,0.188,13.789,0.218,23.627,0.278
54.55509639745,-54.50661072755,,,gaia,4.732293136800311e+18,,,,,,,
54.52063441739,-54.51176861811,,,gaia,4.732293171160054e+18,1.07,0.8285,0.5009,6.599,0.642,-38.231,0.785
54.54632040272,-54.49742085278,,,gaia,4.732293201225808e+18,,,,,,,
54.53443876792,-54.50594172002,,,gaia,4.732293205521406e+18,1.053,1.1399,0.0503,4.67,0.057,0.314,0.071
54.57294943392,-54.48671632653,,,gaia,4.732293269945285e+18,1.017,1.3187,0.1415,-3.29,0.171,-3.75,0.209
54.55360482071,-54.48545230887,,,gaia,4.732293304305023e+18,0.98,0.5393,0.1064,24.35,0.129,-6.737,0.158
54.5576092242,-54.48558526689,,,gaia,4.732293304305024e+18,0.989,0.0236,0.2409,4.081,0.295,4.966,0.364
54.00333333333334,-53.67305555555555,,,simbad,,,,,,,,
54.0475,-53.63111111111111,,,simbad,,,,,,,,
54.540318,-53.69684800000001,,,simbad,,,,,,,,
53.73,-53.596944444444446,,,simbad,,,,,,,,
53.805,-53.53444444444444,,,simbad,,,,,,,,
53.99262188112,-53.56442360903,,,simbad,,,,,,,,
54.8712665375,-53.83423189444444,,,simbad,,,,,,,,
53.92041666666667,-53.67222222222222,,,simbad,,,,,,,,
54.21958333333333,-53.48305555555556,,,simbad,,,,,,,,
54.3225,-53.83166666666667,,,simbad,,,,,,,,
54.4225,-53.7075,,,simbad,,,,,,,,
53.79375,-53.56194444444444,,,simbad,,,,,,,,
54.01583333333334,-53.7,,,simbad,,,,,,,,
53.98305798734,-53.75301240742,,,simbad,,,,,,,,
54.68917585924001,-53.741279801400005,,,simbad,,,,,,,,
53.70135363195666,-53.65487493734222,,,simbad,,,,,,,,
53.16530951913041,-54.373607584398336,,,simbad,,,,,,,,
53.77739078299,-54.10118725012,,,simbad,,,,,,,,
53.69509403253,-54.08939203121,,,simbad,,,,,,,,
53.35332224232,-54.42498386789,,,simbad,,,,,,,,
53.739166666666655,-53.67972222222222,,,simbad,,,,,,,,
54.00416666666667,-54.602222222222224,,,simbad,,,,,,,,
53.26166666666667,-54.42583333333333,,,simbad,,,,,,,,
53.00333333333333,-54.29944444444444,,,simbad,,,,,,,,
53.30916666666666,-54.13055555555555,,,simbad,,,,,,,,
53.54208333333333,-54.419444444444444,,,simbad,,,,,,,,
53.94583333333333,-54.30916666666666,,,simbad,,,,,,,,
54.12875,-54.20305555555556,,,simbad,,,,,,,,
54.70125,-54.18527777777778,,,simbad,,,,,,,,
53.92595833333334,-54.19188888888888,,,simbad,,,,,,,,
53.73166666666667,-54.32972222222222,,,simbad,,,,,,,,
53.94875,-54.18527777777778,,,simbad,,,,,,,,
54.31458333333334,-54.058611111111105,,,simbad,,,,,,,,
53.71833333333333,-54.34722222222222,,,simbad,,,,,,,,
54.224583333333335,-54.30583333333333,,,simbad,,,,,,,,
53.84458333333333,-54.22222222222222,,,simbad,,,,,,,,
53.43920833333333,-54.019999999999996,,,simbad,,,,,,,,
53.74083333333333,-54.37638888888889,,,simbad,,,,,,,,
53.99165833333333,-53.84721944444445,,,simbad,,,,,,,,
53.962500000000006,-54.21083333333333,,,simbad,,,,,,,,
53.72295704593001,-54.08178841622,,,simbad,,,,,,,,
53.572916666666664,-53.724722222222226,,,simbad,,,,,,,,
54.05541666666667,-54.12444444444444,,,simbad,,,,,,,,
54.08958333333334,-54.53916666666667,,,simbad,,,,,,,,
53.693016583593746,-53.929849513984436,,,simbad,,,,,,,,
53.747268522052075,-53.958767785222776,,,simbad,,,,,,,,
53.77243658157709,-54.16674486063555,,,simbad,,,,,,,,
53.84216840386417,-53.885872005463334,,,simbad,,,,,,,,
53.97096387460125,-54.076333309515284,,,simbad,,,,,,,,
54.04406273990208,-54.026957550420555,,,simbad,,,,,,,,
53.69447114983,-53.74165598154999,,,simbad,,,,,,,,
54.110453468290416,-53.96334093274361,,,simbad,,,,,,,,
53.59806930745083,-54.06140396342055,,,simbad,,,,,,,,
53.66155627512082,-54.11428631995307,,,simbad,,,,,,,,
53.66728440563708,-53.91665405027945,,,simbad,,,,,,,,
53.67059258233499,-54.07587440071222,,,simbad,,,,,,,,
53.68624693776166,-54.019492055930556,,,simbad,,,,,,,,
53.70686903971999,-53.892769543538606,,,simbad,,,,,,,,
53.7399385511,-54.09203876585,,,simbad,,,,,,,,
53.81822745344916,-54.152241340840554,,,simbad,,,,,,,,
53.87980702671,-54.03004384847,,,simbad,,,,,,,,
53.95968349287668,-53.937276052254994,,,simbad,,,,,,,,
54.095199916009996,-53.9987354919,,,simbad,,,,,,,,
54.25247270235,-54.06143618673,,,simbad,,,,,,,,
53.8966314003475,-53.994340426207785,,,simbad,,,,,,,,
53.91829514523334,-54.08873223797945,,,simbad,,,,,,,,
53.70054176342416,-54.19469354464778,,,simbad,,,,,,,,
53.88667746913542,-54.190031538131656,,,simbad,,,,,,,,
54.652274999999996,-54.19008611111111,,,simbad,,,,,,,,
53.93414392985001,-54.03053821557,,,simbad,,,,,,,,
