ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
283.81214108699,-31.1418160382,,,gaia,6.760250387581787e+18,0.954,-0.2133,0.3033,-2.475,0.305,-1.195,0.275
283.81132273214,-31.13926259889,,,gaia,6.760250387581789e+18,0.922,-0.5036,0.4058,-2.203,0.431,-1.617,0.386
283.81453304758,-31.14392712639,,,gaia,6.760250387582718e+18,0.982,-0.3701,1.182,-4.271,1.594,-2.417,1.206
283.81361402278,-31.14181902542,,,gaia,6.760250387582722e+18,,,,,,,
283.81049911696,-31.13861641927,,,gaia,6.76025038758273e+18,,,,,,,
283.80848862931,-31.13877857454,,,gaia,6.760250387582732e+18,1.013,-0.0955,0.776,-3.677,0.934,-6.04,0.864
283.78822088557,-31.14117705111,,,gaia,6.760250417641103e+18,0.989,0.1437,0.0429,-0.651,0.04,-8.869,0.036
283.79401870466,-31.14436321595,,,gaia,6.7602504176442e+18,1.094,0.4738,0.1853,-1.853,0.185,-6.488,0.16
283.78779727244,-31.13838558083,,,gaia,6.760250417644209e+18,1.052,1.0552,0.109,-3.183,0.108,-11.02,0.093
283.79048658548,-31.14070965933,,,gaia,6.760250421941539e+18,1.037,0.4396,0.5294,-5.493,0.527,-7.181,0.483
283.79293287953,-31.14414017029,,,gaia,6.760250421942485e+18,0.965,-0.4613,0.5901,-6.548,0.627,-7.197,0.545
283.78769042299,-31.14333208466,,,gaia,6.760250421942494e+18,1.003,0.3452,0.6377,-2.565,0.641,-1.512,0.561
283.78522720028,-31.14320886161,,,gaia,6.760250421942497e+18,1.028,-1.8312,0.7969,-2.676,0.716,-4.308,0.641
283.78513250361,-31.14006648566,,,gaia,6.760250421942501e+18,0.966,2.737,0.9436,-0.755,0.942,-3.99,0.803
283.78958496196,-31.1424378259,,,gaia,6.760250421959298e+18,,,,,,,
283.80257493525,-31.13621727053,,,gaia,6.760250452000854e+18,0.96,0.9249,0.0271,1.623,0.029,2.219,0.024
283.79951857589,-31.13029621228,,,gaia,6.760250452002394e+18,1.002,0.1691,0.1379,0.556,0.136,-6.022,0.122
283.79962908292,-31.14215382416,,,gaia,6.760250452003942e+18,0.988,1.3344,0.1037,-0.154,0.108,-3.132,0.093
283.80475670946,-31.13922726001,,,gaia,6.760250452003945e+18,1.033,0.1049,0.1347,1.208,0.14,-7.302,0.121
283.80047736742,-31.13865129066,,,gaia,6.760250452003946e+18,0.987,0.0838,0.1343,-4.531,0.137,-5.404,0.119
283.79656081292,-31.13541596128,,,gaia,6.760250452003952e+18,0.997,1.4733,0.2471,-5.406,0.25,-7.832,0.227
283.80052208207,-31.13424607828,,,gaia,6.760250452003954e+18,0.993,0.3279,0.1253,1.137,0.139,-4.502,0.127
283.80034779441,-31.12811756539,,,gaia,6.760250456292724e+18,1.082,0.1264,0.2803,-0.904,0.28,-6.84,0.253
283.80347258326,-31.14352465585,,,gaia,6.760250456301268e+18,0.967,0.7982,0.4137,-2.003,0.459,-8.609,0.418
283.80576483222,-31.13957068363,,,gaia,6.760250456301269e+18,0.98,0.0954,0.2849,-2.787,0.3,-1.234,0.267
283.80291714824,-31.13875968061,,,gaia,6.760250456301271e+18,0.922,0.0186,0.2222,-3.518,0.238,-1.739,0.206
283.80537315486,-31.13598296944,,,gaia,6.760250456301271e+18,0.86,0.5477,0.8602,-3.25,0.811,-5.089,0.672
283.80450666665,-31.13386885238,,,gaia,6.760250456301273e+18,0.986,-0.1308,0.3524,0.983,0.375,-7.449,0.341
283.79575776039,-31.14220033174,,,gaia,6.760250456301273e+18,0.978,0.1237,0.2125,-1.568,0.214,-10.442,0.189
283.79976919809,-31.13763190109,,,gaia,6.760250456301274e+18,1.051,-0.3552,0.4483,-4.145,0.529,-6.958,0.447
283.80294250977,-31.13283498278,,,gaia,6.760250456301275e+18,0.915,0.3264,0.206,-6.008,0.215,1.316,0.192
283.7978558307,-31.13556885171,,,gaia,6.760250456301277e+18,1.038,0.4701,0.3566,-4.587,0.37,-0.609,0.338
283.79359151207,-31.13344655098,,,gaia,6.76025045630128e+18,0.975,0.8168,0.2948,-1.781,0.306,-0.979,0.274
