ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
283.159062,-30.464188,134.959,0.012781,apogee,,,,,,,,,-262.719144001696,36.807458034816996,265.2850120002423,True,dwarf
283.173712,-30.734055,-99.600304,0.358721,apogee,,,,,,,,,-256.99373802995876,-85.65430196965008,270.8919357096462,True,dwarf
283.187202,-30.5921,138.740997,0.021235,apogee,,,,,,,,,-251.72167478363093,-21.23716633826822,252.61595117877124,True,dwarf
283.199101,-30.510536,-10.5854,0.090382,apogee,,,,,,,,,-247.0713945339823,15.775402790245918,247.57450864368334,True,dwarf
283.207476,-30.293665,135.867004,0.009975,apogee,,,,,,,,,-243.7983382190801,114.1883408446538,269.2147969619051,True,dwarf
283.218867,-30.408974,135.807007,0.008681,apogee,,,,,,,,,-239.34659081811367,61.862776457918265,247.21204187364316,True,dwarf
283.222235,-30.68132,-11.9985,0.00294,apogee,,,,,,,,,-238.03033366366304,-61.72391806263189,245.90299267198284,True,dwarf
283.262842,-30.459347,140.817993,0.010287,apogee,,,,,,,,,-222.1606025855752,39.00423415113252,225.55855918785758,True,dwarf
283.27684,-30.661169,12.4667,0.016121,apogee,,,,,,,,,-216.69000649052535,-52.57968432582616,222.97798572206057,True,dwarf
283.278991,-30.682846,-102.867996,0.05235,apogee,,,,,,,,,-215.8493683850388,-62.41639489665185,224.69258150663313,True,dwarf
283.281712,-30.580366,48.177799,0.183546,apogee,,,,,,,,,-214.78596704380618,-15.912446043114592,215.3745982654826,True,dwarf
283.287131,-30.730522,148.014008,0.011454,apogee,,,,,,,,,-212.66815305331596,-84.0510774253529,228.67515592969713,True,dwarf
283.288101,-30.790314,157.210999,0.012984,apogee,,,,,,,,,-212.28906473984188,-111.18382635051694,239.6424216412,True,dwarf
283.297547,-30.626261,303.548004,0.049898,apogee,,,,,,,,,-208.59744802931286,-36.73893640838699,211.8080375546721,True,dwarf
283.29917,-30.204441,-29.351299,0.010427,apogee,,,,,,,,,-207.96315902644562,154.67690771143805,259.17874390356826,True,dwarf
