ra,dec,vlos,vlos_err,src
283.159062,-30.464188,134.959,0.012781,apogee
283.173712,-30.734055,-99.600304,0.358721,apogee
283.187202,-30.5921,138.740997,0.021235,apogee
283.199101,-30.510536,-10.5854,0.090382,apogee
283.207476,-30.293665,135.867004,0.009975,apogee
283.218867,-30.408974,135.807007,0.008681,apogee
283.222235,-30.68132,-11.9985,0.00294,apogee
283.262842,-30.459347,140.817993,0.010287,apogee
283.27684,-30.661169,12.4667,0.016121,apogee
283.278991,-30.682846,-102.867996,0.05235,apogee
283.281712,-30.580366,48.177799,0.183546,apogee
283.287131,-30.730522,148.014008,0.011454,apogee
283.288101,-30.790314,157.210999,0.012984,apogee
283.297547,-30.626261,303.548004,0.049898,apogee
283.29917,-30.204441,-29.351299,0.010427,apogee
283.300323,-30.71139,146.841995,0.011522,apogee
283.310849,-30.760576,141.852997,0.037391,apogee
283.312259,-30.212576,130.595993,0.007051,apogee
283.315365,-30.299223,146.533005,0.004046,apogee
283.325498,-30.228792,148.613007,0.006691,apogee
283.326062,-30.484762,6.49749,0.004104,apogee
283.3293,-30.141563,136.052994,0.038459,apogee
283.330847,-30.196495,155.283997,0.017504,apogee
283.331594,-30.310932,5.45322,0.259284,apogee
283.332511,-30.695427,147.526001,0.005385,apogee
283.333108,-30.738815,153.373001,0.142987,apogee
283.335065,-30.391773,131.283997,0.016415,apogee
283.342686,-30.768415,158.429993,0.019831,apogee
283.343584,-30.39983,-126.906998,0.027532,apogee
283.356433,-30.590212,177.647995,0.039741,apogee
283.359726,-30.54591,-166.514008,0.001215,apogee
283.75646972656,-31.13144493103,8.950713,0.258429,galah
283.6979675293,-31.12111091614,-128.163361,0.326137,galah
283.70755004883,-31.08941650391,-68.685135,0.376428,galah
283.65924072266,-31.06769371033,-32.487877,0.257381,galah
283.84851074219,-31.0772228241,-18.621687,0.240214,galah
283.88171386719,-31.06808280945,17.261032,0.255705,galah
283.94183349609,-31.05172157288,-43.893948,0.260977,galah
283.70416259766,-30.95927810669,-1.513353,0.281535,galah
284.09634399414,-31.07711029053,-12.571372,0.257509,galah
283.70590209961,-30.92247200012,-12.775982,0.296569,galah
284.01657104492,-30.95841598511,40.027027,0.263836,galah
283.6823425293,-30.87519454956,-88.209938,0.294959,galah
283.76574707031,-30.87677764893,64.744003,0.261253,galah
284.0305480957,-30.97772216797,-45.196426,0.409811,galah
283.96347045898,-30.92958259583,-5.316329,0.279918,galah
284.02996826172,-30.94247245789,-49.545273,0.292952,galah
283.76461791992,-30.79713821411,10.462443,0.194952,galah
283.79940795898,-30.80138969421,-23.702139,0.278397,galah
283.81976318359,-30.79586029053,-23.897707,0.283978,galah
284.16220092773,-30.95197296143,-7.749174,0.233209,galah
284.12615966797,-30.94913864136,-0.427673,0.256168,galah
283.80838012695,-30.74661064148,-22.666622,0.296112,galah
284.06958007812,-30.89563941956,16.854721,0.249212,galah
283.87716674805,-30.73338890076,44.658386,0.297124,galah
284.01483154297,-30.80505561829,68.017456,0.258444,galah
284.10717773438,-30.88366699219,-8.089691,0.250701,galah
283.91094970703,-30.73191642761,1.657765,0.267817,galah
284.1692199707,-30.90719413757,-54.581329,0.286895,galah
284.28680419922,-30.97291755676,-20.405466,0.277457,galah
284.1217956543,-30.83905601501,-78.11808,0.214944,galah
283.86441040039,-30.63091659546,-46.799206,0.252865,galah
284.28350830078,-30.91116714478,-78.185608,0.2396,galah
284.06878662109,-30.7348613739,-1.528902,0.224082,galah
284.05191040039,-30.70244407654,-96.585602,0.25644,galah
283.93267822266,-30.5668888092,-26.860613,0.233968,galah
284.03713989258,-30.64519500732,63.699451,0.251437,galah
283.97375488281,-30.57311058044,-21.255402,0.289291,galah
284.21438598633,-30.80666732788,39.102825,0.278503,galah
284.04348754883,-30.60430526733,28.966015,0.2257,galah
284.00479125977,-30.54272270203,33.549023,0.229775,galah
284.09829711914,-30.63258361816,-18.511988,0.232368,galah
284.27612304688,-30.82388877869,140.808563,0.288011,galah
284.28680419922,-30.89872169495,14.267978,0.229226,galah
284.13955688477,-30.60388946533,-46.51812,0.202239,galah
284.20175170898,-30.63277816772,-60.09412,0.195952,galah
284.24569702148,-30.68925094604,2.572145,0.23317,galah
284.18087768555,-30.55213928223,-31.886526,0.200867,galah
284.33847045898,-30.80902862549,-28.54607,0.27767,galah
284.30334472656,-30.65277862549,-46.768169,0.251372,galah
284.34878540039,-30.62463951111,26.034472,0.179871,galah
