ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
14.367361,-33.553711,130.237,0.068167,apogee,,,,,,,,,-838.8685106299879,233.38637005448203,870.7293355881503,True,dwarf
14.386381,-33.568707,111.625,0.079906,apogee,,,,,,,,,-815.1198460359659,210.877626636369,841.955899568074,True,dwarf
14.398098,-33.689445,103.473999,0.202532,apogee,,,,,,,,,-800.4898195875908,29.65192226091218,801.0388178840903,True,dwarf
14.39983,-33.944843,27.755199,0.009276,apogee,,,,,,,,,-798.3272177433817,-353.69617399781595,873.1708481680902,True,dwarf
14.458607,-33.667973,110.708,0.062672,apogee,,,,,,,,,-724.9373513478614,61.88103260188771,727.573656460381,True,dwarf
14.479523,-33.994732,109.343002,0.081586,apogee,,,,,,,,,-698.8213119867421,-428.57872270318165,819.7749371874955,True,dwarf
14.512205,-33.818558,112.685997,0.080291,apogee,,,,,,,,,-658.0140640234489,-164.1445160520607,678.1783914300283,True,dwarf
14.516967,-33.844891,415.506989,9.01292,apogee,,,,,,,,,-652.068157567263,-203.66990551782416,683.135647237651,True,dwarf
14.523023,-33.921246,1145.910034,0.052989,apogee,,,,,,,,,-644.5065428048318,-318.27747444881237,718.8109866020072,True,dwarf
14.565574,-33.454548,126.223999,0.093837,apogee,,,,,,,,,-591.3767096218587,382.2283628238119,704.1483750106562,True,dwarf
14.566667,-33.700556,49.1689,0.079225,apogee,,,,,,,,,-590.0119730076987,12.974498406645774,590.1546118614523,True,dwarf
14.56902,-33.421314,-4.24948,0.035127,apogee,,,,,,,,,-587.0739810103447,432.11203705409116,728.9558777775037,True,dwarf
14.572218,-33.638035,9.50912,0.105777,apogee,,,,,,,,,-583.0809090139381,106.81746634762668,592.7843769647162,True,dwarf
14.574061,-33.72015,21.309401,0.062119,apogee,,,,,,,,,-580.7797108621573,-16.435765566024997,581.0122261526623,True,dwarf
14.593333,-33.373611,526.030029,0.369025,apogee,,,,,,,,,-556.7163951914981,503.71343657887957,750.7731820364398,True,dwarf
14.632982,-33.371162,49.3064,0.050881,apogee,,,,,,,,,-507.2100438514182,507.389344329668,717.4301187732838,True,dwarf
14.636915,-33.686241,101.665001,0.050952,apogee,,,,,,,,,-502.2992395481418,34.46107229502338,503.4799812846231,True,dwarf
14.639167,-33.63,31.828699,0.270748,apogee,,,,,,,,,-499.48735770451896,118.87786601183726,513.438961838864,True,dwarf
14.640036,-33.827724,103.697998,0.247379,apogee,,,,,,,,,-498.40231093626295,-177.90252766650673,529.2014483131537,True,dwarf
14.640742,-33.721886,107.191002,0.122858,apogee,,,,,,,,,-497.52078847551877,-19.04147232608322,497.885039576052,True,dwarf
14.650625,-33.67384,107.538002,0.011027,apogee,,,,,,,,,-485.18072264046435,53.07476442145087,488.0750600474436,True,dwarf
14.661698,-33.584042,119.959999,0.175119,apogee,,,,,,,,,-471.35480449905674,187.86004992816086,507.41181508056656,True,dwarf
14.665274,-33.926319,119.332001,0.259219,apogee,,,,,,,,,-466.88975588769034,-325.89196200283135,569.3782706171021,True,dwarf
14.672128,-33.863758,121.209,0.068438,apogee,,,,,,,,,-458.33174604923204,-231.98895473557357,513.6991965692001,True,dwarf
14.677491,-33.809265,121.976997,0.089765,apogee,,,,,,,,,-451.6354217475669,-150.19587957670288,475.9552042145585,True,dwarf
14.681129,-33.84193,22.633699,0.072081,apogee,,,,,,,,,-447.0929589824197,-199.22549439079518,489.47207436881666,True,dwarf
14.685477,-33.51947,57.462601,0.039034,apogee,,,,,,,,,-441.66397929499834,284.78153432356333,525.5165010714464,True,dwarf
14.686276,-33.698925,119.901001,0.104338,apogee,,,,,,,,,-440.66633560358696,15.42260193524636,440.9361359479921,True,dwarf
14.694639,-33.893539,139.220001,0.153787,apogee,,,,,,,,,-430.2241651514431,-276.6897341257026,511.5173909563664,True,dwarf
14.695696,-33.648228,435.317993,0.297001,apogee,,,,,,,,,-428.9043786910917,91.51794503123068,438.55957442875507,True,dwarf
14.707917,-33.834722,200.511002,0.048424,apogee,,,,,,,,,-413.6450500894345,-188.40640779719809,454.5318492279005,True,dwarf
14.722743,-33.77306,472.441986,0.187748,apogee,,,,,,,,,-395.13307841377815,-95.85278438782541,406.5930470773546,True,dwarf
14.723116,-33.863453,17.1987,0.045301,apogee,,,,,,,,,-394.6673448757368,-231.5311548727794,457.56856184400027,True,dwarf
14.731044,-33.692291,31.495701,0.051982,apogee,,,,,,,,,-384.7683221154112,25.3801241969005,385.604476643826,True,dwarf
14.736975,-33.62244,153.968002,0.053742,apogee,,,,,,,,,-377.36278427591805,130.22529867660572,399.2008258657342,True,dwarf
14.745422,-33.65073,161.871994,0.461878,apogee,,,,,,,,,-366.8157301315592,87.76248517312735,377.16844204640483,True,dwarf
14.751188,-33.72076,642.794006,0.041474,apogee,,,,,,,,,-359.6162138303427,-17.351365291622844,360.0345693501585,True,dwarf
14.755442,-33.90871,836.661011,0.271902,apogee,,,,,,,,,-354.3046039889691,-299.4611495962292,463.9059522416967,True,dwarf
14.75625,-33.892778,189.593002,0.114366,apogee,,,,,,,,,-353.2957227591055,-275.5474859434517,448.0449583798879,True,dwarf
14.761822,-33.794029,27.7297,0.052078,apogee,,,,,,,,,-346.3384378422872,-127.32690020098603,369.0019688861127,True,dwarf
14.765176,-34.04063,-1.83462,0.004519,apogee,,,,,,,,,-342.15058184605596,-497.47084763008996,603.7750118209553,True,dwarf
14.766923,-33.67548,309.200012,0.135976,apogee,,,,,,,,,-339.96925077109586,50.61315204443417,343.7161367025605,True,dwarf
14.768024,-33.734959,111.170998,0.078774,apogee,,,,,,,,,-338.59452523386807,-38.663825133830045,340.79487069544916,True,dwarf
14.770056,-33.645615,108.072998,0.052524,apogee,,,,,,,,,-336.0573387746154,95.44001401972935,349.347006886223,True,dwarf
14.770171,-33.715233,91.947502,0.053283,apogee,,,,,,,,,-335.91374800551387,-9.055431384462853,336.0357822266411,True,dwarf
14.780473,-33.440243,23.150801,0.117596,apogee,,,,,,,,,-323.0505123247767,403.69992688062985,517.0447412717072,True,dwarf
14.782917,-34.019167,-534.008972,1.1673,apogee,,,,,,,,,-319.9988963275206,-465.255246137521,564.6784374396782,True,dwarf
14.789261,-33.8484,113.193001,0.141592,apogee,,,,,,,,,-312.07768033464737,-208.93685541473906,375.5623624827892,True,dwarf
14.789857,-33.65173,57.2103,0.424697,apogee,,,,,,,,,-311.3335055660863,86.26150201641613,323.06283973585766,True,dwarf
14.792181,-33.671806,-111.193001,0.228437,apogee,,,,,,,,,-308.4317234148499,56.127764162212436,313.4971354231222,True,dwarf
14.66649495134,-33.8027299336,110.41999816894531,1.5700000524520874,Walker+2023 (m2fshi),,,,,,,,,-465.3652572620706,-140.3868549822853,486.0795117245844,True,dwarf
14.65056513816,-33.79134228993,112.33999633789062,1.1399999856948853,Walker+2023 (m2fshi),,,,,,,,,-485.25546705477444,-123.29419363893889,500.67387238762865,True,dwarf
14.67452513077,-33.77536813851,32.52000045776367,0.5799999833106995,Walker+2023 (m2fshi),,,,,,,,,-455.3386516935713,-99.31726141469932,466.04421050050087,True,dwarf
14.67975431287,-33.72648160821,123.29000091552734,0.7799999713897705,Walker+2023 (m2fshi),,,,,,,,,-448.80941448042796,-25.93940284416263,449.558386804402,True,dwarf
14.66348456773,-33.72076159932,108.87999725341797,0.8999999761581421,Walker+2023 (m2fshi),,,,,,,,,-469.124068547727,-17.35376584400683,469.4449327447694,True,dwarf
14.65848014137,-33.71772171989,101.13999938964844,1.3899999856948853,Walker+2023 (m2fshi),,,,,,,,,-475.3726722863792,-12.79095802113539,475.54472572387107,True,dwarf
14.76431839093,-33.76392142878,103.94999694824219,0.7400000095367432,Walker+2023 (m2fshi),,,,,,,,,-343.2214057238785,-82.13594291017223,352.9125195637274,True,dwarf
14.74600830113,-33.75298607074,118.91999816894531,0.5799999833106995,Walker+2023 (m2fshi),,,,,,,,,-366.0836655212803,-65.72215467947883,371.93635447104384,True,dwarf
14.74598081545,-33.7465380933,83.19999694824219,0.75,Walker+2023 (m2fshi),,,,,,,,,-366.117984564156,-56.043849147167315,370.38262870786747,True,dwarf
14.75116637925,-33.72074436561,108.37000274658203,0.44999998807907104,Walker+2023 (m2fshi),,,,,,,,,-359.6432098313985,-17.327898335571135,360.06040387490435,True,dwarf
14.75986006275,-33.70693266096,109.58999633789062,0.6800000071525574,Walker+2023 (m2fshi),,,,,,,,,-348.78814287408426,3.403237709601381,348.8047457195224,True,dwarf
14.74117485276,-33.69733292513,118.12000274658203,1.0299999713897705,Walker+2023 (m2fshi),,,,,,,,,-372.11878351137926,17.812279499345827,372.54485145140785,True,dwarf
14.7691110115,-33.8440812429,119.08999633789062,0.9399999976158142,Walker+2023 (m2fshi),,,,,,,,,-337.2372659529359,-202.45447374970493,393.34054900134714,True,dwarf
14.73325631972,-33.8794915115,110.16000366210938,1.399999976158142,Walker+2023 (m2fshi),,,,,,,,,-382.00598567981416,-255.60469049305757,459.6328218233095,True,dwarf
14.75560568391,-33.90873819471,109.70999908447266,0.699999988079071,Walker+2023 (m2fshi),,,,,,,,,-354.10022574091323,-299.50346938104457,463.7772073324087,True,dwarf
14.71864233494,-33.96912648955,118.11000061035156,0.800000011920929,Walker+2023 (m2fshi),,,,,,,,,-400.25323189024505,-390.14528279863936,558.9418496843983,True,dwarf
14.71213841255,-33.80821297741,101.22000122070312,0.8600000143051147,Walker+2023 (m2fshi),,,,,,,,,-408.374129439437,-148.61681138862372,434.57609946100325,True,dwarf
14.70276396447,-33.83783109683,114.58999633789062,0.8600000143051147,Walker+2023 (m2fshi),,,,,,,,,-420.07920952387286,-193.07310977162385,462.32431040459835,True,dwarf
14.68138582651,-33.84188879717,110.16000366210938,0.6700000166893005,Walker+2023 (m2fshi),,,,,,,,,-446.7722814511462,-199.16364963695753,489.15399498498937,True,dwarf
14.69470578494,-33.8935680429,139.60000610351562,0.6000000238418579,Walker+2023 (m2fshi),,,,,,,,,-430.1407764479744,-276.7333270294283,511.47084164402065,True,dwarf
14.67976104174,-34.05131696586,105.1500015258789,0.46000000834465027,Walker+2023 (m2fshi),,,,,,,,,-448.80101270982976,-513.511803382352,681.9946636318822,True,dwarf
14.82410712158,-33.76715336882,107.87000274658203,0.4300000071525574,Walker+2023 (m2fshi),,,,,,,,,-268.5682768748207,-86.9870304737137,282.30420261509596,True,dwarf
14.83166985551,-33.74007231748,115.61000061035156,0.800000011920929,Walker+2023 (m2fshi),,,,,,,,,-259.12533094856593,-46.33882854624538,263.2360616827454,True,dwarf
14.8367112673,-33.73471320194,108.6500015258789,0.4099999964237213,Walker+2023 (m2fshi),,,,,,,,,-252.83054663305083,-38.2948863858088,255.71426169470737,True,dwarf
14.82815671285,-33.72116661733,106.68000030517578,0.44999998807907104,Walker+2023 (m2fshi),,,,,,,,,-263.51189491824385,-17.961691055179195,264.1233444982955,True,dwarf
14.84226379101,-33.70514018137,,,Walker+2023 (m2fshi),,,,,,,,,-245.897580111543,6.093719382947338,245.9730743813859,False,dwarf
14.8285491448,-33.70490681155,116.13999938964844,0.6100000143051147,Walker+2023 (m2fshi),,,,,,,,,-263.0218983485,6.444003552052324,263.1008251462308,True,dwarf
14.834323457,-33.68165599,115.98999786376953,0.5799999833106995,Walker+2023 (m2fshi),,,,,,,,,-255.81200330649278,41.34309507838574,259.1313036789294,True,dwarf
14.84397521692,-33.67897246707,102.58999633789062,0.9599999785423279,Walker+2023 (m2fshi),,,,,,,,,-243.7606673926076,45.37101779698305,247.94715611118352,True,dwarf
14.88333218838,-33.78832659305,108.81999969482422,1.3799999952316284,Walker+2023 (m2fshi),,,,,,,,,-194.6189473799881,-118.76768341630806,227.9962659855879,True,dwarf
14.85997782357,-33.77426447619,108.8499984741211,1.1799999475479126,Walker+2023 (m2fshi),,,,,,,,,-223.7795665534435,-97.66068286167507,244.16163372621776,True,dwarf
14.86401503376,-33.758692922,111.9800033569336,1.0299999713897705,Walker+2023 (m2fshi),,,,,,,,,-218.7386438038194,-74.28804229861984,231.00932345188085,True,dwarf
14.85157526642,-33.75799993984,93.61000061035156,0.6700000166893005,Walker+2023 (m2fshi),,,,,,,,,-234.2711286716092,-73.24788774854608,245.4551176665365,True,dwarf
14.85341290249,-33.75369446614,107.83999633789062,0.8799999952316284,Walker+2023 (m2fshi),,,,,,,,,-231.97662800534502,-66.78544424316412,241.39894677377325,True,dwarf
14.86306674026,-33.7284222934,110.94000244140625,0.6100000143051147,Walker+2023 (m2fshi),,,,,,,,,-219.92269765598576,-28.852338626836893,221.80723700664905,True,dwarf
14.86015087903,-33.70596668383,119.62999725341797,0.9800000190734863,Walker+2023 (m2fshi),,,,,,,,,-223.56348684389002,4.853153111506137,223.61615716428432,True,dwarf
14.87760292618,-33.70192887411,131.13999938964844,0.9200000166893005,Walker+2023 (m2fshi),,,,,,,,,-201.7725922989705,10.913837491240086,202.06754032212044,True,dwarf
14.91382860736,-33.82233432691,109.7300033569336,0.7699999809265137,Walker+2023 (m2fshi),,,,,,,,,-156.54064950014276,-169.81271913822016,230.95743011871818,True,dwarf
14.92243651083,-33.83263783358,105.0,1.059999942779541,Walker+2023 (m2fshi),,,,,,,,,-145.79268880788402,-185.27810910498553,235.761501995876,True,dwarf
14.90662207008,-33.83311605302,,,Walker+2023 (m2fshi),,,,,,,,,-165.53884280966068,-185.99590842963676,248.9931453500826,False,dwarf
14.92120403185,-33.91484465565,104.41000366210938,0.699999988079071,Walker+2023 (m2fshi),,,,,,,,,-147.33158102214406,-308.66916439913393,342.0281389262354,True,dwarf
14.8985975745,-33.94156434302,20.329999923706055,0.4099999964237213,Walker+2023 (m2fshi),,,,,,,,,-175.55835143561194,-348.7749650941943,390.4672982917344,True,dwarf
14.91790140478,-33.97954460048,5.440000057220459,0.4099999964237213,Walker+2023 (m2fshi),,,,,,,,,-151.4552919876793,-405.78269182935566,433.126192303526,True,dwarf
14.89516918707,-33.81059589963,95.18000030517578,0.5899999737739563,Walker+2023 (m2fshi),,,,,,,,,-179.8390887212801,-152.19353750460775,235.5949292541478,True,dwarf
14.89020689562,-33.81948635173,122.88999938964844,0.8600000143051147,Walker+2023 (m2fshi),,,,,,,,,-186.0350821631216,-165.53795636229341,249.0218199115169,True,dwarf
14.88124795621,-33.83152857138,114.66000366210938,1.6799999475479126,Walker+2023 (m2fshi),,,,,,,,,-197.22135173022136,-183.61312522640438,269.46250450425,True,dwarf
14.89593251538,-33.84887080805,118.93000030517578,0.6399999856948853,Walker+2023 (m2fshi),,,,,,,,,-178.88598525075753,-209.64353036784365,275.591374219563,True,dwarf
14.89630015256,-33.85633614116,10.680000305175781,0.5799999833106995,Walker+2023 (m2fshi),,,,,,,,,-178.42694781226857,-220.848869625214,283.9197050582026,True,dwarf
14.88586390428,-33.8940994738,,,Walker+2023 (m2fshi),,,,,,,,,-191.4578079606174,-277.5309958592811,337.1639747833819,False,dwarf
14.89307484261,-34.02374328166,115.19999694824219,0.6299999952316284,Walker+2023 (m2fshi),,,,,,,,,-182.45411943236923,-472.124167829568,506.1528776433098,True,dwarf
14.9486586674,-33.79150449038,111.26000213623047,0.4699999988079071,Walker+2023 (m2fshi),,,,,,,,,-113.05130072624112,-123.53765378239711,167.4579006734362,True,dwarf
14.94755195981,-33.78563810698,91.16000366210938,0.7400000095367432,Walker+2023 (m2fshi),,,,,,,,,-114.43315284814277,-114.73231110816772,162.04459164991528,True,dwarf
14.95593925467,-33.77969044949,108.55000305175781,0.9100000262260437,Walker+2023 (m2fshi),,,,,,,,,-103.9606474600627,-105.80497739376882,148.33242889406003,True,dwarf
14.95741345183,-33.7637626126,,,Walker+2023 (m2fshi),,,,,,,,,-102.11994220778583,-81.89756249896863,130.90337405809672,False,dwarf
14.96131202597,-33.71841448423,110.30999755859375,1.2799999713897705,Walker+2023 (m2fshi),,,,,,,,,-97.25212256289664,-13.83078562704676,98.23067735717795,True,dwarf
14.94874552757,-33.70503356828,111.68000030517578,0.5600000023841858,Walker+2023 (m2fshi),,,,,,,,,-112.94284578176358,6.253743835319847,113.11585090181231,True,dwarf
14.95361307677,-33.70500226347,114.05000305175781,0.6200000047683716,Walker+2023 (m2fshi),,,,,,,,,-106.86514897074143,6.3007318278620605,107.05073230064983,True,dwarf
14.96812389813,-33.79937121609,80.2300033569336,0.8799999952316284,Walker+2023 (m2fshi),,,,,,,,,-88.74671419353712,-135.34547657161667,161.84677107853403,True,dwarf
14.9662883051,-33.79544034404,114.27999877929688,0.4300000071525574,Walker+2023 (m2fshi),,,,,,,,,-91.03866388862544,-129.44530383335984,158.2533570169586,True,dwarf
14.96530062086,-33.78154967971,112.81999969482422,0.7900000214576721,Walker+2023 (m2fshi),,,,,,,,,-92.27190162472148,-108.59565063843691,142.50304967623578,True,dwarf
14.97022288983,-33.75522077948,101.43000030517578,0.5,Walker+2023 (m2fshi),,,,,,,,,-86.12588086709819,-69.07641485837424,110.4047935771804,True,dwarf
14.96784662582,-33.74853775464,118.4000015258789,0.4300000071525574,Walker+2023 (m2fshi),,,,,,,,,-89.09292066521922,-59.0453071376269,106.88263099136239,True,dwarf
14.96335384261,-33.7477368297,125.76000213623047,0.30000001192092896,Walker+2023 (m2fshi),,,,,,,,,-94.702678895922,-57.84313229289894,110.97038047838676,True,dwarf
