ra,dec,vlos,vlos_err,src
14.367361,-33.553711,130.237,0.068167,apogee
14.386381,-33.568707,111.625,0.079906,apogee
14.398098,-33.689445,103.473999,0.202532,apogee
14.39983,-33.944843,27.755199,0.009276,apogee
14.458607,-33.667973,110.708,0.062672,apogee
14.479523,-33.994732,109.343002,0.081586,apogee
14.512205,-33.818558,112.685997,0.080291,apogee
14.516967,-33.844891,415.506989,9.01292,apogee
14.523023,-33.921246,1145.910034,0.052989,apogee
14.565574,-33.454548,126.223999,0.093837,apogee
14.566667,-33.700556,49.1689,0.079225,apogee
14.56902,-33.421314,-4.24948,0.035127,apogee
14.572218,-33.638035,9.50912,0.105777,apogee
14.574061,-33.72015,21.309401,0.062119,apogee
14.593333,-33.373611,526.030029,0.369025,apogee
14.632982,-33.371162,49.3064,0.050881,apogee
14.636915,-33.686241,101.665001,0.050952,apogee
14.639167,-33.63,31.828699,0.270748,apogee
14.640036,-33.827724,103.697998,0.247379,apogee
14.640742,-33.721886,107.191002,0.122858,apogee
14.650625,-33.67384,107.538002,0.011027,apogee
14.661698,-33.584042,119.959999,0.175119,apogee
14.665274,-33.926319,119.332001,0.259219,apogee
14.672128,-33.863758,121.209,0.068438,apogee
14.677491,-33.809265,121.976997,0.089765,apogee
14.681129,-33.84193,22.633699,0.072081,apogee
14.685477,-33.51947,57.462601,0.039034,apogee
14.686276,-33.698925,119.901001,0.104338,apogee
14.694639,-33.893539,139.220001,0.153787,apogee
14.695696,-33.648228,435.317993,0.297001,apogee
14.707917,-33.834722,200.511002,0.048424,apogee
14.722743,-33.77306,472.441986,0.187748,apogee
14.723116,-33.863453,17.1987,0.045301,apogee
14.731044,-33.692291,31.495701,0.051982,apogee
14.736975,-33.62244,153.968002,0.053742,apogee
14.745422,-33.65073,161.871994,0.461878,apogee
14.751188,-33.72076,642.794006,0.041474,apogee
14.755442,-33.90871,836.661011,0.271902,apogee
14.75625,-33.892778,189.593002,0.114366,apogee
14.761822,-33.794029,27.7297,0.052078,apogee
14.765176,-34.04063,-1.83462,0.004519,apogee
14.766923,-33.67548,309.200012,0.135976,apogee
14.768024,-33.734959,111.170998,0.078774,apogee
14.770056,-33.645615,108.072998,0.052524,apogee
14.770171,-33.715233,91.947502,0.053283,apogee
14.780473,-33.440243,23.150801,0.117596,apogee
14.782917,-34.019167,-534.008972,1.1673,apogee
14.789261,-33.8484,113.193001,0.141592,apogee
14.789857,-33.65173,57.2103,0.424697,apogee
14.792181,-33.671806,-111.193001,0.228437,apogee
