ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
151.7570513326,15.4846650546,,,gaia,6.216272468641373e+17,1.025,-0.0028,0.0578,-2.542,0.052,-2.806,0.042
151.73512929746,15.49376757559,,,gaia,6.216275260363827e+17,0.987,-0.0886,0.6488,-21.184,0.523,-8.766,0.41
151.72460120264,15.50226881364,,,gaia,6.216275260368806e+17,1.026,0.2954,0.938,-3.802,0.72,-5.9,0.605
151.74475227133,15.51490022853,,,gaia,6.216275561017885e+17,0.964,0.054,0.5531,2.937,0.508,-10.163,0.434
151.64351901297,15.50737127504,-6.91,2.43,gaia,6.21628075792459e+17,0.991,0.9588,0.02,8.978,0.02,-5.066,0.017
151.64917194016,15.50715152386,,,gaia,6.216281101518935e+17,,,,,,,
151.73426777338,15.52134267026,,,gaia,6.216283120160337e+17,1.042,2.5996,0.1607,-23.417,0.15,6.36,0.137
151.73386135639,15.52153402007,,,gaia,6.216283163103176e+17,1.06,0.9854,0.8035,-22.853,0.716,5.762,0.674
151.71090509719,15.52056607407,,,gaia,6.216283506703653e+17,1.136,0.4787,0.155,-12.437,0.137,-10.215,0.115
151.72588698628,15.52507602948,,,gaia,6.216283807355808e+17,,,,,,,
151.72236620114,15.52363789567,65.97,5.77,gaia,6.216283850301032e+17,1.023,2.8289,0.0325,-18.448,0.027,23.03,0.023
151.67563972952,15.51748631427,,,gaia,6.216284150952481e+17,1.034,0.3978,0.115,-6.107,0.106,-8.391,0.087
151.68365275613,15.5159850222,,,gaia,6.216284494549862e+17,1.021,0.4492,0.1223,-1.013,0.103,-5.353,0.083
151.66286956839,15.51376653197,,,gaia,6.216284838147944e+17,0.849,2.9004,2.0174,-8.396,1.501,-6.963,1.341
151.68204866479,15.53156668143,,,gaia,6.216285181745348e+17,1.053,0.9864,1.0954,1.412,0.854,-17.761,0.697
151.697933752,15.53632018997,,,gaia,6.216285525342043e+17,,,,,,,
151.9126527873,15.5131897856,,,gaia,6.216297551251141e+17,1.07,1.3314,0.8263,-5.874,0.737,-13.339,0.447
151.8636694013,15.49027489154,,,gaia,6.216299612835421e+17,1.007,0.387,1.0395,-9.125,1.365,-7.095,1.669
151.82224341672,15.48628946354,,,gaia,6.216300987224951e+17,,,,,,,
151.81990544661,15.48868267269,,,gaia,6.216300987224954e+17,1.026,0.6993,1.2941,1.658,1.182,-17.25,0.793
151.82434109598,15.50633212946,,,gaia,6.216303048809276e+17,1.002,-0.5516,0.9747,-9.576,0.862,-85.669,0.723
151.8729760387,15.49849821421,,,gaia,6.216303392406648e+17,1.031,2.1493,1.0236,7.08,0.876,-8.377,0.624
151.87855357042,15.5006594608,,,gaia,6.216303778949274e+17,0.999,3.8854,0.0474,-31.048,0.04,-4.622,0.033
151.85912148627,15.50027347059,,,gaia,6.2163040796007e+17,1.022,0.1599,0.1505,-1.412,0.129,-1.495,0.102
151.89975321219,15.52049290988,,,gaia,6.216305110392893e+17,0.957,3.7658,0.0891,-42.661,0.077,21.76,0.062
151.9103690622,15.52249324282,,,gaia,6.216305110393594e+17,1.117,1.2962,1.1814,-4.08,0.965,-2.072,0.773
151.90951667323,15.51622344662,,,gaia,6.216305153338804e+17,0.872,0.3247,0.0707,2.036,0.063,-6.016,0.05
151.85020682962,15.52356016713,,,gaia,6.2163071719772e+17,0.981,0.2819,0.2724,-6.389,0.247,-2.772,0.211
151.89597500501,15.53973650919,,,gaia,6.216307859172675e+17,1.047,0.8909,0.681,-25.684,0.622,-16.675,0.445
151.87385217948,15.55004094177,,,gaia,6.216308546366769e+17,,,,,,,
151.97116346559,15.52324073842,128.44,8.12,gaia,6.216310951547035e+17,0.977,0.8737,0.026,-4.158,0.023,-4.115,0.022
151.97411425662,15.52029804686,,,gaia,6.216310951548419e+17,,,,,,,
151.96522961864,15.5210963844,,,gaia,6.21631095154842e+17,0.951,0.4618,0.3679,-7.408,0.347,0.003,0.291
151.98641259403,15.53622070062,,,gaia,6.216311295157554e+17,,,,,,,
