ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
152.96172199611,-2.11824843317,,,gaia,3.8289741032775414e+18,0.94,0.4343,0.2288,-6.757,0.224,-6.297,0.207
152.93943661253,-2.11938692472,,,gaia,3.828974137637281e+18,0.962,0.4065,0.1334,-3.866,0.144,0.139,0.129
152.93617014116,-2.11705363913,,,gaia,3.828974339504049e+18,1.034,1.0473,0.9355,-16.119,1.188,-11.671,0.944
152.93145066317,-2.11465902255,,,gaia,3.828974339506382e+18,1.035,0.2905,0.8824,-2.089,0.922,-4.75,0.895
152.94106388015,-2.10212300092,,,gaia,3.8289743781554483e+18,1.284,2.8261,0.1377,-8.805,0.136,-1.309,0.137
152.93763896123,-2.10215163823,,,gaia,3.8289743781554483e+18,1.063,0.2489,0.5146,-0.425,0.52,0.478,0.476
152.93812201534,-2.10704319458,,,gaia,3.828974378155449e+18,0.948,0.9652,0.5582,4.887,0.605,-13.907,0.592
152.93293641637,-2.10962585834,,,gaia,3.8289743781554493e+18,1.015,0.7524,0.0468,1.711,0.049,4.574,0.048
152.91639605871,-2.09409684767,,,gaia,3.8290213779827507e+18,0.99,-0.1084,0.2754,-1.943,0.288,-7.504,0.303
152.90605491432,-2.07259068175,,,gaia,3.829021450997013e+18,0.98,0.6669,0.5663,-12.776,0.596,5.356,0.543
152.89457933871,-2.06964542679,,,gaia,3.8290216528606684e+18,0.98,0.0039,0.5879,-0.092,0.51,-0.122,0.463
152.87646640436,-2.06007263237,,,gaia,3.829021721580152e+18,0.978,1.1979,0.3806,-3.727,0.379,-5.615,0.431
152.86051436334,-2.05847255858,,,gaia,3.8290224474294277e+18,1.053,1.2214,0.3833,-8.7,0.4,-1.091,0.443
152.87941567276,-2.04865473925,,,gaia,3.8290224774944026e+18,0.981,0.1268,0.23,-9.372,0.218,2.06,0.223
152.86901417485,-2.04024745138,,,gaia,3.8290225505086413e+18,0.981,1.145,0.3753,-13.56,0.468,-2.709,0.443
152.86868599627,-2.04582750095,,,gaia,3.829022550508642e+18,0.962,0.9574,0.3569,-4.434,0.365,13.412,0.401
152.86681519071,-2.04762982223,,,gaia,3.8290225505088415e+18,,,,,,,
