ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
152.80122465559,-1.98471751025,-31.153399,0.1599999964237213,gaia,3.829026123921433e+18,0.897,2.0289,0.0175,10.118,0.017,-27.912,0.017,-692.091596609456,-555.3900505749157,887.3831677325378,dwarf
153.24852203828,-2.20361198823,2.9666010000000043,1.159999966621399,gaia,3.8290517906461204e+18,0.979,2.1041,0.0231,-16.16,0.017,-0.098,0.018,-20.972354064419626,-883.9469751208447,884.1957331158609,dwarf
153.27763142268,-2.17398881038,-30.963398999999995,3.3499999046325684,gaia,3.829051958149837e+18,1.058,1.6928,0.0222,-1.482,0.02,-5.546,0.019,22.702992059914838,-839.4830841196185,839.7900180232313,dwarf
152.683649,-1.537164,37.214203,0.030934,apogee,,,,,,,,,-868.5005987072996,116.38023003906405,876.2634580415204,dwarf
152.714905,-1.409111,-52.526998999999996,0.018001,apogee,,,,,,,,,-821.6044981335808,308.58562620590567,877.644028096941,dwarf
152.718859,-1.740431,-10.690198999999996,0.018892,apogee,,,,,,,,,-815.6719673660803,-188.7201132769492,837.2192302510235,dwarf
152.760948,-1.636741,-40.245537,0.00765,apogee,,,,,,,,,-752.5221728610985,-33.083169757158046,753.2490403371053,dwarf
152.799514,-1.813558,189.23059899999998,0.053922,apogee,,,,,,,,,-694.6582422645808,-298.48250857805573,756.0700241863622,dwarf
152.800948,-1.922488,397.92661300000003,0.042498,apogee,,,,,,,,,-692.5066871000137,-461.9846038390342,832.46338409719,dwarf
152.817715,-1.610152,-59.1868,0.018168,apogee,,,,,,,,,-667.3496958561647,6.826471396740308,667.3846097049632,dwarf
152.819993,-1.499924,-21.476498999999997,0.005982,apogee,,,,,,,,,-663.9318139420327,172.27684279513514,685.9189194998324,dwarf
152.821558,-2.006743,-376.984398,0.754524,apogee,,,,,,,,,-661.5837080616226,-588.4499397080672,885.4187338852697,dwarf
152.86133,-1.991538,11.519699000000003,0.149494,apogee,,,,,,,,,-601.9103105693922,-565.6274908102134,825.9724452607364,dwarf
152.869818,-1.629188,-7.809298999999996,0.432211,apogee,,,,,,,,,-589.1750244908886,-21.74624397448876,589.5762110285974,dwarf
152.886786,-1.729388,0.0,0.01143,apogee,,,,,,,,,-563.7164554310431,-172.1447562773438,589.4150144317035,dwarf
152.8951,-1.8613,3.948799000000001,1.19226,apogee,,,,,,,,,-551.2422367155635,-370.14244644594936,663.9830074634214,dwarf
152.895876,-1.186392,19.354,0.351406,apogee,,,,,,,,,-550.0779362918523,642.8830938863414,846.0995262969822,dwarf
152.91817,-1.95897,-203.999397,0.577234,apogee,,,,,,,,,-516.628305302893,-516.7434713623157,730.7041953045813,dwarf
152.92199,-1.936049,-159.88939599999998,0.052354,apogee,,,,,,,,,-510.8968264127236,-482.3394364272481,702.6143317436301,dwarf
152.929131,-2.064032,186.13959499999999,1.21862,apogee,,,,,,,,,-500.18256181719875,-674.4397637731201,839.6735020853987,dwarf
152.94511,-1.241329,18.891899000000002,0.035318,apogee,,,,,,,,,-476.2078756427842,560.4235822058824,735.4240493189537,dwarf
152.946276,-1.891305,187.87760200000002,1.2932,apogee,,,,,,,,,-474.458424232841,-415.1794460631867,630.463931370261,dwarf
152.958863,-1.384176,-56.611898999999994,0.016035,apogee,,,,,,,,,-455.5730512509709,346.0126412185971,572.0765271440433,dwarf
152.962943,-1.911838,196.667595,0.055328,apogee,,,,,,,,,-449.451471703339,-445.99913322001817,633.1839008134247,dwarf
152.963829,-1.599849,490.89859800000005,0.358043,apogee,,,,,,,,,-448.122128693743,22.29110086037617,448.67620329428996,dwarf
152.981336,-1.190594,111.841606,0.017991,apogee,,,,,,,,,-421.8548509632759,636.5759626618243,763.6690850886109,dwarf
152.991093,-1.781845,-450.966392,0.04225,apogee,,,,,,,,,-407.215573598956,-250.8818297291491,478.2951137841286,dwarf
152.997813,-1.121335,-18.583699999999997,0.032067,apogee,,,,,,,,,-397.13297199112094,740.532555112757,840.2993886849669,dwarf
152.999514,-1.660118,189.25960600000002,0.077098,apogee,,,,,,,,,-394.58081345911796,-68.17165301168727,400.4265133884183,dwarf
153.005064,-1.386663,-18.410698999999997,0.010626,apogee,,,,,,,,,-386.25366480978767,342.27969610784663,516.0884458565912,dwarf
153.005769,-1.78938,0.7283019999999993,0.005531,apogee,,,,,,,,,-385.1958918732654,-262.1917378149975,465.96178222520433,dwarf
153.007722,-1.700008,-43.735399,0.009138,apogee,,,,,,,,,-382.26563578096153,-128.04587113305368,403.14111848488653,dwarf
153.022065,-1.629139,178.26860800000003,0.105189,apogee,,,,,,,,,-360.74558297418423,-21.672695799809524,361.39601738067773,dwarf
153.026,-1.754353,34.132203000000004,0.0281,apogee,,,,,,,,,-354.84155956241847,-209.61680078473714,412.13072630406674,dwarf
153.028901,-2.151357,-20.659698,0.019011,apogee,,,,,,,,,-350.48893645760285,-805.5131179332676,878.4610849330526,dwarf
153.033319,-1.813346,-347.66139899999996,3.03071,apogee,,,,,,,,,-343.8602260552697,-298.16430014883247,455.1283389836588,dwarf
153.04967,-1.52975,-840.964378,1.22713,apogee,,,,,,,,,-319.32739586332247,127.50851916295,343.84358101901427,dwarf
153.065952,-1.400075,-872.6043930000001,0.369739,apogee,,,,,,,,,-294.8980923842262,322.14851000998357,436.74311373335706,dwarf
153.066112,-1.457008,-300.898399,0.869019,apogee,,,,,,,,,-294.65803044118707,236.69303594872116,377.9509864653116,dwarf
153.067236,-1.763408,180.87059800000003,0.266543,apogee,,,,,,,,,-292.9715952913132,-223.20820326879257,368.3127172037637,dwarf
153.067638,-1.745975,233.94660200000004,1.21835,apogee,,,,,,,,,-292.36843965943444,-197.04156389777788,352.5686917639943,dwarf
153.071505,-1.08929,297.249611,0.181495,apogee,,,,,,,,,-286.566442573446,788.6315603696929,839.0828707704244,dwarf
153.082212,-1.912667,-663.89138,0.048228,apogee,,,,,,,,,-270.50179742235264,-447.24344825693487,522.683388312157,dwarf
153.084968,-1.863489,184.34459700000002,0.104435,apogee,,,,,,,,,-266.3667304534413,-373.4280985759985,458.6935577251351,dwarf
153.091661,-1.783551,181.81160799999998,0.279151,apogee,,,,,,,,,-256.3246392984642,-253.44250699450535,360.46556709781265,dwarf
153.095176,-1.593368,-769.103416,0.471071,apogee,,,,,,,,,-251.05077848720006,32.01897269904713,253.08438907157336,dwarf
153.095639,-1.87619,-385.815391,2.96588,apogee,,,,,,,,,-250.35609923951742,-392.49208564943734,465.54077557596645,dwarf
153.10515,-1.373813,180.82759900000002,0.151551,apogee,,,,,,,,,-236.0859171126751,361.56732967163595,431.8188209710299,dwarf
153.109201,-1.641716,196.83460300000002,0.061339,apogee,,,,,,,,,-230.00784879220114,-40.550560961815535,233.5550438340692,dwarf
153.112572,-1.505955,478.254616,0.052174,apogee,,,,,,,,,-224.95004372969132,163.22441337698623,277.9293638611281,dwarf
153.116294,-1.801466,-735.575401,0.824165,apogee,,,,,,,,,-219.36560277960714,-280.33262024705687,355.96017425751575,dwarf
153.134612,-2.013375,-8.620898999999994,0.30196,apogee,,,,,,,,,-191.88151107533292,-598.4044600034014,628.415795508448,dwarf
153.142887,-1.578007,187.921608,0.036342,apogee,,,,,,,,,-179.46580745851094,55.07557496934812,187.7266496929501,dwarf
