ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
152.800948,-1.922488,438.950012,0.042498,apogee,,,,,,,,,-692.5066871000137,-461.9846038390342,832.46338409719,True,dwarf
152.683649,-1.537164,78.237602,0.030934,apogee,,,,,,,,,-868.5005987072996,116.38023003906405,876.2634580415204,True,dwarf
152.714905,-1.409111,-11.5036,0.018001,apogee,,,,,,,,,-821.6044981335808,308.58562620590567,877.644028096941,True,dwarf
152.718859,-1.740431,30.3332,0.018892,apogee,,,,,,,,,-815.6719673660803,-188.7201132769492,837.2192302510235,True,dwarf
152.760948,-1.636741,0.777862,0.00765,apogee,,,,,,,,,-752.5221728610985,-33.083169757158046,753.2490403371053,True,dwarf
152.799514,-1.813558,230.253998,0.053922,apogee,,,,,,,,,-694.6582422645808,-298.48250857805573,756.0700241863622,True,dwarf
152.817715,-1.610152,-18.163401,0.018168,apogee,,,,,,,,,-667.3496958561647,6.826471396740308,667.3846097049632,True,dwarf
152.819993,-1.499924,19.5469,0.005982,apogee,,,,,,,,,-663.9318139420327,172.27684279513514,685.9189194998324,True,dwarf
152.821558,-2.006743,-335.960999,0.754524,apogee,,,,,,,,,-661.5837080616226,-588.4499397080672,885.4187338852697,True,dwarf
152.86133,-1.991538,52.543098,0.149494,apogee,,,,,,,,,-601.9103105693922,-565.6274908102134,825.9724452607364,True,dwarf
152.869818,-1.629188,33.2141,0.432211,apogee,,,,,,,,,-589.1750244908886,-21.74624397448876,589.5762110285974,True,dwarf
152.886786,-1.729388,41.023399,0.01143,apogee,,,,,,,,,-563.7164554310431,-172.1447562773438,589.4150144317035,True,dwarf
152.8951,-1.8613,44.972198,1.19226,apogee,,,,,,,,,-551.2422367155635,-370.14244644594936,663.9830074634214,True,dwarf
152.895876,-1.186392,60.377399,0.351406,apogee,,,,,,,,,-550.0779362918523,642.8830938863414,846.0995262969822,True,dwarf
152.91817,-1.95897,-162.975998,0.577234,apogee,,,,,,,,,-516.628305302893,-516.7434713623157,730.7041953045813,True,dwarf
152.92199,-1.936049,-118.865997,0.052354,apogee,,,,,,,,,-510.8968264127236,-482.3394364272481,702.6143317436301,True,dwarf
152.929131,-2.064032,227.162994,1.21862,apogee,,,,,,,,,-500.18256181719875,-674.4397637731201,839.6735020853987,True,dwarf
152.94511,-1.241329,59.915298,0.035318,apogee,,,,,,,,,-476.2078756427842,560.4235822058824,735.4240493189537,True,dwarf
152.946276,-1.891305,228.901001,1.2932,apogee,,,,,,,,,-474.458424232841,-415.1794460631867,630.463931370261,True,dwarf
152.958863,-1.384176,-15.5885,0.016035,apogee,,,,,,,,,-455.5730512509709,346.0126412185971,572.0765271440433,True,dwarf
152.962943,-1.911838,237.690994,0.055328,apogee,,,,,,,,,-449.451471703339,-445.99913322001817,633.1839008134247,True,dwarf
152.963829,-1.599849,531.921997,0.358043,apogee,,,,,,,,,-448.122128693743,22.29110086037617,448.67620329428996,True,dwarf
152.981336,-1.190594,152.865005,0.017991,apogee,,,,,,,,,-421.8548509632759,636.5759626618243,763.6690850886109,True,dwarf
152.991093,-1.781845,-409.942993,0.04225,apogee,,,,,,,,,-407.215573598956,-250.8818297291491,478.2951137841286,True,dwarf
152.997813,-1.121335,22.439699,0.032067,apogee,,,,,,,,,-397.13297199112094,740.532555112757,840.2993886849669,True,dwarf
152.999514,-1.660118,230.283005,0.077098,apogee,,,,,,,,,-394.58081345911796,-68.17165301168727,400.4265133884183,True,dwarf
153.005064,-1.386663,22.6127,0.010626,apogee,,,,,,,,,-386.25366480978767,342.27969610784663,516.0884458565912,True,dwarf
153.005769,-1.78938,41.751701,0.005531,apogee,,,,,,,,,-385.1958918732654,-262.1917378149975,465.96178222520433,True,dwarf
153.007722,-1.700008,-2.712,0.009138,apogee,,,,,,,,,-382.26563578096153,-128.04587113305368,403.14111848488653,True,dwarf
153.022065,-1.629139,219.292007,0.105189,apogee,,,,,,,,,-360.74558297418423,-21.672695799809524,361.39601738067773,True,dwarf
153.026,-1.754353,75.155602,0.0281,apogee,,,,,,,,,-354.84155956241847,-209.61680078473714,412.13072630406674,True,dwarf
153.028901,-2.151357,20.363701,0.019011,apogee,,,,,,,,,-350.48893645760285,-805.5131179332676,878.4610849330526,True,dwarf
153.033319,-1.813346,-306.638,3.03071,apogee,,,,,,,,,-343.8602260552697,-298.16430014883247,455.1283389836588,True,dwarf
153.04967,-1.52975,-799.940979,1.22713,apogee,,,,,,,,,-319.32739586332247,127.50851916295,343.84358101901427,True,dwarf
153.065952,-1.400075,-831.580994,0.369739,apogee,,,,,,,,,-294.8980923842262,322.14851000998357,436.74311373335706,True,dwarf
153.066112,-1.457008,-259.875,0.869019,apogee,,,,,,,,,-294.65803044118707,236.69303594872116,377.9509864653116,True,dwarf
153.067236,-1.763408,221.893997,0.266543,apogee,,,,,,,,,-292.9715952913132,-223.20820326879257,368.3127172037637,True,dwarf
153.067638,-1.745975,274.970001,1.21835,apogee,,,,,,,,,-292.36843965943444,-197.04156389777788,352.5686917639943,True,dwarf
153.071505,-1.08929,338.27301,0.181495,apogee,,,,,,,,,-286.566442573446,788.6315603696929,839.0828707704244,True,dwarf
153.082212,-1.912667,-622.867981,0.048228,apogee,,,,,,,,,-270.50179742235264,-447.24344825693487,522.683388312157,True,dwarf
153.084968,-1.863489,225.367996,0.104435,apogee,,,,,,,,,-266.3667304534413,-373.4280985759985,458.6935577251351,True,dwarf
153.091661,-1.783551,222.835007,0.279151,apogee,,,,,,,,,-256.3246392984642,-253.44250699450535,360.46556709781265,True,dwarf
153.095176,-1.593368,-728.080017,0.471071,apogee,,,,,,,,,-251.05077848720006,32.01897269904713,253.08438907157336,True,dwarf
153.095639,-1.87619,-344.791992,2.96588,apogee,,,,,,,,,-250.35609923951742,-392.49208564943734,465.54077557596645,True,dwarf
153.10515,-1.373813,221.850998,0.151551,apogee,,,,,,,,,-236.0859171126751,361.56732967163595,431.8188209710299,True,dwarf
153.109201,-1.641716,237.858002,0.061339,apogee,,,,,,,,,-230.00784879220114,-40.550560961815535,233.5550438340692,True,dwarf
153.112572,-1.505955,519.278015,0.052174,apogee,,,,,,,,,-224.95004372969132,163.22441337698623,277.9293638611281,True,dwarf
153.116294,-1.801466,-694.552002,0.824165,apogee,,,,,,,,,-219.36560277960714,-280.33262024705687,355.96017425751575,True,dwarf
153.134612,-2.013375,32.4025,0.30196,apogee,,,,,,,,,-191.88151107533292,-598.4044600034014,628.415795508448,True,dwarf
153.142887,-1.578007,228.945007,0.036342,apogee,,,,,,,,,-179.46580745851094,55.07557496934812,187.7266496929501,True,dwarf
153.06325093275,-2.07430820017,,,Walker+2023 (hectocat),,,,,,,,,-298.95073896127536,-689.8641671433228,751.8537846109728,False,dwarf
153.16573552083,-2.06674199477,220.64999389648438,1.1399999856948853,Walker+2023 (hectocat),,,,,,,,,-145.18418054515664,-678.5074202776758,693.8665330252174,True,dwarf
153.22473712847,-1.88757407451,,,Walker+2023 (hectocat),,,,,,,,,-56.65892696516212,-409.57938974373747,413.47975828049425,False,dwarf
153.23052153167,-1.76537539261,232.4499969482422,1.4700000286102295,Walker+2023 (hectocat),,,,,,,,,-47.9800827680025,-226.16122643904825,231.19469865643293,True,dwarf
153.22748820963,-1.86059349202,229.77000427246094,0.44999998807907104,Walker+2023 (hectocat),,,,,,,,,-52.531240160511224,-369.0819898678846,372.80161807272054,True,dwarf
153.15171014462,-1.95151299577,218.47000122070312,1.7000000476837158,Walker+2023 (hectocat),,,,,,,,,-166.22767470076806,-505.55063361353194,532.177679899738,True,dwarf
153.23387316917,-1.80089307609,225.19000244140625,1.3799999952316284,Walker+2023 (hectocat),,,,,,,,,-42.9513289515363,-279.47267110806695,282.75393994599057,True,dwarf
