ra,dec,vlos,vlos_err,src
152.800948,-1.922488,438.950012,0.042498,apogee
152.683649,-1.537164,78.237602,0.030934,apogee
152.714905,-1.409111,-11.5036,0.018001,apogee
152.718859,-1.740431,30.3332,0.018892,apogee
152.760948,-1.636741,0.777862,0.00765,apogee
152.799514,-1.813558,230.253998,0.053922,apogee
152.817715,-1.610152,-18.163401,0.018168,apogee
152.819993,-1.499924,19.5469,0.005982,apogee
152.821558,-2.006743,-335.960999,0.754524,apogee
152.86133,-1.991538,52.543098,0.149494,apogee
152.869818,-1.629188,33.2141,0.432211,apogee
152.886786,-1.729388,41.023399,0.01143,apogee
152.8951,-1.8613,44.972198,1.19226,apogee
152.895876,-1.186392,60.377399,0.351406,apogee
152.91817,-1.95897,-162.975998,0.577234,apogee
152.92199,-1.936049,-118.865997,0.052354,apogee
152.929131,-2.064032,227.162994,1.21862,apogee
152.94511,-1.241329,59.915298,0.035318,apogee
152.946276,-1.891305,228.901001,1.2932,apogee
152.958863,-1.384176,-15.5885,0.016035,apogee
152.962943,-1.911838,237.690994,0.055328,apogee
152.963829,-1.599849,531.921997,0.358043,apogee
152.981336,-1.190594,152.865005,0.017991,apogee
152.991093,-1.781845,-409.942993,0.04225,apogee
152.997813,-1.121335,22.439699,0.032067,apogee
152.999514,-1.660118,230.283005,0.077098,apogee
153.005064,-1.386663,22.6127,0.010626,apogee
153.005769,-1.78938,41.751701,0.005531,apogee
153.007722,-1.700008,-2.712,0.009138,apogee
153.022065,-1.629139,219.292007,0.105189,apogee
153.026,-1.754353,75.155602,0.0281,apogee
153.028901,-2.151357,20.363701,0.019011,apogee
153.033319,-1.813346,-306.638,3.03071,apogee
153.04967,-1.52975,-799.940979,1.22713,apogee
153.065952,-1.400075,-831.580994,0.369739,apogee
153.066112,-1.457008,-259.875,0.869019,apogee
153.067236,-1.763408,221.893997,0.266543,apogee
153.067638,-1.745975,274.970001,1.21835,apogee
153.071505,-1.08929,338.27301,0.181495,apogee
153.082212,-1.912667,-622.867981,0.048228,apogee
153.084968,-1.863489,225.367996,0.104435,apogee
153.091661,-1.783551,222.835007,0.279151,apogee
153.095176,-1.593368,-728.080017,0.471071,apogee
153.095639,-1.87619,-344.791992,2.96588,apogee
153.10515,-1.373813,221.850998,0.151551,apogee
153.109201,-1.641716,237.858002,0.061339,apogee
153.112572,-1.505955,519.278015,0.052174,apogee
153.116294,-1.801466,-694.552002,0.824165,apogee
153.134612,-2.013375,32.4025,0.30196,apogee
153.142887,-1.578007,228.945007,0.036342,apogee
