ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
342.94099848841,-65.0093671009,,,gaia,6.392471509088506e+18,1.006,0.2982,0.3179,10.871,0.284,0.974,0.297
342.90292067221,-65.00895127783,,,gaia,6.392472230643012e+18,1.012,1.9488,0.2882,6.014,0.261,7.396,0.277
342.90234158843,-65.00058933,,,gaia,6.39247223493852e+18,,,,,,,
342.91593440183,-65.0022288667,,,gaia,6.39247226500316e+18,1.001,0.3897,0.0813,10.415,0.07,-6.535,0.077
342.87883519524,-64.99483041226,,,gaia,6.392472299362902e+18,0.98,0.5529,0.1172,8.837,0.096,1.369,0.113
342.85591999457,-64.98924401324,,,gaia,6.392472303658502e+18,1.008,0.4265,0.0715,-9.858,0.064,-3.921,0.071
342.88478982449,-64.99212100571,,,gaia,6.392472333722641e+18,0.921,1.0504,0.2234,4.114,0.192,-2.701,0.219
342.80704158632,-65.00535055252,,,gaia,6.392472368082373e+18,0.96,0.525,0.2691,10.176,0.23,-0.562,0.252
342.7865055791,-64.98729855254,,,gaia,6.392472471161597e+18,1.026,0.8782,0.2936,38.044,0.241,-50.675,0.275
342.79437055959,-64.98459775707,,,gaia,6.392472471161598e+18,1.046,1.3076,0.2219,21.106,0.188,-5.165,0.221
342.80464095253,-64.99175398501,,,gaia,6.392472475456476e+18,,,,,,,
342.79508812658,-64.97930777111,,,gaia,6.392472475456476e+18,,,,,,,
342.81991503151,-64.97580980482,,,gaia,6.392472505521341e+18,1.042,-0.0656,0.2783,3.791,0.232,-0.565,0.269
342.83006444442,-64.98374651496,,,gaia,6.392472509816321e+18,1.008,-0.3346,1.3118,7.376,1.34,-7.115,1.154
342.85408575558,-64.97594265587,,,gaia,6.39247253988108e+18,0.981,0.4715,0.5704,0.78,0.421,-7.083,0.611
342.84327266897,-64.96557759414,,,gaia,6.392472539881087e+18,0.952,1.0415,0.1883,3.676,0.16,-17.366,0.179
342.81582278958,-64.97098008697,,,gaia,6.392472574240822e+18,0.962,0.0764,0.1558,1.516,0.131,-2.97,0.149
343.53386086812,-64.98003194814,,,gaia,6.392481134109825e+18,1.06,1.5116,0.3774,3.138,0.321,4.649,0.36
343.44217433701,-64.97844205122,,,gaia,6.392481267254219e+18,,,,,,,
343.44331182011,-64.98354733802,,,gaia,6.39248127155012e+18,1.023,0.6234,0.024,12.841,0.021,-7.058,0.025
343.50588364819,-64.98103948768,,,gaia,6.392481301613955e+18,,,,,,,
343.48876606106,-64.97442157027,,,gaia,6.392481301613959e+18,0.947,0.3841,0.0878,11.379,0.076,-1.679,0.084
343.51430212825,-64.96871777793,,,gaia,6.392481340269595e+18,0.947,0.4781,0.0901,8.794,0.078,-7.019,0.088
343.5193708908,-64.97740884872,,,gaia,6.392481340269595e+18,1.041,0.6206,0.1581,21.866,0.131,-19.182,0.153
343.45602247376,-64.97489342748,,,gaia,6.392481370333437e+18,0.916,0.5177,0.1303,0.425,0.113,-5.881,0.13
343.47094846717,-64.96333254577,,,gaia,6.392481408989072e+18,2.068,2.7858,0.5185,-2.378,0.401,-10.51,0.536
343.47128516384,-64.96330864842,,,gaia,6.392481408989647e+18,,,,,,,
343.91559390237,-64.88792496697,,,gaia,6.392485527861817e+18,0.932,0.2914,0.1494,8.063,0.122,-1.934,0.151
343.8735479934,-64.90341921609,,,gaia,6.392485596581289e+18,1.088,1.1904,0.4724,8.256,0.411,-9.284,0.451
343.86625418388,-64.89955243881,,,gaia,6.392485600876421e+18,,,,,,,
343.86981254685,-64.89455729708,,,gaia,6.392485600877727e+18,1.028,-0.0414,0.2209,11.529,0.176,-6.887,0.221
343.83494877557,-64.90521315554,,,gaia,6.392485630941026e+18,0.957,-0.318,0.9386,0.167,0.877,-1.16,1.103
343.85956731293,-64.89151160975,,,gaia,6.39248566530077e+18,,,,,,,
343.85283932457,-64.89424033521,,,gaia,6.392485669595264e+18,2.059,3.478,0.5212,-6.05,0.427,-1.285,0.508
343.8583785216,-64.89482929432,,,gaia,6.392485669596619e+18,0.979,0.6642,0.0313,6.119,0.026,-4.308,0.03
343.85442639246,-64.89583068052,,,gaia,6.392485669596619e+18,1.07,0.2684,0.0131,12.173,0.011,-2.451,0.013
