ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
343.35425244546,-59.14835148748,,,gaia,6.491358011478665e+18,0.959,1.4096,1.2822,16.058,1.517,-7.598,2.329
343.3734617778,-59.14550048168,,,gaia,6.491358011478668e+18,1.019,-0.2837,0.4731,15.24,0.445,-17.422,0.483
343.35144878517,-59.14434391947,,,gaia,6.491358015773166e+18,,,,,,,
343.27702923962,-59.1460358959,,,gaia,6.491358118852381e+18,,,,,,,
343.27743411686,-59.14668610401,,,gaia,6.491358118853758e+18,,,,,,,
343.29536481955,-59.15032836032,,,gaia,6.49135815321226e+18,,,,,,,
343.28258152042,-59.13422209854,,,gaia,6.491358153213013e+18,,,,,,,
343.32374918274,-59.14003051445,,,gaia,6.491358183277365e+18,1.011,0.1462,0.1779,9.165,0.155,-8.773,0.192
343.33778280502,-59.13790806371,,,gaia,6.491358217637105e+18,0.912,-0.5705,0.6885,0.464,0.671,-4.423,0.743
343.33322134487,-59.13312917934,,,gaia,6.491358217637108e+18,1.01,0.8546,0.2386,30.163,0.212,-12.947,0.255
343.32789333356,-59.12923725711,,,gaia,6.491358217637111e+18,0.998,0.1475,0.1397,9.235,0.128,-1.605,0.153
343.29934884098,-59.1238040579,,,gaia,6.491358286356591e+18,1.01,-0.1302,0.3625,6.46,0.347,-9.691,0.391
343.30597018488,-59.12362823709,,,gaia,6.491358290651074e+18,,,,,,,
342.83850173697,-59.15549584424,,,gaia,6.491366738852209e+18,,,,,,,
342.80435518167,-59.15118316955,,,gaia,6.491366773211949e+18,1.029,0.0407,0.1693,-2.289,0.144,-1.079,0.163
342.79974723346,-59.14796833479,,,gaia,6.491366979370382e+18,,,,,,,
342.79360512804,-59.14189135362,,,gaia,6.491366979370386e+18,0.94,0.8726,0.1455,-1.836,0.124,-3.209,0.141
342.76339845453,-59.12167486948,,,gaia,6.491367082449616e+18,1.04,0.0854,0.387,-2.478,0.334,-7.485,0.417
342.7696433704,-59.12236136746,,,gaia,6.491367086745484e+18,4.633,-0.9551,1.5769,-1.804,1.217,0.989,1.478
343.00065053778,-59.16492131862,,,gaia,6.491368736012401e+18,0.96,0.2992,0.1609,6.329,0.141,-2.275,0.17
343.10163378709,-59.15924410654,,,gaia,6.491368903515724e+18,1.068,1.7871,0.4135,28.261,0.363,-4.949,0.422
343.11218179168,-59.15114742159,,,gaia,6.491368942169825e+18,1.053,0.5192,0.3983,19.318,0.379,-2.396,0.399
343.10161227284,-59.14913051015,,,gaia,6.491369006594945e+18,0.991,0.2129,0.0831,2.8,0.074,-3.433,0.083
343.05835555298,-59.16817816946,,,gaia,6.491369040954672e+18,1.011,0.4074,0.1176,-2.91,0.109,-2.03,0.116
343.03316486646,-59.15894218399,,,gaia,6.491369045250045e+18,3.121,0.3107,1.1232,31.545,1.042,-34.021,1.024
343.03300180543,-59.15895617217,,,gaia,6.491369045250562e+18,,,,,,,
343.05098461554,-59.15736644727,,,gaia,6.491369075314417e+18,0.99,0.6821,0.1787,6.837,0.164,-15.686,0.172
343.00988999456,-59.15903160956,,,gaia,6.491369109674154e+18,,,,,,,
343.02000682946,-59.16575796173,,,gaia,6.491369113968654e+18,,,,,,,
343.01250155671,-59.16084006428,,,gaia,6.49136911396881e+18,,,,,,,
343.0190151096,-59.14573710133,,,gaia,6.491369144033901e+18,,,,,,,
343.01499666678,-59.14884132056,,,gaia,6.491369148328536e+18,,,,,,,
343.01301649348,-59.13402775718,,,gaia,6.491369148329292e+18,0.994,1.5373,0.0902,12.665,0.081,-8.163,0.091
343.04873437429,-59.13535179413,,,gaia,6.491369182688538e+18,,,,,,,
343.06453807297,-59.14924752358,,,gaia,6.491369182688996e+18,1.035,0.5531,0.0426,12.779,0.037,-4.061,0.041
343.20966460916,-59.15836268398,,,gaia,6.491369521991014e+18,0.97,0.715,0.2081,9.057,0.174,-5.887,0.21
343.21034675203,-59.15641426907,,,gaia,6.491369521991014e+18,0.999,0.459,0.4071,0.499,0.347,-2.142,0.397
343.21582619635,-59.1481482896,,,gaia,6.491369560645115e+18,1.039,0.1693,0.3647,6.961,0.346,-7.926,0.359
343.17962726351,-59.16355560328,,,gaia,6.491369595005202e+18,,,,,,,
343.17488248233,-59.14578472393,,,gaia,6.491369625070238e+18,0.982,0.0646,0.3875,5.623,0.385,-5.941,0.377
343.18354080713,-59.15005782171,,,gaia,6.491369629364897e+18,,,,,,,
343.15784043454,-59.15837695114,,,gaia,6.491369659429968e+18,0.96,0.1685,0.7224,-4.49,0.691,-10.984,1.095
343.14392986126,-59.1566507962,,,gaia,6.49136966372447e+18,,,,,,,
343.15308996372,-59.14914192249,,,gaia,6.491369693789711e+18,0.991,0.4785,0.1868,10.134,0.17,-1.818,0.198
343.18699894162,-59.14883050004,,,gaia,6.491369728149449e+18,1.022,0.2921,0.4346,1.086,0.422,-2.116,0.434
343.192950634,-59.14550145925,,,gaia,6.491369728149453e+18,,,,,,,
343.17728622019,-59.14325480428,,,gaia,6.491369732444869e+18,1.085,-0.2784,1.3915,4.271,1.332,-1.834,1.338
343.17992839021,-59.12137045577,,,gaia,6.491369831228684e+18,0.961,0.3336,0.2118,4.863,0.187,-7.941,0.209
343.17120090149,-59.12113834505,,,gaia,6.491369831228685e+18,0.993,0.407,0.0782,12.959,0.069,3.347,0.074
343.17010083086,-59.12546704043,,,gaia,6.491369835523164e+18,1.06,1.4119,0.5553,7.727,0.582,-18.421,0.575
342.3500444849187,-58.92670915745249,,,simbad,,,,,,,,
342.77666666666664,-58.99305555555556,,,simbad,,,,,,,,
342.6958836614,-59.08146147648001,,,simbad,,,,,,,,
343.18698953282,-59.148821097449996,,,simbad,,,,,,,,
342.43995090422624,-59.062399131781945,,,simbad,,,,,,,,
342.60754734233535,-59.032246339243336,,,simbad,,,,,,,,
342.97234977804703,-59.07643176662417,,,simbad,,,,,,,,
343.0679166666667,-59.10777777777778,,,simbad,,,,,,,,
343.3204166666667,-59.11694444444444,,,simbad,,,,,,,,
342.9179166666667,-59.06722222222223,,,simbad,,,,,,,,
342.79871321413,-59.097362168649994,,,simbad,,,,,,,,
342.2966666666666,-58.96361111111111,,,simbad,,,,,,,,
342.42072230682993,-58.92932221344,,,simbad,,,,,,,,
344.0297405891399,-58.24929597489001,,,simbad,,,,,,,,
343.39591,-58.10217000000001,,,simbad,,,,,,,,
343.2893240142825,-58.05534367694945,,,simbad,,,,,,,,
343.2694407662021,-58.0079348635639,,,simbad,,,,,,,,
343.1247240784,-58.040318623770006,,,simbad,,,,,,,,
343.28999999999996,-58.12277777777778,,,simbad,,,,,,,,
343.32875,-58.10416666666667,,,simbad,,,,,,,,
343.543762,-58.066469,,,simbad,,,,,,,,
343.22791282142794,-58.051843412466376,,,simbad,,,,,,,,
343.5358333333333,-58.05166666666666,,,simbad,,,,,,,,
343.6157916666666,-58.11152777777778,,,simbad,,,,,,,,
343.7666666666667,-58.2,,,simbad,,,,,,,,
343.5895,-58.0851,,,simbad,,,,,,,,
342.76348451283997,-58.01903878955001,,,simbad,,,,,,,,
342.95887500000003,-58.72836111111111,,,simbad,,,,,,,,
343.07208210666994,-58.36231970578,,,simbad,,,,,,,,
