ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
343.35425244546,-59.14835148748,,,gaia,6.491358011478665e+18,0.959,1.4096,1.2822,16.058,1.517,-7.598,2.329,154.01358083072938,-587.1808806817697,607.0433013538016,False,dwarf
343.3734617778,-59.14550048168,,,gaia,6.491358011478668e+18,1.019,-0.2837,0.4731,15.24,0.445,-17.422,0.483,164.15402045714745,-584.2948332659726,606.9159699773571,False,dwarf
343.35144878517,-59.14434391947,,,gaia,6.491358015773166e+18,,,,,,,,152.53355292552104,-583.1240557889901,602.7438504106732,False,dwarf
343.27702923962,-59.1460358959,,,gaia,6.491358118852381e+18,,,,,,,,113.24812148419677,-584.836828244018,595.7006401626763,False,dwarf
343.27743411686,-59.14668610401,,,gaia,6.491358118853758e+18,,,,,,,,113.4618526610898,-585.495028039896,596.3874746075118,False,dwarf
343.29536481955,-59.15032836032,,,gaia,6.49135815321226e+18,,,,,,,,122.92731480571086,-589.1820511989341,601.8692666853208,False,dwarf
343.28258152042,-59.13422209854,,,gaia,6.491358153213013e+18,,,,,,,,116.17912227304947,-572.8778279004833,584.5396429260483,False,dwarf
343.32374918274,-59.14003051445,,,gaia,6.491358183277365e+18,1.011,0.1462,0.1779,9.165,0.155,-8.773,0.192,137.91117349316477,-578.7576348538623,594.9620926377565,False,dwarf
343.33778280502,-59.13790806371,,,gaia,6.491358217637105e+18,0.912,-0.5705,0.6885,0.464,0.671,-4.423,0.743,145.31940075227052,-576.6090971436504,594.639200813245,False,dwarf
343.33322134487,-59.13312917934,,,gaia,6.491358217637108e+18,1.01,0.8546,0.2386,30.163,0.212,-12.947,0.255,142.91144557504327,-571.7714756675952,589.3609264817679,False,dwarf
343.32789333356,-59.12923725711,,,gaia,6.491358217637111e+18,0.998,0.1475,0.1397,9.235,0.128,-1.605,0.153,140.09883470121238,-567.831717953168,584.8594219111835,False,dwarf
343.29934884098,-59.1238040579,,,gaia,6.491358286356591e+18,1.01,-0.1302,0.3625,6.46,0.347,-9.691,0.391,125.0304451001786,-562.3317394755643,576.0638831098186,False,dwarf
343.30597018488,-59.12362823709,,,gaia,6.491358290651074e+18,,,,,,,,128.52579501009694,-562.1537576579381,576.6591083403757,False,dwarf
342.83850173697,-59.15549584424,,,gaia,6.491366738852209e+18,,,,,,,,-118.24673666305742,-594.4130484889167,606.0603624601675,False,dwarf
342.80435518167,-59.15118316955,,,gaia,6.491366773211949e+18,1.029,0.0407,0.1693,-2.289,0.144,-1.079,0.163,-136.27240649588518,-590.0473668602592,605.5791144936433,False,dwarf
342.79974723346,-59.14796833479,,,gaia,6.491366979370382e+18,,,,,,,,-138.70490231607073,-586.7930186750154,602.9635948316015,False,dwarf
342.79360512804,-59.14189135362,,,gaia,6.491366979370386e+18,0.94,0.8726,0.1455,-1.836,0.124,-3.209,0.141,-141.94726639661633,-580.6413455351143,597.7402434020148,False,dwarf
342.76339845453,-59.12167486948,,,gaia,6.491367082449616e+18,1.04,0.0854,0.387,-2.478,0.334,-7.485,0.417,-157.8931068673946,-560.1763812727536,582.0032743310607,False,dwarf
342.7696433704,-59.12236136746,,,gaia,6.491367086745484e+18,4.633,-0.9551,1.5769,-1.804,1.217,0.989,1.478,-154.59647004361412,-560.8713169761885,581.7875065318524,False,dwarf
343.00065053778,-59.16492131862,,,gaia,6.491368736012401e+18,0.96,0.2992,0.1609,6.329,0.141,-2.275,0.17,-32.649793676745084,-603.9543710555333,604.8362516782694,False,dwarf
343.10163378709,-59.15924410654,,,gaia,6.491368903515724e+18,1.068,1.7871,0.4135,28.261,0.363,-4.949,0.422,20.65838615920038,-598.2073805539918,598.5639807639373,False,dwarf
343.11218179168,-59.15114742159,,,gaia,6.491368942169825e+18,1.053,0.5192,0.3983,19.318,0.379,-2.396,0.399,26.22658612734725,-590.0111795232799,590.5937908430355,False,dwarf
343.10161227284,-59.14913051015,,,gaia,6.491369006594945e+18,0.991,0.2129,0.0831,2.8,0.074,-3.433,0.083,20.647028973542263,-587.969478293032,588.331885256625,False,dwarf
343.05835555298,-59.16817816946,,,gaia,6.491369040954672e+18,1.011,0.4074,0.1176,-2.91,0.109,-2.03,0.116,-2.1878175694641304,-607.2512517389761,607.2551928837419,False,dwarf
343.03316486646,-59.15894218399,,,gaia,6.491369045250045e+18,3.121,0.3107,1.1232,31.545,1.042,-34.021,1.024,-15.485762093668122,-597.9017470841419,598.1022554663131,False,dwarf
343.03300180543,-59.15895617217,,,gaia,6.491369045250562e+18,,,,,,,,-15.571840594526835,-597.9159071923963,598.1186456658976,False,dwarf
343.05098461554,-59.15736644727,,,gaia,6.491369075314417e+18,0.99,0.6821,0.1787,6.837,0.164,-15.686,0.172,-6.0788713956626905,-596.3066430374533,596.3376268591827,False,dwarf
343.00988999456,-59.15903160956,,,gaia,6.491369109674154e+18,,,,,,,,-27.77236472707436,-597.992271780802,598.6368359465513,False,dwarf
343.02000682946,-59.16575796173,,,gaia,6.491369113968654e+18,,,,,,,,-22.431775491722437,-604.8012973176826,605.217145980567,False,dwarf
343.01250155671,-59.16084006428,,,gaia,6.49136911396881e+18,,,,,,,,-26.393743760774402,-599.8229541565574,600.4033694465821,False,dwarf
343.0190151096,-59.14573710133,,,gaia,6.491369144033901e+18,,,,,,,,-22.955295788430032,-584.5343612000753,584.9849271804483,False,dwarf
343.01499666678,-59.14884132056,,,gaia,6.491369148328536e+18,,,,,,,,-25.076596835603358,-587.6767342835816,588.2115093459756,False,dwarf
343.01301649348,-59.13402775718,,,gaia,6.491369148329292e+18,0.994,1.5373,0.0902,12.665,0.081,-8.163,0.091,-26.12191311434303,-572.6810978974108,573.2765425462105,False,dwarf
343.04873437429,-59.13535179413,,,gaia,6.491369182688538e+18,,,,,,,,-7.266754198492395,-574.021408540752,574.0674029934901,False,dwarf
343.06453807297,-59.14924752358,,,gaia,6.491369182688996e+18,1.035,0.5531,0.0426,12.779,0.037,-4.061,0.041,1.0758810114047568,-588.0879299311514,588.0889140688315,False,dwarf
343.20966460916,-59.15836268398,,,gaia,6.491369521991014e+18,0.97,0.715,0.2081,9.057,0.174,-5.887,0.21,77.68691841654143,-597.3151244591302,602.3459265245217,False,dwarf
343.21034675203,-59.15641426907,,,gaia,6.491369521991014e+18,0.999,0.459,0.4071,0.499,0.347,-2.142,0.397,78.04701571026682,-595.3427616474074,600.4367914337365,False,dwarf
343.21582619635,-59.1481482896,,,gaia,6.491369560645115e+18,1.039,0.1693,0.3647,6.961,0.346,-7.926,0.359,80.9395667542219,-586.975185303499,592.5293930501997,False,dwarf
343.17962726351,-59.16355560328,,,gaia,6.491369595005202e+18,,,,,,,,61.83046465174446,-602.5718697545028,605.7358042731898,False,dwarf
343.17488248233,-59.14578472393,,,gaia,6.491369625070238e+18,0.982,0.0646,0.3875,5.623,0.385,-5.941,0.377,59.325735895735,-584.5825691278388,587.5851623957799,False,dwarf
343.18354080713,-59.15005782171,,,gaia,6.491369629364897e+18,,,,,,,,63.89639032276024,-588.9081874080335,592.3644164637965,False,dwarf
343.15784043454,-59.15837695114,,,gaia,6.491369659429968e+18,0.96,0.1685,0.7224,-4.49,0.691,-10.984,1.095,50.32938695101166,-597.3295669763186,599.4461266660924,False,dwarf
343.14392986126,-59.1566507962,,,gaia,6.49136966372447e+18,,,,,,,,42.98611618981362,-595.5821959243681,597.131441382194,False,dwarf
343.15308996372,-59.14914192249,,,gaia,6.491369693789711e+18,0.991,0.4785,0.1868,10.134,0.17,-1.818,0.198,47.821654683446695,-587.9810309017186,589.9225401329487,False,dwarf
343.18699894162,-59.14883050004,,,gaia,6.491369728149449e+18,1.022,0.2921,0.4346,1.086,0.422,-2.116,0.434,65.72190947123624,-587.6657807689294,591.3293830609982,False,dwarf
343.192950634,-59.14550145925,,,gaia,6.491369728149453e+18,,,,,,,,68.86375616252434,-584.2958228512467,588.3398894467612,False,dwarf
343.17728622019,-59.14325480428,,,gaia,6.491369732444869e+18,1.085,-0.2784,1.3915,4.271,1.332,-1.834,1.338,60.59464822520171,-582.021554321034,585.1673274267868,False,dwarf
343.17992839021,-59.12137045577,,,gaia,6.491369831228684e+18,0.961,0.3336,0.2118,4.863,0.187,-7.941,0.209,61.98942682012358,-559.8682260241387,563.2895521389541,False,dwarf
343.17120090149,-59.12113834505,,,gaia,6.491369831228685e+18,0.993,0.407,0.0782,12.959,0.069,3.347,0.074,57.38226136067402,-559.6332624391396,562.5674291559542,False,dwarf
343.17010083086,-59.12546704043,,,gaia,6.491369835523164e+18,1.06,1.4119,0.5553,7.727,0.582,-18.421,0.575,56.80154363397061,-564.0151616675597,566.8681662874405,False,dwarf
342.1649062084,-58.39870799223001,,,simbad,,,,,,,,,-473.8319631143709,171.67645739794767,503.9737446470083,False,dwarf
342.08888007006,-58.34149035306,,,simbad,,,,,,,,,-513.9655009293468,229.5973566345566,562.9169408706139,False,dwarf
342.0672940526596,-58.43946925518583,,,simbad,,,,,,,,,-525.360571947404,130.41419913863007,541.3054534122797,False,dwarf
