ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
158.95578650865,51.34026560452,,,gaia,8.474309648594266e+17,,,,,,,
159.15399769657,51.38425427569,,,gaia,8.474319956511955e+17,0.995,0.4424,0.0545,-5.286,0.045,-6.942,0.05
159.13221671585,51.38211254754,,,gaia,8.474320257148283e+17,0.977,0.3976,0.6094,-1.473,0.564,-2.06,0.575
159.00830441597,51.35320516101,,,gaia,8.474324036738523e+17,1.079,1.273,1.3181,-9.612,1.244,-9.97,1.577
158.98540906718,51.35700315886,,,gaia,8.474324423277964e+17,0.995,0.78,0.0466,-9.902,0.041,-17.462,0.043
158.98944266535,51.36179466467,,,gaia,8.474324723914253e+17,0.987,0.2618,0.2613,0.322,0.24,-5.027,0.235
159.02997770509,51.3706802786,,,gaia,8.474325110463462e+17,,,,,,,
159.02591644374,51.37116355375,,,gaia,8.474325110473702e+17,,,,,,,
159.03630818086,51.3925237854,,,gaia,8.47432609830381e+17,,,,,,,
159.07985745759,51.36239369335,,,gaia,8.474326484862249e+17,0.978,0.8118,0.0655,-8.157,0.054,-5.417,0.062
159.10361705131,51.37401111018,,,gaia,8.474326785498569e+17,1.02,0.8933,0.182,-7.006,0.156,-2.301,0.165
159.12984321549,51.39724671634,,,gaia,8.47432781629073e+17,,,,,,,
159.06685173008,51.3826817853,,,gaia,8.474329233635196e+17,,,,,,,
159.07622654813,51.40188011678,,,gaia,8.474329534277654e+17,0.943,1.2728,0.4129,-8.815,0.383,-8.444,0.378
159.06841148552,51.40214894822,,,gaia,8.474329920836091e+17,0.989,0.7527,0.0354,-12.12,0.031,-10.924,0.032
159.08144760124,51.40657801447,,,gaia,8.474330264433473e+17,1.042,1.2407,0.2985,17.871,0.259,-9.456,0.279
159.0821172065,51.40578294965,,,gaia,8.474330264437277e+17,1.127,0.0998,0.436,11.886,0.41,-11.761,0.403
159.1240296486,51.42327249281,,,gaia,8.47433090866743e+17,1.034,2.983,0.3091,-2.819,0.271,-0.308,0.281
158.70417820766,51.32565901322,,,gaia,8.474374201935323e+17,1.035,1.9318,0.1218,2.828,0.108,22.89,0.112
158.71649381257,51.32121532807,,,gaia,8.474375232745098e+17,1.057,2.3801,0.9414,-12.264,0.976,-6.597,0.957
158.73644311695,51.33585168241,,,gaia,8.474375576342774e+17,,,,,,,
158.73566708268,51.33757112206,-30.38,2.930000066757202,gaia,8.474375619288361e+17,0.993,1.2591,0.0206,-11.193,0.017,-8.911,0.02
158.736395023,51.33590692603,,,gaia,8.474375619289139e+17,,,,,,,
158.62643638899,51.32415581974,-16.34,1.5800000429153442,gaia,8.474402076286916e+17,1.037,1.8274,0.0139,-3.044,0.012,-1.676,0.014
158.66899020713,51.32591546568,,,gaia,8.474404094924538e+17,0.953,0.6865,1.3079,0.448,1.102,-3.997,1.469
