ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
133.89006488358,62.757031196,,,gaia,1.0430999166987954e+18,1.102,0.3328,0.628,-7.713,0.51,-10.856,0.53
134.01880484451,62.84176843948,,,gaia,1.0431020770668348e+18,1.083,1.6702,1.1539,7.447,0.95,-4.184,0.973
132.77891193387,62.53502516469,,,gaia,1.0437388317381335e+18,1.009,0.5919,0.4545,0.718,0.366,-2.03,0.395
132.79718599927,62.54111664358,,,gaia,1.0437388660979217e+18,1.0,0.7514,0.2046,0.077,0.171,-14.198,0.175
132.79922510757,62.54470983852,-49.53,0.2,gaia,1.0437388703938355e+18,1.413,4.7853,0.0197,-6.758,0.016,17.778,0.018
132.65104173326,62.54369378038,,,gaia,1.0437394158536877e+18,1.001,2.9255,0.5868,-1.829,0.461,2.542,0.484
132.70697730644,62.53919760085,5.37,1.3,gaia,1.0437395232288187e+18,0.926,1.061,0.0116,0.136,0.01,-1.766,0.01
132.74090678883,62.54596122739,-220.17,1.28,gaia,1.0437395575886048e+18,1.006,0.0338,0.0141,3.722,0.011,-1.48,0.013
132.75342577407,62.56391573415,,,gaia,1.0437396563729859e+18,,,,,,,
132.77839119285,62.57043363405,-42.26,2.0,gaia,1.0437396950275062e+18,1.041,1.0161,0.0138,2.972,0.011,1.639,0.012
132.68337507552,62.54121328402,,,gaia,1.0437397250912141e+18,1.036,-0.3051,0.3769,-0.811,0.294,-2.753,0.291
132.47856441233,62.56948374293,,,gaia,1.043741894050052e+18,,,,,,,
132.44628840699,62.58851813443,,,gaia,1.0437420959131708e+18,1.034,0.0806,0.1803,0.305,0.149,-0.532,0.173
132.40655884205,62.58360330173,,,gaia,1.0437421302737162e+18,,,,,,,
132.62104387862,62.54428550728,,,gaia,1.0437423364313306e+18,1.028,0.457,0.1674,3.061,0.141,-3.585,0.157
132.61639606082,62.5496719462,,,gaia,1.0437423364313315e+18,0.995,0.6225,0.1691,-4.845,0.142,-7.954,0.154
132.64331261144,62.55733080014,,,gaia,1.0437423750871054e+18,1.039,0.2905,0.0835,-3.755,0.068,-15.101,0.075
132.59873064733,62.55545604643,,,gaia,1.0437424094468454e+18,0.939,1.075,0.2246,-5.024,0.199,-7.42,0.195
132.58632846214,62.55946587687,,,gaia,1.043742409446846e+18,1.026,1.432,0.1705,-6.193,0.142,-29.676,0.152
132.62555247462,62.57272509765,,,gaia,1.0437424395105522e+18,1.025,0.5886,0.2884,1.362,0.256,-0.301,0.254
132.51325712397,62.55821550141,,,gaia,1.0437425468858904e+18,,,,,,,
132.55382219524,62.56970444982,,,gaia,1.0437425769495052e+18,1.202,0.5885,0.2995,2.586,0.239,-1.699,0.251
132.60640229847,62.5748031756,,,gaia,1.0437426456689829e+18,1.022,0.7988,0.2038,-2.288,0.176,-7.636,0.18
132.5559184088,62.57177183364,,,gaia,1.0437426800288402e+18,1.102,0.3003,0.8202,2.71,0.697,-3.318,0.71
132.5693910715,62.59043848322,,,gaia,1.0437427186833144e+18,0.973,0.9295,0.2901,-0.445,0.285,-5.923,0.303
