ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
133.89006488358,62.757031196,,,gaia,1.0430999166987954e+18,1.102,0.3328,0.628,-7.713,0.51,-10.856,0.53,256.9598807477887,-209.98059246673506,331.84368236656076,False,dwarf
134.01880484451,62.84176843948,,,gaia,1.0431020770668348e+18,1.083,1.6702,1.1539,7.447,0.95,-4.184,0.973,289.45388534572373,-162.65438773744734,332.0240979085392,False,dwarf
132.77891193387,62.53502516469,,,gaia,1.0437388317381335e+18,1.009,0.5919,0.4545,0.718,0.366,-2.03,0.395,-23.495455699930975,-333.97215104737654,334.79760171446736,False,dwarf
132.79718599927,62.54111664358,,,gaia,1.0437388660979217e+18,1.0,0.7514,0.2046,0.077,0.171,-14.198,0.175,-18.88307613386169,-330.5700274330974,331.108915013468,False,dwarf
132.79922510757,62.54470983852,-49.53,0.2,gaia,1.0437388703938355e+18,1.413,4.7853,0.0197,-6.758,0.016,17.778,0.018,-18.36840458978231,-328.5632087972914,329.07625326411267,True,dwarf
132.65104173326,62.54369378038,,,gaia,1.0437394158536877e+18,1.001,2.9255,0.5868,-1.829,0.461,2.542,0.484,-55.76993253327757,-329.13068271519563,333.82224563281744,False,dwarf
132.70697730644,62.53919760085,5.37,1.3,gaia,1.0437395232288187e+18,0.926,1.061,0.0116,0.136,0.01,-1.766,0.01,-41.65177715269938,-331.6418230850928,334.24716806456587,True,dwarf
132.74090678883,62.54596122739,-220.17,1.28,gaia,1.0437395575886048e+18,1.006,0.0338,0.0141,3.722,0.011,-1.48,0.013,-33.08796566152428,-327.86430140514966,329.52968547234866,True,dwarf
132.75342577407,62.56391573415,,,gaia,1.0437396563729859e+18,,,,,,,,-29.928170047076115,-317.8366131320729,319.2425535695918,False,dwarf
132.77839119285,62.57043363405,-42.26,2.0,gaia,1.0437396950275062e+18,1.041,1.0161,0.0138,2.972,0.011,1.639,0.012,-23.62689088894949,-314.1963310978255,315.0834245853195,True,dwarf
132.68337507552,62.54121328402,,,gaia,1.0437397250912141e+18,1.036,-0.3051,0.3769,-0.811,0.294,-2.753,0.291,-47.60898728773782,-330.516053229303,333.9273530467959,False,dwarf
132.47856441233,62.56948374293,,,gaia,1.043741894050052e+18,,,,,,,,-99.30325986111883,-314.7268503803673,330.0214050169943,False,dwarf
132.44628840699,62.58851813443,,,gaia,1.0437420959131708e+18,1.034,0.0806,0.1803,0.305,0.149,-0.532,0.173,-107.44973325092947,-304.09604069112817,322.5210801478195,False,dwarf
132.40655884205,62.58360330173,,,gaia,1.0437421302737162e+18,,,,,,,,-117.4774873104173,-306.84100110072166,328.5610445278964,False,dwarf
132.62104387862,62.54428550728,,,gaia,1.0437423364313306e+18,1.028,0.457,0.1674,3.061,0.141,-3.585,0.157,-63.34140000584389,-328.8002000695158,334.8457921498402,False,dwarf
132.61639606082,62.5496719462,,,gaia,1.0437423364313315e+18,0.995,0.6225,0.1691,-4.845,0.142,-7.954,0.154,-64.51451060703208,-325.79184505794245,332.1181241442918,False,dwarf
132.64331261144,62.55733080014,,,gaia,1.0437423750871054e+18,1.039,0.2905,0.0835,-3.755,0.068,-15.101,0.075,-57.72076518961027,-321.51433407610597,326.6544868059767,False,dwarf
132.59873064733,62.55545604643,,,gaia,1.0437424094468454e+18,0.939,1.075,0.2246,-5.024,0.199,-7.42,0.195,-68.97326624918874,-322.56139407301987,329.8532467680309,False,dwarf
132.58632846214,62.55946587687,,,gaia,1.043742409446846e+18,1.026,1.432,0.1705,-6.193,0.142,-29.676,0.152,-72.10358149612276,-320.3218822770282,328.3367702985249,False,dwarf
132.62555247462,62.57272509765,,,gaia,1.0437424395105522e+18,1.025,0.5886,0.2884,1.362,0.256,-0.301,0.254,-62.203429028557466,-312.9165363935158,319.0392222461453,False,dwarf
132.51325712397,62.55821550141,,,gaia,1.0437425468858904e+18,,,,,,,,-90.54680907924153,-321.0202236742532,333.54566200491973,False,dwarf
132.55382219524,62.56970444982,,,gaia,1.0437425769495052e+18,1.202,0.5885,0.2995,2.586,0.239,-1.699,0.251,-80.30817297245996,-314.6035843991726,324.6918815784926,False,dwarf
132.60640229847,62.5748031756,,,gaia,1.0437426456689829e+18,1.022,0.7988,0.2038,-2.288,0.176,-7.636,0.18,-67.03693920966406,-311.7559187186174,318.8819594688439,False,dwarf
132.5559184088,62.57177183364,,,gaia,1.0437426800288402e+18,1.102,0.3003,0.8202,2.71,0.697,-3.318,0.71,-79.77908804369832,-313.4489394532025,323.4423295325174,False,dwarf
132.5693910715,62.59043848322,,,gaia,1.0437427186833144e+18,0.973,0.9295,0.2901,-0.445,0.285,-5.923,0.303,-76.37858395345344,-303.02351559762286,312.50110254505904,False,dwarf
132.56980469057,62.59027982008,,,gaia,1.0437427186844922e+18,0.972,0.7468,0.1039,-1.413,0.085,-6.446,0.09,-76.27418637662602,-303.11212981184354,312.56153753539184,False,dwarf
132.662679595,62.56543529807,,,gaia,1.0437427487483151e+18,0.966,-0.3529,0.4601,-0.405,0.404,-0.907,0.411,-52.83253275346378,-316.9879285369248,321.3605815206283,False,dwarf
132.64597814748,62.57843098595,,,gaia,1.0437428217637038e+18,0.97,0.9716,0.0268,11.3,0.022,-6.376,0.025,-57.047983096823124,-309.72976719075973,314.93967844566305,False,dwarf
132.65195624032,62.58597131852,,,gaia,1.043742856123442e+18,0.995,0.506,0.0607,-7.717,0.051,-9.32,0.057,-55.53911067813594,-305.5184510294211,310.5255492456861,False,dwarf
132.64705643961,62.59756903782,,,gaia,1.0437428561236236e+18,,,,,,,,-56.77582184108908,-299.0410626291933,304.38306635574884,False,dwarf
132.7089878992,62.59643767424,,,gaia,1.0437429205468928e+18,0.973,2.1105,0.149,-12.288,0.127,-17.613,0.135,-41.14430293943719,-299.6729352534544,302.48425047891874,False,dwarf
132.66556881965,62.60358055318,,,gaia,1.0437429549067524e+18,1.048,0.2593,0.4115,1.719,0.374,-1.102,0.344,-52.10329158868821,-295.68359907507613,300.2391442773014,False,dwarf
