ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
227.44846312553,66.62888173152,,,gaia,1.6452857321032796e+18,0.971,0.2534,0.2483,-3.229,0.306,-1.422,0.265
227.35407329727,66.62438810128,,,gaia,1.6452858394781217e+18,2.145,-1.312,0.6107,0.641,0.754,0.533,0.733
227.32336139598,66.62271395779,,,gaia,1.6452859081967565e+18,1.117,1.8901,0.5441,-28.42,0.949,15.562,0.625
227.34725634613,66.64159977929,,,gaia,1.645285942557823e+18,,,,,,,
227.40445989548,66.63719147234,,,gaia,1.6452859726214508e+18,0.998,-0.154,0.1048,-0.095,0.133,-0.084,0.121
227.38203224214,66.63843448502,,,gaia,1.6452859769172485e+18,0.948,0.1895,1.1676,-2.578,1.479,-2.572,1.249
227.40274854488,66.6720520259,,,gaia,1.6452860799962916e+18,0.982,0.5619,0.0583,-7.55,0.078,-13.714,0.066
227.27161965279,66.6288407055,,,gaia,1.645286281859091e+18,1.039,0.9401,0.1864,-11.22,0.246,1.03,0.209
227.28212107983,66.6244923372,0.51,1.6799999475479126,gaia,1.6452862861547195e+18,1.044,2.7118,0.013,-11.031,0.017,8.149,0.016
227.22561042781,66.63207857092,,,gaia,1.6452863162188298e+18,,,,,,,
227.21108672393,66.64305040267,,,gaia,1.6452865266728883e+18,0.917,1.3613,0.0167,0.721,0.023,-6.005,0.019
227.21394103913,66.65513972965,,,gaia,1.6452866254564838e+18,1.05,0.2048,0.2022,-1.45,0.258,-3.993,0.222
227.21802027422,66.66868253905,,,gaia,1.6452866254566513e+18,0.944,-0.754,0.6831,-2.559,0.911,-12.09,0.851
227.30099304415,66.65107750869,,,gaia,1.6452866598201974e+18,1.028,-0.3554,0.6072,-7.339,0.909,0.307,0.679
227.32750319601,66.6597865644,3.78,0.1899999976158142,gaia,1.645286694175831e+18,0.993,25.414,0.0115,-61.372,0.015,-74.613,0.013
227.27623529119,66.6529817531,,,gaia,1.6452867285359273e+18,1.007,1.6825,0.5282,-13.539,0.624,4.265,0.628
227.34109819409,66.65836809062,,,gaia,1.6452867972568924e+18,1.113,0.2404,0.3626,-12.014,0.532,-1.041,0.397
227.35090036866,66.65852049228,,,gaia,1.6452868015496742e+18,1.418,0.1469,1.7045,-0.855,1.731,-13.347,1.637
227.347931514,66.65617312278,,,gaia,1.6452868015507965e+18,1.085,2.8694,0.1091,5.228,0.133,-39.575,0.12
227.35058499461,66.65946154752,-68.27,0.7200000286102295,gaia,1.6452868015507968e+18,0.768,2.7674,0.0119,5.199,0.016,-39.364,0.014
227.35482908169,66.67207670036,,,gaia,1.6452868015507973e+18,1.057,2.0643,0.104,-4.607,0.139,25.979,0.119
227.38517464933,66.67448140076,,,gaia,1.6452868316149248e+18,0.907,0.6535,0.2603,1.847,0.339,-9.296,0.302
227.37298085736,66.67607353402,,,gaia,1.645286831615085e+18,1.258,1.0943,0.2746,-4.484,0.386,0.836,0.319
227.34215365549,66.67562758008,,,gaia,1.645286865974663e+18,,,,,,,
227.32494237902,66.66926077115,,,gaia,1.6452868702702735e+18,0.993,0.8549,0.0346,-5.364,0.044,-12.945,0.039
227.36068224323,66.68148179379,,,gaia,1.6452869003344028e+18,,,,,,,
227.34655462352,66.68865038174,,,gaia,1.6452869046304978e+18,1.025,1.8964,0.5426,4.125,0.824,-5.963,0.638
227.27636427286,66.66785562343,6.69,2.630000114440918,gaia,1.6452869346939996e+18,,,,,,,
227.25651302563,66.67313819786,,,gaia,1.6452869346941368e+18,1.006,0.7639,0.2247,-8.081,0.323,1.167,0.26
227.27499234964,66.66729093574,3.93,0.550000011920929,gaia,1.6452869346958162e+18,8.206,25.4644,0.0874,-68.296,0.111,-71.536,0.1
227.29850225945,66.67865079081,,,gaia,1.6452869733499448e+18,1.205,1.3069,0.466,5.725,0.69,-6.375,0.542
227.23778267958,66.67245206325,,,gaia,1.6452870034139197e+18,,,,,,,
227.30923796442,66.71762976591,,,gaia,1.64528717950792e+18,1.057,0.869,0.0672,-3.442,0.089,3.858,0.079
227.29916508896,66.71619876714,,,gaia,1.6452871795083753e+18,0.994,0.8335,0.243,4.326,0.339,-9.737,0.311
