ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
227.28212107983,66.6244923372,88.437002,1.6799999475479126,gaia,1.6452862861547195e+18,1.044,2.7118,0.013,-11.031,0.017,8.149,0.016,-1.683884349009602,-792.6968226766178,792.6986111682712,dwarf
227.32750319601,66.6597865644,91.707002,0.1899999976158142,gaia,1.645286694175831e+18,0.993,25.414,0.0115,-61.372,0.015,-74.613,0.013,21.62203076890364,-745.8807868360102,746.1941170939886,dwarf
227.35058499461,66.65946154752,19.657002000000006,0.7200000286102295,gaia,1.6452868015507968e+18,0.768,2.7674,0.0119,5.199,0.016,-39.364,0.014,33.47565250849218,-746.3119055517229,747.0622997308277,dwarf
227.27636427286,66.66785562343,94.617002,2.630000114440918,gaia,1.6452869346939996e+18,,,,,,,,-4.640283606841532,-735.1775816175383,735.1922257103676,dwarf
227.27499234964,66.66729093574,91.85700200000001,0.550000011920929,gaia,1.6452869346958162e+18,8.206,25.4644,0.0874,-68.296,0.111,-71.536,0.1,-5.344832640795207,-735.9266117346834,735.9460205037117,dwarf
226.152563,67.314957,795.322998,0.199356,apogee,,,,,,,,,-581.7666778630851,123.17018914786092,594.6623941082624,dwarf
226.162442,67.036743,-124.08499099999999,0.249969,apogee,,,,,,,,,-576.6933327917184,-245.86683556305468,626.9176189231005,dwarf
226.233273,67.37542,73.816802,0.055607,apogee,,,,,,,,,-540.3181830043097,203.37134949598746,577.3245574898905,dwarf
226.243394,67.546646,143.068501,0.642559,apogee,,,,,,,,,-535.1205592096564,430.4941168374796,686.789048777379,dwarf
226.25592,67.329346,96.074142,0.005955,apogee,,,,,,,,,-528.6878514088824,142.25648152914073,547.4922380859762,dwarf
226.296032,67.043953,84.80757200000001,0.091843,apogee,,,,,,,,,-508.08839625121345,-236.30312939382935,560.3507717193285,dwarf
226.396025,67.483345,59.644302,0.022848,apogee,,,,,,,,,-456.73714676027004,346.52849073231096,573.3156339399143,dwarf
226.434106,67.463814,12.278998999999999,0.023351,apogee,,,,,,,,,-437.1807084909523,320.62159126057566,542.1486665658366,dwarf
226.486328,66.93293,55.0345,0.042462,apogee,,,,,,,,,-410.36218168493076,-383.56961344738585,561.7141341620247,dwarf
226.489429,67.277122,-160.24600199999998,0.083726,apogee,,,,,,,,,-408.7696679622447,72.98394463846591,415.2340275326125,dwarf
226.586845,67.067757,122.466301,0.669427,apogee,,,,,,,,,-358.74183280969237,-204.72830808282706,413.0488866201121,dwarf
226.603729,67.266029,-1032.383057,0.247166,apogee,,,,,,,,,-350.07108089302534,58.26963222025139,354.8874634538313,dwarf
226.626584,66.944763,0.0,0.09936,apogee,,,,,,,,,-338.3339312213872,-367.87372785786675,499.80088901857926,dwarf
226.661312,66.977669,133.50490200000002,2.56134,apogee,,,,,,,,,-320.49942088244325,-324.22555653959415,455.8970172082628,dwarf
226.680735,67.153503,-163.72299199999998,0.070224,apogee,,,,,,,,,-310.5247694682293,-90.99050653127527,323.58137265935903,dwarf
226.753877,67.030518,23.772498999999996,0.096009,apogee,,,,,,,,,-272.9628092283519,-254.12398825423477,372.9446294399104,dwarf
226.84413,67.200279,668.541016,0.446745,apogee,,,,,,,,,-226.61352157516157,-28.94447050190152,228.45452618263369,dwarf
226.857786,67.747787,41.914703,0.11934,apogee,,,,,,,,,-219.6005040334502,697.2976428547879,731.0597678046499,dwarf
226.911223,67.232368,-157.75599699999998,0.01137,apogee,,,,,,,,,-192.15801586880815,13.619990977190355,192.64009763508705,dwarf
226.977686,67.179039,-739.059021,0.072086,apogee,,,,,,,,,-158.02604568173265,-57.11827341929965,168.031926347962,dwarf
226.979785,67.121735,-154.10400399999997,0.092653,apogee,,,,,,,,,-156.94810749925588,-133.12917748607146,205.80594341688945,dwarf
227.008473,67.344215,76.780902,0.07412,apogee,,,,,,,,,-142.21542975784098,161.9794700215511,215.5517969530061,dwarf
227.020715,67.233551,-167.75,0.076859,apogee,,,,,,,,,-135.92856971496587,15.189181601101609,136.77458573312362,dwarf
227.022211,67.142693,-182.16400099999998,5.58291,apogee,,,,,,,,,-135.16030124379537,-105.32943353397161,171.35517675547726,dwarf
227.041852,67.290237,-175.99600199999998,0.069947,apogee,,,,,,,,,-125.07369626891744,90.38033942479551,154.31148775418717,dwarf
227.064366,67.197647,-483.50402799999995,0.134855,apogee,,,,,,,,,-113.51166661645769,-32.43568751125103,118.05495450159371,dwarf
227.069062,67.048157,326.128006,0.166764,apogee,,,,,,,,,-111.10004312672243,-230.72673262052757,256.0821054437502,dwarf
227.113188,67.168762,-144.83099399999998,0.023983,apogee,,,,,,,,,-88.43920451764897,-70.75020244858709,113.25671742652001,dwarf
227.148593,67.061371,-145.850998,0.052417,apogee,,,,,,,,,-70.25702188260104,-213.1990192612987,224.47688285832885,dwarf
