ra,dec,vlos,vlos_err,src
226.152563,67.314957,707.395996,0.199356,apogee
226.162442,67.036743,-212.011993,0.249969,apogee
226.233273,67.37542,-14.1102,0.055607,apogee
226.243394,67.546646,55.141499,0.642559,apogee
226.25592,67.329346,8.14714,0.005955,apogee
226.296032,67.043953,-3.11943,0.091843,apogee
226.396025,67.483345,-28.2827,0.022848,apogee
226.434106,67.463814,-75.648003,0.023351,apogee
226.486328,66.93293,-32.892502,0.042462,apogee
226.489429,67.277122,-248.173004,0.083726,apogee
226.586845,67.067757,34.539299,0.669427,apogee
226.603729,67.266029,-1120.310059,0.247166,apogee
226.626584,66.944763,-87.927002,0.09936,apogee
226.661312,66.977669,45.5779,2.56134,apogee
226.680735,67.153503,-251.649994,0.070224,apogee
226.753877,67.030518,-64.154503,0.096009,apogee
226.84413,67.200279,580.614014,0.446745,apogee
226.857786,67.747787,-46.012299,0.11934,apogee
226.911223,67.232368,-245.682999,0.01137,apogee
226.977686,67.179039,-826.986023,0.072086,apogee
226.979785,67.121735,-242.031006,0.092653,apogee
227.008473,67.344215,-11.1461,0.07412,apogee
227.020715,67.233551,-255.677002,0.076859,apogee
227.022211,67.142693,-270.091003,5.58291,apogee
227.041852,67.290237,-263.923004,0.069947,apogee
227.064366,67.197647,-571.43103,0.134855,apogee
227.069062,67.048157,238.201004,0.166764,apogee
227.113188,67.168762,-232.757996,0.023983,apogee
227.148593,67.061371,-233.778,0.052417,apogee
227.172592,67.145714,-314.722992,0.194006,apogee
227.179173,66.729362,-377.117004,0.088243,apogee
227.209557,67.169487,31.561001,0.568478,apogee
227.217491,67.212975,-242.412003,0.104631,apogee
227.220149,67.359833,-33.6591,0.023049,apogee
227.231148,67.254517,-252.011002,0.035822,apogee
227.244905,67.519196,-53.8578,0.112572,apogee
227.284304,67.352997,-244.255005,0.164705,apogee
227.290814,67.214348,-1.31592,0.002612,apogee
227.303622,67.553078,170.005005,0.265413,apogee
227.307452,67.259277,-240.798996,0.053927,apogee
227.312041,67.295822,-245.733994,0.139493,apogee
227.368306,67.3367,-244.134003,0.162932,apogee
227.369312,67.284821,-239.001007,0.12491,apogee
227.372894,67.15799,-255.653,0.256963,apogee
227.374166,67.21624,-499.364014,0.345363,apogee
227.401067,67.072113,-76.820099,0.10256,apogee
227.413161,67.356094,753.882996,0.05947,apogee
227.415259,67.294029,-258.019989,5.45301,apogee
227.476122,67.200874,-247.175003,0.089117,apogee
227.494281,67.272224,-246.731995,0.049808,apogee
