ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err
0.35643320329,-16.04100891013,,,gaia,2.415688520092076e+18,1.517,-0.1079,0.1008,5.772,0.125,-10.939,0.08
0.32190324665,-16.03687916469,,,gaia,2.415735386774491e+18,,,,,,,
0.33896351006,-16.03080921237,,,gaia,2.415735519918199e+18,1.027,-0.1104,0.5501,7.304,0.564,-6.28,0.398
0.32461983211,-16.02170925574,,,gaia,2.415735554277941e+18,1.017,0.4434,0.2167,7.952,0.206,-1.796,0.163
0.31099507134,-16.02204050263,,,gaia,2.415735558573065e+18,1.039,-1.8227,1.559,6.643,2.362,-19.461,1.086
0.32469019411,-16.01394925283,,,gaia,2.415735592933868e+18,,,,,,,
0.29905957512,-16.02139138267,,,gaia,2.4157356573571564e+18,1.019,1.567,0.3735,0.718,0.397,-7.662,0.288
0.2926217529,-16.01156201635,,,gaia,2.415735726076636e+18,1.262,1.9571,1.4661,21.666,1.003,-3.329,1.169
0.31167855106,-16.00707123328,,,gaia,2.415735794796114e+18,0.957,0.7312,0.6964,5.183,0.65,-7.926,0.432
0.31367799003,-16.00305599302,,,gaia,2.415735794796116e+18,1.0,-0.0304,0.5264,-1.653,0.512,-3.402,0.419
0.29274086804,-16.00560913272,,,gaia,2.4157358334518083e+18,0.968,0.5895,0.1373,6.369,0.132,-4.13,0.101
0.30469090759,-16.00062542675,,,gaia,2.4157358678115466e+18,0.983,1.8473,0.0877,3.123,0.09,-1.425,0.065
0.22814536526,-16.00322018533,,,gaia,2.4157363488470595e+18,,,,,,,
0.26566252224,-16.01818358255,,,gaia,2.4157364519261174e+18,1.064,0.784,0.6259,-5.551,0.581,-7.411,0.445
0.26788396476,-16.00519683697,,,gaia,2.4157364862868367e+18,0.97,0.45,0.1025,2.005,0.103,-3.147,0.075
0.25958910729,-16.0022635229,,,gaia,2.4157365206468096e+18,,,,,,,
0.2882659788,-15.99752169942,,,gaia,2.415736589366052e+18,1.137,1.0669,0.0354,5.581,0.037,-12.361,0.026
0.29192934961,-15.98895887232,,,gaia,2.4157366194298394e+18,1.07,0.2085,0.4121,1.95,0.421,-0.306,0.317
0.28879018923,-15.97965458753,,,gaia,2.415736692445267e+18,1.0,-0.1433,0.4246,13.343,0.415,-12.284,0.334
0.23831987881,-15.99194715678,,,gaia,2.415736726804023e+18,1.084,1.9996,0.6756,21.082,0.592,20.258,0.578
0.28099672224,-15.9688388912,,,gaia,2.4157368943077514e+18,0.984,-0.3517,0.7157,-1.239,0.601,-3.301,0.49
0.26969282576,-15.96224639837,,,gaia,2.415736894307753e+18,,,,,,,
0.25522133217,-15.97154741545,,,gaia,2.415736932963435e+18,1.034,-0.1248,0.292,9.198,0.254,2.143,0.245
0.18188708264,-15.96148655573,,,gaia,2.415739643086823e+18,,,,,,,
0.18593148468,-15.95765077547,,,gaia,2.4157396430868244e+18,0.968,1.1094,0.092,-14.086,0.076,-11.59,0.069
0.17618659951,-15.950637972,,,gaia,2.4157397118063027e+18,1.026,1.9749,0.1335,35.342,0.113,0.414,0.091
0.23004028058,-15.96126825262,,,gaia,2.415739784821941e+18,,,,,,,
0.21132104451,-15.96526928691,,,gaia,2.415739814885513e+18,0.966,-0.2194,0.4986,-2.025,0.417,-4.284,0.484
0.23624930193,-15.95285770821,,,gaia,2.415739887900934e+18,0.983,0.8979,0.1129,15.942,0.105,-3.629,0.09
0.23537763701,-15.95882275681,,,gaia,2.415739887900963e+18,,,,,,,
